,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva,roc,cost_of_capital,roc_wacc,bv_of_capital,eva,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard,evebitda,evebit,evebit_1t,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,dde,cost_of_capital,cost_of_capital_local_currency,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,12,1.112187701685532,1.2118619432686513,0.22302346273144139,4.986864108664644,5.4337867793216965,26.388000000000005,177.12400000000002,0.1489803753302771,18.933999999999997,-0.32900000000000773,-0.07323567541981468,-0.32977327549045315,0.9571289946167955,0.2545537966103889,0.11078459943015789,0.143769197180231,1390.543,199.91725075458996,0.2042021135690542,0.08404879773888313,0.12015331583017108,1885.0008830025474,226.48910643555644,0.6068363871485025,0.5504388527169227,0.058800000000000005,0.11530570750010262,0.04278288,0.3931636128514974,27.6497,25.43,10.323999999999998,-15.106000000000002,-0.010863382146398927,180.94599999999997,56.75899999999999,-124.18699999999998,-0.13941925017822157,149.85199999999998,252.19999999999996,-20.85000000000005,0.08845503909628549,10.06,0.039888977002379075,-0.2755618843942825,-0.05627031921238386,0.9218864417122452,0.23466969378149402,0.10949999999999999,0.25823636363636365,0.1815,0.14,0.2545537966103889,0.2542035278638448,0.5176237079374723,0.1961923057950137,0.2452420450407358,0.24128680531806815,0.21346505952042877,0.2413612667986993,0.21353093516735425,0.24117891339780836,0.21334858176646332,0.08272692051664211,0.25840252878162984,0.08273468023582896,0.48237629206252775,7.759719186847941e-06,0.17567560826498774,0.003955239722667638,0.01192391706190427,3.144329156152574,3.14441535022987,3.6878131961434555,4.0080142535535686,11.242289337227472,11.243343855003904,3.853672239008968,4.188274308097792,0.41666666666666663,16.212512520664124,39.97973781200164,9.773865370197743,172.7370933299836,3.3607011793594515,0.2400500842399608,0.8560944968555416,1.0069402912756504,0.762203959784701,0.9301272134341845,406.51300000000003,25.57,27.672000000000004,1.082205709816191,0.06290081744003266,0.06494670579859349,0.06807162378570919,0.07086771462376497,0.647890636055883,0.8236085622102388,0.25946981704432487,0.4283727610090029,0.5504388527169227,,0.3931636128514975,0.08404879773888314,0.08938893959966587,0.13006508741600797,0.031076012546357397,0.08134236490744594,0.06709884607433035
Aerospace/Defense,22,0.8335463013222947,1.205601646339007,0.2830554370069065,2.9448164293765404,4.259242143826372,737.5699999999998,403.145,1.8295402398640683,376.797,-32.74380000000008,0.05980913177710579,1.209924355856517,0.9880551147334048,-0.062448545408130544,0.11041273779253702,-0.17286128320066757,2228.9069999999992,-385.2917241549502,0.04941121736564795,0.0804506651751984,-0.031039447809550452,11481.198599999996,-356.3700647357836,0.5569697527791497,0.6051928709756266,0.058800000000000005,0.043571998401650054,0.04278288,0.44303024722085027,34.2,84.517,65.226,-19.290999999999997,-0.008654914718290177,1204.6390000000004,562.2119999999999,-642.4270000000005,-0.06669880339651256,-128.06300000000007,448.9740000000001,-75.01799999999997,0.01866040460926217,22.14,0.049312432345748294,2.067159676840524,0.1021408761218697,0.9994812304483838,-0.062416149004230086,0.43406500000000003,0.08642142857142857,0.5764363636363636,0.1935,-0.062448545408130544,-0.045990355645147814,0.2090510476102156,-0.012270037077564045,0.05807666516485239,0.05530472916347298,0.05289499159275845,0.05530472916347298,0.05289499159275845,0.05241830149478267,0.05000856392406813,0.08466212749107305,0.1896561344852198,0.12815379894512163,0.7909489523897844,0.04349167145404857,0.10499400699414678,0.0027719360013793997,0.0020536744482154835,11.804702849840595,16.848750703676437,31.00897382766425,34.692882524182195,13.700359200541481,20.73835291520722,31.7468886480283,35.51846263908764,0.6818181818181819,54.47593784365036,30.941175871311323,23.31156882040406,2.3720121342287337,41.59952593752378,2.149846301680815,5.304470141306457,1.7858141426442558,1.06742058859542,1.75575307846214,233.82999999999998,44.683,70.78,1.584047624376161,0.191091818842749,,0.3026985416755763,,0.7954296351107618,0.7636409385124654,0.08386500269863235,0.5105301167922465,0.6051928709756266,0.45022573329584065,0.44303024722085027,0.0804506651751984,0.08577308224502711,0.16567952717444911,0.4259704442599329,0.2226863810716043,0.34610430818533444
Air Transport,12,0.6643443899973357,1.061385821631871,0.2903364216147036,2.2881882552061157,3.655710212755887,2566.9420000000005,3352.7170000000006,0.7656303827612053,707.7690000000001,-17.2199999999998,-0.004148648354281467,,0.8827534234998806,-0.3537456143300715,0.10184631780493314,-0.45559193213500465,8028.99,-3657.9430671926307,-0.06878204260083895,0.07010293154648561,-0.13888497414732456,26002.164804975244,-3611.3099867134592,0.4865882271195351,0.26833298670421535,0.055,0.05838687628161312,0.040018000000000005,0.5134117728804649,67.5,250.28,1532.6190000000001,1282.3390000000002,0.15971361279563184,3870.5680000000007,2384.92,-1485.6480000000006,-0.059494433789952526,-189.4240000000001,3114.9330000000004,42.022000000000844,0.056816721365717325,1.02,0.0003274548762365033,,,0.9970779220779221,-0.35271194208040574,-0.13436666666666666,-0.02115,0.44362499999999994,0.09550000000000002,-0.3537456143300715,-0.34342868612182453,0.21066068355588471,-0.12373799202735968,-0.07474794693619709,-0.07782760799006687,-0.07328349707105695,-0.08195234543729928,-0.07716740398326366,-0.08270255782320991,-0.0779176163691743,-0.07298146252205545,-0.031858060862177885,-0.06906920513211492,0.7893393164441153,0.003912257389940532,0.041123401659877566,0.0030796610538697793,0.0029712244320038335,26.903864469737883,29.330557482235587,,,,,,,0.75,45.79556669308304,43.57054091554889,24.780072561095636,,45.69219583131363,4.784523123697762,4.005897170983133,1.875888279243063,1.0523710980896157,1.9546834166891864,231.5,36.989999999999995,54.53900000000001,1.4744255204109222,0.15978401727861768,,0.23558963282937367,,1.0551257598641826,0.6004300027263112,0.0962067087994538,0.27791007893524633,0.26833298670421535,3.0906186419150132,0.5134117728804649,0.07010293154648561,0.07537437455903007,0.09514627398871628,0.03943755854227023,0.12370562223626023,-0.039117389504868545
Apparel,9,0.8018639231614229,0.8239286471895378,0.2889653301380051,2.7749485475592026,2.8513062338518016,784.69,149.64400000000003,5.243711742535617,161.96,-0.7984000000005835,0.06677235640767812,0.4226620462187863,2.407378517634512,0.3772968281489446,0.08774136164305854,0.28955546650588604,4965.870000000001,1437.8948044575845,0.43046723136293435,0.08537261933422391,0.34509461202871045,4953.192824748107,1709.3201561598405,0.9503651413630213,0.4267668967038272,0.055,0.10398939625793899,0.040018000000000005,0.049634858636978696,133.3,1332.1,21.525,-1310.5749999999998,-0.26391649398796174,71.18300000000002,384.67800000000005,313.495,0.18350780023028107,429.5699999999997,707.79,67.19600000000003,0.06995334763321986,0,0,1.1062182171858992,0.47619069323525526,0.9288538097904203,0.3504535962479887,0.2556,0.11097571428571427,0.13503333333333334,0.242,0.3772968281489446,0.37622543401627173,0.48906426505403705,0.15712630019095603,0.2055256490786392,0.19523045971179645,0.17492856207520685,0.1996388955788584,0.17887856735801116,0.19957193936121373,0.1788116111403665,0.2028246735003828,0.4937185775829174,0.20312985095029354,0.5109357349459629,0.0003051774499107278,0.2908939040825346,0.010295189366842749,0.028459327703889818,16.87937720693335,16.90019088384116,20.951084131606468,26.475746117246548,20.591224217671602,20.622206529580897,20.951289547519675,26.47600569997422,0.4444444444444444,16.726915579720675,16.510871496357517,19.23496891339774,28.672106479333042,25.426970481395074,1.05070125956178,9.06207730309724,7.579462335287424,4.015642461848625,4.182692306219708,2360.2399999999993,482.256,307.62300000000005,0.6378831989648652,0.20432498389994241,0.20476652747217314,0.13033547435853987,0.13052050707414084,0.052227145627197546,0.7937651957615016,0.010099877505389265,0.44378098859161985,0.4267668967038272,0.4440604080845565,0.049634858636978696,0.08537261933422391,0.0907192824836538,0.056078599756294124,0.27970741877239663,0.07072107921614933,0.2817387483112089
Auto & Truck,4,4.1789967420126395,0.8888408292282195,0.2357418664590552,17.72700286454408,3.7703987101612166,5.676,4.818000000000006,1.1780821917808206,0,5.021200000000007,0.07592922639803695,,0.6084638958811708,-0.26434049792353165,0.09159714525615624,-0.3559376431796879,279.802,-99.59206443696304,-0.5747781555381619,0.08076960184866336,-0.6555477573868252,127.25487991011647,-83.42165114160662,0.790079045441325,0.3697887265410631,0.055,0.019228468899521532,0.040018000000000005,0.209920954558675,0,0.104,170.92,170.81599999999997,0.6104888456837334,0.746,0,-0.746,-0.04104990920596489,6.609999999999999,0,-0.55,0,0,,,,1,-0.26434049792353165,0,0.705,5.279,0.38,-0.26434049792353165,-0.20209713541972021,0.15381635025184034,-0.9552240733565801,-0.8921348314606741,-0.9980369365878858,-0.9788462143921318,-1.0292777474108652,-1.0094863122558058,-0.964429497378578,-0.9446380622235184,-0.7246545266692496,0.14733307503551596,-0.43516724783675564,0.8461836497481596,0.28948727883249387,0.8719876017047655,0.10590210512721165,0.02026346377373111,1.9490506851576685,7.500254129606099,,,,,,,0.75,12.942176870748298,9.870298313878079,,,9.870298313878079,0.25974469247047577,0.6912334722726381,0.21640064327238906,2.1396099702957505,0.48267958039669945,8.36,0.643,0,0,0.07691387559808613,,0,,0.26569614239220407,0.7448466856915984,0.8217642339359963,0.6860786861907189,0.3697887265410631,,0.209920954558675,0.08076960184866336,0.08609359003511008,0.1466227560377115,0.3507038615523699,0.120405527573292,0.5806405785871108
Auto Parts,19,1.0350485649230974,1.214193417714458,0.27792116355337626,3.7242524163666677,4.368841156932137,2138.9109999999996,1750.2519999999997,1.2220588806640416,1189.8,-76.80260000000044,0.03066777052334249,0.8334943538914611,2.3136680996988908,0.0756925526328781,0.11092308901223881,-0.035230536379360716,17825.360000000004,-627.9969939552014,0.08986515078328032,0.09252302608333046,-0.0026578753000501415,21163.490997854242,-56.249919986030314,0.7404972874974834,0.4235369195325592,0.055,0.1786500921744457,0.040018000000000005,0.25950271250251655,665.8499999999999,1187.0099999999998,643.384,-543.6259999999997,-0.0304973363791811,644.811,908.045,263.2339999999999,0.03974969383702616,2941.078,3271.9750000000004,156.8510000000001,0.08184463508320101,25.1,0.007671207756782982,1.3602151373963929,0.1222359384198272,0.5065025158477285,0.03833846833948936,0.05267777777777777,0.07404937500000001,0.88053,0.16725,0.0756925526328781,0.06351621271130906,0.13826060147826336,0.027555169994486296,0.049909309234414063,0.04952869271039197,0.04068038719240064,0.04919888197606149,0.040409497176158424,0.04763037102216013,0.03884098622225707,0.10254955275056654,0.15437401437842893,0.11730238972934585,0.8617393985217366,0.014752836978779296,0.051824461627862375,0.00038061652402209613,0.007852459744242523,5.171329396875532,5.920885894225403,12.249118326756818,16.378741212229603,5.146633120241431,5.887030687817254,12.270855349076136,16.40780657463327,0.3157894736842105,17.785764205721126,17.799277086378744,14.667679135606749,12.141525795003538,15.70411689283703,0.9389606512907043,1.3653188723254301,1.3297179636227483,0.4782601734199737,0.6037123640645196,1984.7520000000002,482.889,569.998,1.1803913528781977,0.2432994147379622,0.24888976802037385,0.28718852531701694,0.3063810253802632,0.3504438394089303,0.9674979486820899,0.06526323356240428,0.4140983802528286,0.4235369195325592,0.2272259335662327,0.25950271250251655,0.09252302608333046,0.09790491291132741,0.18547438926844795,0.12947390860146774,0.19348988285457858,0.11396353507037044
Bank (Money Center),13,0.3644446318609413,0.9017752058031733,0.5113651663101355,0.7126895922353673,1.763466237464168,5931.67,0,,4549.12,0,0.053866451080048866,,0.11050924296012836,0.13628767490782984,0.09236544722470849,0.043922227683121345,505830.6999999999,22217.211174512642,9.172630448759688e-07,0.05006123382625464,-0.050060316563209764,1760666.3007383072,-88139.51237713514,0.26998727653436283,0.169554086414264,0.0473,0.22722093697662454,0.034415480000000005,0.7300127234656372,31503.166999999998,30423.099999999995,17268.100000000002,-13154.999999999993,-0.026006725175043734,118138.31700000001,172449.69999999998,54311.38299999997,0.028007640512548927,0,49172.700000000004,-2601.9000000000015,0.0057559438240428395,78.6,0.001598447919272279,7734.72944102061,0.007094781478362365,0.5430249922793493,0.07400761361459476,0.06162500000000001,0.043642499999999994,0.10546000000000001,0.05073333333333334,0.13628767490782984,0.13628767490782984,1,0.35431220348059994,0.013292446570615494,0,0,1.0740882009648459e-05,8.300328735460767e-06,1.0740882009648459e-05,8.300328735460767e-06,0,0.4573939751215373,0,0,0,0.4573939751215373,0.013292446570615494,0.017714970301161686,,,,,,,,,0.07692307692307687,10.649121276673421,10.649121276673421,11.115068888459595,10.403265287649905,10.388023288533562,2.0475735785545783,1.4322833901871415,1.1362593499421723,3.6860038474604755,11.384439220754635,89973.8,21446.799999999996,22099.8,1.0304474327172355,0.23836716910922953,0.23838413388457602,0.24562483745268066,0.2456383787987041,2.703878245065094,0.30390000991022936,0.1661284504083833,0.1805167330302318,0.169554086414264,,0.7300127234656372,0.05006123382625464,0.055233949263822524,0,0.0013819198139074953,,
Banks (Regional),6,0.20407398797222223,0.5906269001138867,0.29494349467790343,0.6919087610156776,2.002508652577294,112.34499999999998,0.38,,-0.344,0,0.03565801579391244,,0.10035955827072189,0.0758698473242124,0.07388323786676487,0.0019866094574475246,12306.47,24.448149689794235,6.817998005258727e-06,0.04401372469856542,-0.04400690670056016,31191.05,-1372.6216272425067,0.24319204376815984,0.23379796268486938,0.0473,0.2377759258712359,0.034415480000000005,0.7568079562318402,401.7775,19.119,103.913,84.794,0.0068901967826679785,3629.629,4780.5,1150.871,0.04222141838044551,0.17000000000000015,1690.0060000000003,-79.03399999999988,0.010059356540365052,0,0,380.88530465949816,0.002596875247400821,0.5696885475907422,0.04322218312806192,-0.013939999999999998,0.09366666666666668,0.13305,0.052000000000000005,0.0758698473242124,0.0758698473242124,1,0.29827302001073375,0.009056262618518234,8.912826803649467e-05,6.793571158281747e-05,8.912826803649467e-05,6.793571158281747e-05,8.912826803649467e-05,6.793571158281747e-05,0.00012937974392394387,0.48681444708528204,0.00012937974392394387,0,0,0.48668506734135814,0.008967134350481739,0.004123540085358685,7.014814814814815,7.014814814814815,10.18279569892473,13.6151987435061,,,,,0,9.47926099763507,9.47926099763507,8.583511961063703,9.381122214011073,9.381122214011073,1.8040619642328986,0.7097005244731164,0.944042379935071,2.7981356538628637,10.201366313987068,1265.319,372.67999999999995,336.6940000000001,0.9034399484812711,0.29453442175451405,0.29513225901863877,0.2660941628158591,0.2684277285124439,3.1119766276289926,0.1809366692148431,0.11337710889703628,0.24909520494024098,0.23379796268486938,0.31847915359155143,0.7568079562318402,0.04401372469856542,0.04915664945077536,0.00010861509366454548,0.0004696005520202407,,
Beverage (Alcoholic),17,0.30116133237216997,0.47801787110581817,0.17069442236050816,1.7643302470429556,2.80043052664158,141.00399999999996,108.368,1.3011590137309903,333.0139999999999,-0.1419999999999959,0.13197011727571978,1.140486391120732,0.5532600969910226,0.05952186922440594,0.0671942615436856,-0.007672392319279658,3902.196000000001,-29.939178618723812,0.07558903459484673,0.05414811015341757,0.021440924441429157,5006.012569970215,107.33353726557597,0.5199431176618442,0.29087028492003036,0.055,0.17951506763494102,0.040018000000000005,0.4800568823381558,187.97999999999996,28.794,70.20199999999998,41.40799999999999,0.010611460828723104,481.009,538.748,57.73900000000003,0.006875372486959612,-76.30000000000018,6461.68,6156.35,0.1933207109181199,0,0,1.1060822113257693,0.08360768653664814,0.19066931879827465,0.011348994258617469,0.04922,0.2045546153846154,0.17464999999999997,0.07086666666666668,0.05952186922440594,0.05948136078667381,0.41595998305909065,0.08386183410257052,0.1682981137893298,0.16396828887066744,0.13453351040406403,0.16657958851713858,0.13667604241788378,0.16652831807530652,0.13662477197605175,0.20730589353728865,0.4393273895726754,0.20730589353728865,0.5840400169409093,0,0.23202149603538677,0.004329824918662333,0.05152932145736595,16.483887807617947,16.483887807617947,21.111915102338358,30.39232470803045,28.973892939198503,28.973892939198503,36.05759156018271,51.907845667929585,0.5294117647058824,35.855984161781315,54.29588252295751,44.29996718670261,36.34654298823061,31.326938168359153,4.4205463078587695,0.5300851661283539,0.9115128396340353,3.289345821657575,6.006458765014285,361.67699999999996,105.76799999999999,92.13900000000001,0.8711425005672795,0.29243772758566344,0.30258998291758105,0.25475493326918774,0.2766181013596885,0.9232873097675481,0.2859328208498632,0.050565958791441434,0.34307973396300817,0.29087028492003036,0.49299997760693354,0.4800568823381558,0.05414811015341757,0.059340957986685705,0.4510499067202913,0.7435892992088828,1.2417491597243964,-0.029420207125364004
Beverage (Soft),6,1.1989120938188411,1.4591817094805635,0.1458566450415358,8.2197975517497,10.004218245010573,3.8289999999999997,6.542,0.5852950168144299,23.9,-0.01279999999999859,0.22881874277316097,,0.9391511032896727,-0.6063428855862902,0.12547539354314546,-0.7318182791294356,140.63,-102.91560459397253,-0.8442160259650106,0.09292823918269223,-0.9371442651477028,98.5326,-92.33926102009254,0.5629531694315904,0.6788716748467145,0.0701,0,0.051004759999999996,0.4370468305684096,0,5.736,21.340999999999998,15.604999999999997,0.11096494346867665,19.443,25.209,5.765999999999998,0.06921802597776762,1.548,12.1,6.52,0.05758340075191548,0.391,0.03231404958677686,,,,,0,0.667,0.17773333333333333,,-0.6063428855862902,-0.6032399030660388,0.20595005241146783,-0.9214692501377826,-0.8059478911138247,-0.898775624885181,-0.898775624885181,-0.898775624885181,-0.898775624885181,-0.8989139479343398,-0.8989139479343398,-0.7516993202718912,0.2777267471389821,-0.7490949566119498,0.7940499475885322,0.0026043636599414285,1.0294260674108733,0.09282773377135631,0.01139003857916293,,,,,,,,,1,44.329896907216494,,,,,,1.1416108096606021,1.1995960400269954,1.1595361855257895,1.601975426045798,0,0,0,,,,,,0.7763466915191054,0.9324620235458844,0.22224320836087766,0.6666921853486802,0.6788716748467145,,0.43704683056840965,0.09292823918269223,0.09831212213433127,0.14929163469747236,0.24180598031057846,0.28918162464743835,0.10948053211147973
