,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,12,1.2118619432686513,0.11078459943015789,0.6068363871485025,0.5504388527169227,0.058800000000000005,0.11530570750010262,0.04278288,0.3931636128514975,0.08404879773888314,0.08938893959966587,1.112187701685532,0.22302346273144139,4.986864108664644,5.4337867793216965,0.647890636055883,0.8236085622102388,0.25946981704432487,0.4283727610090029,0.5504388527169227,,406.51300000000003,25.57,27.672000000000004,1.082205709816191,0.06290081744003266,0.06494670579859349,0.06807162378570919,0.07086771462376497
Aerospace/Defense,22,1.205601646339007,0.11041273779253702,0.5569697527791497,0.6051928709756266,0.058800000000000005,0.043571998401650054,0.04278288,0.44303024722085027,0.0804506651751984,0.08577308224502711,0.8335463013222947,0.2830554370069065,2.9448164293765404,4.259242143826372,0.7954296351107618,0.7636409385124654,0.08386500269863235,0.5105301167922465,0.6051928709756266,0.45022573329584065,233.82999999999998,44.683,70.78,1.584047624376161,0.191091818842749,,0.3026985416755763,
Air Transport,12,1.061385821631871,0.10184631780493314,0.4865882271195351,0.26833298670421535,0.055,0.05838687628161312,0.040018000000000005,0.5134117728804649,0.07010293154648561,0.07537437455903007,0.6643443899973357,0.2903364216147036,2.2881882552061157,3.655710212755887,1.0551257598641826,0.6004300027263112,0.0962067087994538,0.27791007893524633,0.26833298670421535,3.0906186419150132,231.5,36.989999999999995,54.53900000000001,1.4744255204109222,0.15978401727861768,,0.23558963282937367,
Apparel,9,0.8239286471895378,0.08774136164305854,0.9503651413630213,0.4267668967038272,0.055,0.10398939625793899,0.040018000000000005,0.049634858636978696,0.08537261933422391,0.0907192824836538,0.8018639231614229,0.2889653301380051,2.7749485475592026,2.8513062338518016,0.052227145627197546,0.7937651957615016,0.010099877505389265,0.44378098859161985,0.4267668967038272,0.4440604080845565,2360.2399999999993,482.256,307.62300000000005,0.6378831989648652,0.20432498389994241,0.20476652747217314,0.13033547435853987,0.13052050707414084
Auto & Truck,4,0.8888408292282195,0.09159714525615624,0.790079045441325,0.3697887265410631,0.055,0.019228468899521532,0.040018000000000005,0.209920954558675,0.08076960184866336,0.08609359003511008,4.1789967420126395,0.2357418664590552,17.72700286454408,3.7703987101612166,0.26569614239220407,0.7448466856915984,0.8217642339359963,0.6860786861907189,0.3697887265410631,,8.36,0.643,0,0,0.07691387559808613,,0,
Auto Parts,19,1.214193417714458,0.11092308901223881,0.7404972874974834,0.4235369195325592,0.055,0.1786500921744457,0.040018000000000005,0.25950271250251655,0.09252302608333046,0.09790491291132741,1.0350485649230974,0.27792116355337626,3.7242524163666677,4.368841156932137,0.3504438394089303,0.9674979486820899,0.06526323356240428,0.4140983802528286,0.4235369195325592,0.2272259335662327,1984.7520000000002,482.889,569.998,1.1803913528781977,0.2432994147379622,0.24888976802037385,0.28718852531701694,0.3063810253802632
Bank (Money Center),13,0.9017752058031733,0.09236544722470849,0.26998727653436283,0.169554086414264,0.0473,0.22722093697662454,0.034415480000000005,0.7300127234656372,0.05006123382625464,0.055233949263822524,0.3644446318609413,0.5113651663101355,0.7126895922353673,1.763466237464168,2.703878245065094,0.30390000991022936,0.1661284504083833,0.1805167330302318,0.169554086414264,,89973.8,21446.799999999996,22099.8,1.0304474327172355,0.23836716910922953,0.23838413388457602,0.24562483745268066,0.2456383787987041
Banks (Regional),6,0.5906269001138867,0.07388323786676487,0.24319204376815984,0.23379796268486938,0.0473,0.2377759258712359,0.034415480000000005,0.7568079562318402,0.04401372469856542,0.04915664945077536,0.20407398797222223,0.29494349467790343,0.6919087610156776,2.002508652577294,3.1119766276289926,0.1809366692148431,0.11337710889703628,0.24909520494024098,0.23379796268486938,0.31847915359155143,1265.319,372.67999999999995,336.6940000000001,0.9034399484812711,0.29453442175451405,0.29513225901863877,0.2660941628158591,0.2684277285124439
Beverage (Alcoholic),17,0.47801787110581817,0.0671942615436856,0.5199431176618442,0.29087028492003036,0.055,0.17951506763494102,0.040018000000000005,0.4800568823381558,0.05414811015341757,0.059340957986685705,0.30116133237216997,0.17069442236050816,1.7643302470429556,2.80043052664158,0.9232873097675481,0.2859328208498632,0.050565958791441434,0.34307973396300817,0.29087028492003036,0.49299997760693354,361.67699999999996,105.76799999999999,92.13900000000001,0.8711425005672795,0.29243772758566344,0.30258998291758105,0.25475493326918774,0.2766181013596885
Beverage (Soft),6,1.4591817094805635,0.12547539354314546,0.5629531694315904,0.6788716748467145,0.0701,0,0.051004759999999996,0.43704683056840965,0.09292823918269223,0.09831212213433127,1.1989120938188411,0.1458566450415358,8.2197975517497,10.004218245010573,0.7763466915191054,0.9324620235458844,0.22224320836087766,0.6666921853486802,0.6788716748467145,,0,0,0,,,,,
Broadcasting,13,1.0428204445258875,0.10074353440483771,0.5534640861470108,0.45478268232051067,0.055,0.17009540770623002,0.040018000000000005,0.4465359138529892,0.07362740240516237,0.07891620734311888,0.6840996106933215,0.21012564619093646,3.2556692773793805,4.962842296643314,0.8068019678776063,0.6570896757683885,0.03948245913714074,0.41255828198901345,0.45478268232051067,0.1648289921545339,586.46,166.692,213.80399999999997,1.2826290403858611,0.2842342188725574,0.5469580895455375,0.3645670633973331,0.7499684303573684
Brokerage & Investment Banking,19,0.8128954523437817,0.08708598986922064,0.7751559697397848,0.5046706079543325,0.058800000000000005,0.12208969684914388,0.04278288,0.22484403026021516,0.07712470009316397,0.08243073309854898,1.189930306035442,0.16801390287100637,7.082332388582258,4.838263015459422,0.2900629538281101,0.6712320573850847,0.4359064106691538,0.4524577836728108,0.5046706079543325,1.0903902572367665,306.443,92.786,132.26,1.4254305606449247,0.3027838782416306,0.3571000328050587,0.43159739331621216,0.4987123071760122
Building Materials,9,0.5946198736900704,0.07412042049719018,0.5861186374605941,0.37732045499830924,0.055,0.15202100359420848,0.040018000000000005,0.4138813625394059,0.06000606423592135,0.06522776898585203,0.4158292373826178,0.2250118495897731,1.8480326175742765,2.642615821229604,0.7061392286254198,0.3928028922767827,0.05537452164444084,0.43648782352039855,0.37732045499830924,0.44206723689217836,415.58,112.63700000000001,22.569,0.20036932801832433,0.2710356610038982,0.3201522260631379,0.05430723326435343,0.06453024077679897
Business & Consumer Services,75,0.8155257320983093,0.08724222848663957,0.8612219248473968,0.4004878295085883,0.055,0.14114059694994016,0.040018000000000005,0.1387780751526032,0.08068854095669699,0.08601212982840512,0.7478441096139885,0.19768368061385608,3.783034124474767,4.125407466948728,0.16114089893518888,0.7299427752862285,0.02393725389774077,0.39392664065993604,0.4004878295085883,0.09453252657053438,3315.1440000000007,679.875,863.8519999999996,1.2706041551755831,0.205081589216034,0.21723251825700315,0.2605775194079049,0.2934750408353512
Cable TV,5,0.6492566368104671,0.07736584422654175,0.5777861175880209,0.2378952759366279,0.0473,0.21850454959908946,0.034415480000000005,0.4222138824119791,0.05923160419544498,0.06444949387128474,0.4348667816392936,0.2921093902641368,1.4887120925693966,2.222648974835707,0.7307442487100918,0.4238826670150897,0.025258573632130858,0.19175225042945132,0.2378952759366279,0.10015011006218304,2287,516.1999999999999,474.1,0.918442464161178,0.22571053782247483,0.22571053782247483,0.20730214254481855,0.20730214254481855
Chemical (Basic),19,1.4371258558624964,0.1241652758382323,0.6409422140394593,0.5659922664384547,0.058800000000000005,0.035643255604448906,0.04278288,0.3590577859605407,0.09494429297239228,0.1003381072234879,1.1699603491075627,0.28546427156418136,4.098447566474247,5.034345797419293,0.560203054340302,1.0209733127559442,0.12734366294145336,0.5592830042233442,0.5659922664384547,0.4509515276328921,937.262,225.39999999999998,175.99900000000002,0.7808296362023072,0.240487718482132,0.3250239764843625,0.187779937733526,0.21921232578125982
Chemical (Diversified),1,0.5994862650966167,0.07440948414673904,0.7973622066217931,0.2112223561106405,0.0473,0.25394105551747775,0.034415480000000005,0.20263779337820687,0.06630518739808498,0.07155792231137603,0.5493444785112361,0.2073644135332772,2.649174316609918,2.890979483325923,0.254135186864108,0.5059345363467552,0.07902134974055808,0.1791666666666667,0.2112223561106405,0.34228481511245074,875.4,222.3,75.4,0.3391812865497076,0.25394105551747775,0.25394105551747775,0.08613205391820883,0.08613205391820883
Chemical (Specialty),48,1.265475802824176,0.11396926268775605,0.7395689981983835,0.6317232238397177,0.058800000000000005,0.04569626190045542,0.04278288,0.2604310018016165,0.09543012172975049,0.10082632922595614,1.035687627528618,0.22129899262437502,4.68003769581797,5.7183983886097,0.35213888418259254,1.007370984635179,0.027340910657597504,0.5687799392898493,0.6317232238397177,0.5567589595457016,10545.86,2623.8460000000005,1618.0310000000002,0.6166638590831931,0.24880341669622016,0.25434823393860967,0.15342807509297487,0.15655577318347752
Coal & Related Energy,82,1.566162643668083,0.13183006103388414,0.8846797260612735,0.7575749302001927,0.0701,0.030762877521343237,0.051004759999999996,0.11532027393872646,0.1225092651774766,0.1280388674689914,1.641133253008181,0.250160178984197,6.560329704240633,6.260639283309035,0.130352567761612,1.4304886248051338,0.1283531534181869,0.5455609493144268,0.7575749302001927,2.986514932462466,7131.362999999999,2334.8929999999996,208.854,0.08944906683089977,0.3274118846565516,0.37036729119412487,0.02928668755187473,0.033136743208406705
