,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva,roc,cost_of_capital,roc_wacc,bv_of_capital,eva,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard,evebitda,evebit,evebit_1t,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,dde,cost_of_capital,cost_of_capital_local_currency,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,67,1.2233869738867418,1.1788720545198796,0.1535112046554183,7.969365992748474,7.679387684866757,295.55600000000015,52.825999999999965,5.5948964525044556,131.08299999999997,26.511400000001004,0.014018743560105443,0.47944033297642563,1.8529770891512667,0.037802354837921735,0.12320723910362338,-0.08540488426570164,16374.79999999999,-1398.4878988740104,0.06542628794261768,0.11626777678733756,-0.05084148884471988,15411.07451742962,-783.5219731630449,0.9080954038491281,0.4421479481472755,0.0636,0.08178811092504908,0.047700000000000006,0.09190459615087188,983.4401999999994,211.522,797.231,585.7090000000001,0.035768925421989915,3877.9050000000007,3558.6829999999995,-319.2220000000011,-0.07465782434683026,226.938,1303.4069999999997,-452.4690000000003,0.04511368213030134,396.80699999999996,0.30443829133954325,1.2419255606403803,0.0812545793337544,-0.5887409815090625,-0.0222557954906319,-0.05175466666666667,0.0028190243902438865,0.22509833333333337,0.125,0.037802354837921735,0.03658180984733571,0.14434720830043943,0.021676636188467678,0.038593213254570734,0.0374088539550968,0.03434925445823838,0.037442722035488166,0.034380352532313876,0.03837111040756689,0.0353087409043926,0.07215952672972976,0.16552297547083017,0.08707094683749697,0.8556527916995605,0.014911420107767205,0.09336344874110039,0.0011843592994739388,0.0040320953981262606,18.31765988261011,23.833396913706686,31.52128953707291,40.36424791383641,16.771745938218427,20.237546795840675,39.00175306631077,49.94327494093332,0.5522388059701493,53.366847530737246,102.67169856558124,28.257936184542174,38.15291618692183,26.606148739650756,2.1284918991720603,2.515663500192116,2.571712641168951,1.4806550328809318,1.4603317989586224,1586.7689999999998,262.3449999999999,598.6780000000002,2.2820255770073774,0.1653328241224778,0.3096860257533611,0.37729373336635663,0.6540798734401256,0.10120588185042835,1.0957033376220098,0.104368968274263,0.47066330502742926,0.4421479481472755,0.28899784609445595,0.09190459615087188,0.11626777678733756,0.1327643449171998,0.28280382155041567,0.02107242769808822,0.15193546322137325,0.16923423174823912
Aerospace/Defense,63,0.9025795540452759,0.8394272288703479,0.15668024964648591,5.760646642328855,5.357581640087558,2489.295999999999,1320.9420000000002,1.8844854656752519,82.82000000000001,5.227199999997993,0.028800819736015566,0.5878161003826475,1.204203003542953,0.050929509247607974,0.09890298958711691,-0.047973480339508934,37907.1,-1818.535516577799,0.060988060872344194,0.09614203524155547,-0.03515397436921128,36226.28400000001,-1273.497859227769,0.9460782589488463,0.29626377838044204,0.0636,0.08413956331144659,0.047700000000000006,0.05392174105115364,938.3720000000002,69.62999999999998,2702.8199999999997,2633.1899999999996,0.06946429560689157,7666.091000000001,7901.638000000001,235.54699999999957,0.031733357188104425,335.40399999999977,1024.4289999999999,-256.78800000000047,0.010042496083694246,213.251,0.20816571963503575,0.7040710799922519,0.042939929885024576,0.5139454778073024,0.026174990964753304,0.17706153846153846,0.1790037837837838,0.26483529411764706,0.35,0.050929509247607974,0.044199773162514264,0.17485317647706053,0.04425542937570773,0.056375831541497966,0.05516798169806388,0.05052617180921491,0.05516798169806388,0.05052617180921491,0.05528780619753431,0.05064599630868534,0.09989031216904523,0.172512596335028,0.14437359881532544,0.8251468235229394,0.044483286646280214,0.07262228416598276,0.0012078498434340878,0.0016162966087319302,19.734337291774814,29.597711608830572,47.749072253106704,53.76363969214961,19.494194542026406,28.175375178280696,51.01595047362771,57.44202034497569,0.2222222222222222,73.06600338007853,82.64464593643976,37.264275267710616,59.408488354058534,51.18331855375914,1.462380530107404,2.8659197567730876,2.8403360380291773,2.9853910021593695,2.814447022038427,3182.7019999999993,329.1399999999999,1537.5790000000004,4.671504526949022,0.10341527419155169,0.11648455841190662,0.483104921541508,0.5633164463098168,0.0569950112912056,0.805015814780584,0.10809433786464624,0.327479066276057,0.29626377838044204,0.3538693221305147,0.05392174105115366,0.09614203524155547,0.11234117861950943,0.6663789032592295,0.593769685355241,0.6969917797165764,0.6644606155355551
Air Transport,17,0.6420965109889322,1.1142687976141035,0.19998375442663488,3.2107433567784565,5.5717965732205466,6462.800000000001,7234.87,0.8932848827967885,77.736,-3.811999999999898,-0.015616452451359751,,0.24327963122055696,-0.3634383942881517,0.11858164590916981,-0.48202004019732153,48292.600000000006,-23278.000993233174,-0.0823250325875935,0.08131863467284968,-0.16364366726044316,183763.02107869356,-30071.65467617553,0.4742925230027778,0.2586037668991852,0.0636,0.032076541459957475,0.047700000000000006,0.5257074769972222,3469.517,104.04000000000002,4570.81,4466.77,0.09249388105009877,61016.23000000001,69999.08099999999,8982.85099999998,0.0668410804072915,-13621.579,3031.7799999999997,1314.4699999999998,0.014331336947941139,4.324,0.0014262248580042087,,,0.9597904711955337,-0.3488247077043733,-0.164375,-0.0649205882352941,0.27438461538461534,,-0.3634383942881517,-0.358941866382706,-0.23351086436211865,-0.3925974929427501,-0.34740767417203133,-0.34952668333862713,-0.33831507618915424,-0.3495229526311734,-0.3383114651498928,-0.3496082212092997,-0.3383967337280191,-0.05161746350585382,0.03905108509410415,-0.04728558710502888,1.2335108643621187,0.004331876400824949,0.09066854859995797,0.002119009166595833,0.013547392060985375,15.909595391824801,18.023739568098478,,,,,,,0.7647058823529411,274.4510356054415,467.08190331221675,72.83375805002107,,45.62076006059409,,2.8993447954279152,1.5102511044156488,2.71212460128216,5.418672545367571,54.53,3.548,1101.0499999999997,310.3297632468996,0.06506510177883734,,20.191637630662015,,1.1084034672714909,0.6084569515371716,0.05239019193539953,0.2386623859962095,0.2586037668991852,2.3336670908774453,0.5257074769972222,0.08131863467284968,0.09729871301776871,0.06658420160247663,0.03323096779388803,0.23269441548971267,-0.23030186239816755
Apparel,212,0.7426252296467004,0.7395377805545943,0.1326663091242713,5.5976926964257965,5.574420404368481,4868.047999999998,2759.376999999998,1.7641837269789526,262.19,18.961400000006506,0.021902579252445226,0.41927861830883006,1.357316046052975,0.06842230996915147,0.09175090508770894,-0.023328595118557477,73630.9400000001,-1717.706387458801,0.08383132471592337,0.0855854620337637,-0.0017541373178403263,80387.65939391349,-141.01099323670113,0.8600382207432665,0.3512879114708432,0.0636,0.10664968423128247,0.047700000000000006,0.13996177925673348,4255.837299999999,270.15999999999997,2947.935,2677.775,0.036367524304320935,26079.457,27055.292,975.8350000000028,0.035180314093634056,1925.791000000003,1765.6799999999996,-110.20500000000015,0.01344635292198567,197.937,0.11210241946445565,1.0805294349594956,0.09058221392720268,0.15525245241215835,0.010622731422415635,0.03229107526881723,0.03213609756097557,0.12317866666666666,0.199125,0.06842230996915147,0.06443659510440633,0.26317922975276853,0.04617295928402024,0.06986464116601503,0.0683899564720333,0.06109618920969979,0.068941362540812,0.061588787995360036,0.06911514263687163,0.06176256809141967,0.10739848041626439,0.29250552600066065,0.12195230455169437,0.7368207702472315,0.014553824135429966,0.18510704558439625,0.0014746846939817323,0.015100604464462316,12.12442095690941,13.783315230935493,21.26636421617335,28.066002852482026,13.258342071782439,15.05501161582258,23.453052138785164,30.951855311777223,0.3679245283018868,45.18555694578478,44.860279687717096,21.037664551993668,25.730140796145612,20.491196582406072,1.029061975262075,2.2433821525353683,2.081012542504168,1.566823869829989,1.6168853701885544,9874.130000000001,1957.8509999999994,3121.1960000000004,1.5941948595679658,0.19828086119992336,0.27985844036206403,0.3160983296756271,0.42704261935132715,0.1627390223841157,0.6590927038418051,0.1124827469767428,0.34833223079854647,0.3512879114708432,0.22016574249990364,0.13996177925673348,0.0855854620337637,0.10162859694066673,0.12909418497378733,0.23469760188343194,0.1223646810335047,0.24019309245793244
Auto & Truck,34,1.6839999894185198,1.4019680257484384,0.2112118266898425,7.973038327495824,6.637734485423401,22174.339,9277.900000000003,2.3900170297157755,416.79,1100.5918000000001,0.045969976327113346,106.316820923391,1.7730487235807415,0.056480512319094026,0.13918091064358817,-0.08270039832449415,156683.6,-12957.796130915713,0.016966523107106578,0.12274014466841553,-0.10577362156130896,176841.49105997282,-18705.164951715167,0.8202820035403204,0.33181187458464717,0.0636,0.0756580291128368,0.047700000000000006,0.1797179964596796,5003.535600000002,443.018,4915.920000000001,4472.902000000001,0.028547352754212954,32249.541,35387.78,3138.2389999999978,0.05446225061664078,1704.9589999999998,674.0239999999999,-154.5300000000002,0.0015686413233834428,45.631,0.06769936975537964,21.631278065888907,0.36700757914115184,0.434601274412203,0.024546502633332395,0.06749473684210526,0.00723433333333334,0.193122,0.28613333333333335,0.056480512319094026,0.05174255138095328,0.13822841104877595,0.028223919878699513,0.00830925785088869,0.0065461626392950036,0.006050892875753858,0.006554942301756567,0.006059008286257303,0.010065058022899365,0.009569124007400101,0.04803281201273501,0.1327145541529801,0.08653485211127414,0.8617715889512241,0.038502040098539136,0.0846817421402451,0.001763095211593687,0.0018591887738735743,6.426299125526577,11.1673862297699,88.90975385021325,,8.449885627567417,15.223127118705035,111.55088320804605,,0.32352941176470584,62.244685296934236,37.590916259307285,19.31252532206261,23.54167300666103,19.184969902466833,0.6704905604310402,1.5368655395160082,1.3216514817756322,0.8388441752789954,0.7312096031387273,16425.219999999998,2431.454,7202.3049999999985,2.9621391151138363,0.14803174630233268,0.18213273665105784,0.4384906260007476,0.5435271167190524,0.21909294082281505,1.2041091626164389,0.28497080155433124,0.37854802378337143,0.33181187458464717,0.3480622133182802,0.17971799645967956,0.12274014466841553,0.1393323635551409,0.15182530885644577,0.13121175672363117,0.3409227686503955,-0.08829806532691059
Auto Parts,199,1.0222204085218392,1.0082884041353173,0.16088387745491356,6.35377779733279,6.267181150068205,12483.68,5147.082999999995,2.4253892933142933,616.8780000000002,306.94519999999284,0.058516731568999565,2.3056689523841802,1.409306909476083,0.056913184658078576,0.11099344973608871,-0.054080265078010135,83282.31899999997,-4503.929887831398,0.04224175555430744,0.1017157154153468,-0.05947395986103936,100165.11595226494,-5957.216085621358,0.853417148860952,0.3465753711918188,0.0636,0.09196926131954353,0.047700000000000006,0.146582851139048,3712.2946000000006,253.15199999999993,5821.642000000002,5568.490000000002,0.06686281154106676,26894.06600000001,31858.321000000018,4964.255000000008,0.14244207841928888,407.5010000000011,3539.064,-517.7629999999999,0.018532099907105533,413.978,0.11697386653646276,3.2130509092767223,0.13572491109321255,0.2167926829937249,0.012338361999742156,-0.031822596153846146,0.08006467625899286,0.34545045454545453,0.4619166666666667,0.056913184658078576,0.049415933346966125,0.15221811405917646,0.03357713356132921,0.03202914721727779,0.030600788207197346,0.02778645631998561,0.030614634074366,0.027799028792978433,0.0327890307079407,0.02997342542655313,0.07928981444834958,0.15141772239955423,0.12403976696790864,0.8477818859408235,0.044749952519559065,0.07212790795120463,0.0014283590100804457,0.001580856056233843,11.845551130104548,19.18772062985332,45.24991398004767,54.58379428570343,11.886730501445353,18.595418486823107,48.16086574244469,58.09519968294563,0.23115577889447236,90.00522878438676,74.43333002588525,31.245790802219066,42.37445697399645,27.23329144473437,0.589571526856959,2.186664118550482,1.839830816484373,1.4400221332174015,1.4744272814096135,7973.292,988.909,3123.9630000000006,3.1589994630446285,0.1240276914478988,0.18141999709477816,0.3918034106865772,0.5025362778704627,0.17175990819342077,0.8932234241403924,0.1261929260128745,0.37390506071670887,0.3465753711918188,0.22622290149633165,0.146582851139048,0.1017157154153468,0.11799722845104155,0.27624695043098635,0.1867465140926411,0.2914919158572203,0.1682379475301636
Bank (Money Center),26,0.4110372393312606,1.1052397575304067,0.2783065192681531,1.4769227843176005,3.9713038718488995,35767.63,0,,556.1999999999999,0,0.059408548204577395,,0.10938011916270324,0.10260124394843194,0.11793516663917712,-0.015333922690745183,2659000.899999999,-40772.91423522185,0,0.059271690691404075,-0.059271690691404075,5589903.4,-331323.025319628,0.22821540141793673,0.17184442270085454,0.055900000000000005,0.13672612838745876,0.041925000000000004,0.7717845985820633,72745.77799999999,4691.2,64749.712,60058.512,0.02258687163287535,1547772.2,1680023.2999999998,132251.09999999986,0.031940274767158515,0,4644.829999999999,-480.27000000000044,0.00013782975473491832,49.1,0.010570892799090605,,,0.7333530119845992,0.07524293128294919,0.022265999999999998,0.045127600000000004,0.061399999999999996,0.08300624999999999,0.10260124394843194,0.10260124394843194,0.9989913714584127,0.4461988180711823,1.5795904742418645e-05,0,0,0,0,0,0,0,0.3629309466437628,0,0.001008628541587342,0,0.3629309466437628,1.5795904742418645e-05,0.0045485450938080145,,,,,,,,,0,5.286441730308639,5.7649174549126165,4.83754943455564,4.23444507773311,4.48785045495732,0.5406641614284853,0.44171230372822606,0.7255543976026368,2.0024735686821735,6.671747590012369,322917.5,47522.8,103062.30000000002,2.168691659582348,0.14716700085935264,0.14716700085935264,0.3191598473294263,0.3191598473294263,3.381825213315353,0.3125351980132133,0.23964262089319638,0.2109790082788576,0.17184442270085454,,0.7717845985820633,0.059271690691404075,0.07492595213019348,0,0.00041395148998821273,,
Banks (Regional),35,0.1759675765630339,0.8119924199853406,0.19710226948484574,0.8927729600625589,4.119650281590344,2800.5399999999995,0,,80.5,0,0.050985270929596704,1359.0736807119333,0.056868884592600054,0.10179433461760286,0.09693865727095038,0.004855677346652473,257137.09999999995,1248.5747914539115,2.075356260638142e-06,0.05034127937917132,-0.050339204022910686,993641.7850430794,-50019.13654297274,0.15298527305174248,0.18556674536170437,0.055900000000000005,0.10805865733938441,0.041925000000000004,0.8470147269482575,5462.6445,2367.7,8131.335,5763.635,0.022414637949949662,621544.7,689428.6000000001,67883.90000000014,0.07488510297875135,0,3059.96,104.86000000000013,0.0007936070331308296,0,0,917.8643904660944,0.0019048956091706213,0.7913037772539551,0.08055024148596218,0.05134777777777779,0.06198678571428571,0.12072777777777777,0.10679999999999999,0.10179433461760286,0.10179433461760286,0.9997239294745989,0.46321625701458047,0,0,0,4.0914915137955414e-05,3.64937043429931e-05,4.0914915137955414e-05,3.64937043429931e-05,0,0.4142094915170252,0,0.00027607052540112864,0,0.4142094915170252,0,0.002570942161455246,,,,,,,,,0.02857142857142858,9.606142971560146,10.71529658354468,5.418850443896716,6.310419252144824,6.234257696449438,0.5837319940495729,0.5602703838399323,0.8842692728328632,2.8975265142733777,16.962301951129835,30565.99999999999,3818.0899999999997,10155.67,2.6598822971695273,0.124912975201204,0.12292710855198591,0.33225381142445864,0.33225381142445864,5.536576887775215,0.15759398960613397,0.1044146161228644,0.21017390740739295,0.18556674536170437,,0.8470147269482575,0.05034127937917132,0.06586356429610496,0,0.016652892635110862,,
Beverage (Alcoholic),44,1.623999873351353,1.5435802383872408,0.22410764758938606,7.246516978871126,6.887673200762053,2955.436,2138.3530000000005,1.3821085667333688,64.923,15.540799999984301,0.012557245110659362,0.0457681264215527,1.2239715376635647,0.21811262719490263,0.14932034506852643,0.0687922821263762,93059.94,6401.805647143641,0.3587617597616055,0.14887836326383658,0.20988339649776894,58397.11774380073,12256.585417749026,0.9956506563287914,0.3415418223763413,0.0636,0.20108133522799185,0.047700000000000006,0.004349343671208624,8791.479999999998,17.684,278.45000000000005,260.766,0.0028021294662343432,2205.8999999999996,2109.392,-96.50799999999981,-0.030055537406076388,238.66300000000047,1957.918,-121.06299999999987,0.016242728627224548,9.518999999999998,0.004861797072196077,-0.1550257304560764,-0.05561730386675029,0.5668698504863743,0.12364147236716475,0.21588571428571424,0.08069523809523807,0.14964999999999998,0.17209166666666667,0.21811262719490263,0.215846704434344,0.6783483110021891,0.28397548226051084,0.3679658365606219,0.36658192542126833,0.29286914238711154,0.3666147958766791,0.29289540320745877,0.36683222145807,0.29311282878884964,0.3896771116512425,0.5849638223296328,0.3945990712180423,0.32165168899781094,0.0049219595667997305,0.19528671067839026,0.0013839111393535292,0.002206210412638239,24.16783018349362,24.467250848754777,26.513625504444633,35.428100571433745,24.832095973580874,25.145746862192066,26.727568329970968,35.71397576937727,0.2272727272727273,68.5509813083931,190.67398782021658,36.52368432616147,37.284449969075936,35.56200786087627,2.066457286961964,7.469667426421196,11.270022496056816,10.298020143988765,9.798722007572298,28440.181000000004,7172.497000000001,20455.600999999995,2.8519497463714507,0.25219589847195417,0.25321158937273636,0.7192500286830099,0.7224648242724375,0.00436834309660953,1.5385395868000968,0.05262333326104073,0.29206448115187655,0.3415418223763413,0.4755883978384831,0.00434934367120865,0.1488783632638366,0.16585686124310528,0.07201949566297465,0.290415677004483,0.08020489557323876,0.1620282971682546
Beverage (Soft),5,1.1528083427049325,1.1142897031168455,0.14335966020062912,8.041371897028768,7.772686553228559,745.003,487.219,1.529092666747397,34.3,3.3899999999998727,0.032894405789034215,0.2143042235945951,3.891793645770399,0.3136407903564395,0.11858314274316614,0.19505764761327335,4620.700000000001,901.3028723266523,0.5556681771233579,0.11768692738522757,0.43798124973813035,2308.0617364597892,1010.8877638074177,0.9873564387348643,0.3461515844705695,0.0636,0.287295092393698,0.047700000000000006,0.01264356126513569,423.86799999999994,33.6,10.7,-22.900000000000002,-0.004955959053823013,644.77,1075.9,431.1300000000001,0.44885996876626766,67.07,383.29999999999995,-14.400000000000034,0.03765743815455956,0,0,0.11700734708095482,0.06501725926251423,0.7075239435842235,0.22190836886186077,-0.1532966666666667,0.08353,0.13496666666666665,0.124,0.3136407903564395,0.3086753709935291,0.48028945171166154,0.16134038408015586,0.20088405232396322,0.19969284720289449,0.1423220722153783,0.19980507127281288,0.1424020548607607,0.200182471773787,0.1427794553617348,0.25480100194823263,0.5358363484553297,0.25819983300862787,0.5197105482883384,0.0033988310603952124,0.2810353465070971,0.0011912051210687445,0.0050456999721681045,31.490465822852265,31.911722191216402,40.57942787409136,52.82276266085,31.401939281354466,31.820814740124433,40.57942787409136,52.82276266085,0,33.55372094956411,47.66575938223544,34.57421232955992,53.128085786636866,51.82668157103033,4.17957109443793,13.832793104718405,25.53283038834894,8.361736710269968,8.107975478592795,1993.6609999999998,461.666,525.8859999999999,1.1391048940142872,0.23156695145262912,0.23156695145262912,0.26377904769165866,0.26377904769165866,0.012805467984121667,1.1036897552479228,0.04260776543458956,0.2809291897819898,0.3461515844705695,1.0136450334205074,0.012643561265135661,0.11768692738522757,0.1342044681840242,0.0316537712218202,0.05650654049540773,0.06479376565544112,-0.16633676593376
