,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,67,1.1788720545198796,0.12320723910362338,0.9080954038491281,0.4421479481472755,0.0636,0.08178811092504908,0.047700000000000006,0.09190459615087188,0.11626777678733756,0.1327643449171998,1.2233869738867418,0.1535112046554183,7.969365992748474,7.679387684866757,0.10120588185042835,1.0957033376220098,0.104368968274263,0.47066330502742926,0.4421479481472755,0.28899784609445595,1586.7689999999998,262.3449999999999,598.6780000000002,2.2820255770073774,0.1653328241224778,0.3096860257533611,0.37729373336635663,0.6540798734401256
Aerospace/Defense,63,0.8394272288703479,0.09890298958711691,0.9460782589488463,0.29626377838044204,0.0636,0.08413956331144659,0.047700000000000006,0.05392174105115366,0.09614203524155547,0.11234117861950943,0.9025795540452759,0.15668024964648591,5.760646642328855,5.357581640087558,0.0569950112912056,0.805015814780584,0.10809433786464624,0.327479066276057,0.29626377838044204,0.3538693221305147,3182.7019999999993,329.1399999999999,1537.5790000000004,4.671504526949022,0.10341527419155169,0.11648455841190662,0.483104921541508,0.5633164463098168
Air Transport,17,1.1142687976141035,0.11858164590916981,0.4742925230027778,0.2586037668991852,0.0636,0.032076541459957475,0.047700000000000006,0.5257074769972222,0.08131863467284968,0.09729871301776871,0.6420965109889322,0.19998375442663488,3.2107433567784565,5.5717965732205466,1.1084034672714909,0.6084569515371716,0.05239019193539953,0.2386623859962095,0.2586037668991852,2.3336670908774453,54.53,3.548,1101.0499999999997,310.3297632468996,0.06506510177883734,,20.191637630662015,
Apparel,212,0.7395377805545943,0.09175090508770894,0.8600382207432665,0.3512879114708432,0.0636,0.10664968423128247,0.047700000000000006,0.13996177925673348,0.0855854620337637,0.10162859694066673,0.7426252296467004,0.1326663091242713,5.5976926964257965,5.574420404368481,0.1627390223841157,0.6590927038418051,0.1124827469767428,0.34833223079854647,0.3512879114708432,0.22016574249990364,9874.130000000001,1957.8509999999994,3121.1960000000004,1.5941948595679658,0.19828086119992336,0.27985844036206403,0.3160983296756271,0.42704261935132715
Auto & Truck,34,1.4019680257484384,0.13918091064358817,0.8202820035403204,0.33181187458464717,0.0636,0.0756580291128368,0.047700000000000006,0.17971799645967956,0.12274014466841553,0.1393323635551409,1.6839999894185198,0.2112118266898425,7.973038327495824,6.637734485423401,0.21909294082281505,1.2041091626164389,0.28497080155433124,0.37854802378337143,0.33181187458464717,0.3480622133182802,16425.219999999998,2431.454,7202.3049999999985,2.9621391151138363,0.14803174630233268,0.18213273665105784,0.4384906260007476,0.5435271167190524
Auto Parts,199,1.0082884041353173,0.11099344973608871,0.853417148860952,0.3465753711918188,0.0636,0.09196926131954353,0.047700000000000006,0.146582851139048,0.1017157154153468,0.11799722845104155,1.0222204085218392,0.16088387745491356,6.35377779733279,6.267181150068205,0.17175990819342077,0.8932234241403924,0.1261929260128745,0.37390506071670887,0.3465753711918188,0.22622290149633165,7973.292,988.909,3123.9630000000006,3.1589994630446285,0.1240276914478988,0.18141999709477816,0.3918034106865772,0.5025362778704627
Bank (Money Center),26,1.1052397575304067,0.11793516663917712,0.22821540141793673,0.17184442270085454,0.055900000000000005,0.13672612838745876,0.041925000000000004,0.7717845985820633,0.059271690691404075,0.07492595213019348,0.4110372393312606,0.2783065192681531,1.4769227843176005,3.9713038718488995,3.381825213315353,0.3125351980132133,0.23964262089319638,0.2109790082788576,0.17184442270085454,,322917.5,47522.8,103062.30000000002,2.168691659582348,0.14716700085935264,0.14716700085935264,0.3191598473294263,0.3191598473294263
Banks (Regional),35,0.8119924199853406,0.09693865727095038,0.15298527305174248,0.18556674536170437,0.055900000000000005,0.10805865733938441,0.041925000000000004,0.8470147269482575,0.05034127937917132,0.06586356429610496,0.1759675765630339,0.19710226948484574,0.8927729600625589,4.119650281590344,5.536576887775215,0.15759398960613397,0.1044146161228644,0.21017390740739295,0.18556674536170437,,30565.99999999999,3818.0899999999997,10155.67,2.6598822971695273,0.124912975201204,0.12292710855198591,0.33225381142445864,0.33225381142445864
Beverage (Alcoholic),44,1.5435802383872408,0.14932034506852643,0.9956506563287914,0.3415418223763413,0.0636,0.20108133522799185,0.047700000000000006,0.00434934367120865,0.1488783632638366,0.16585686124310528,1.623999873351353,0.22410764758938606,7.246516978871126,6.887673200762053,0.00436834309660953,1.5385395868000968,0.05262333326104073,0.29206448115187655,0.3415418223763413,0.4755883978384831,28440.181000000004,7172.497000000001,20455.600999999995,2.8519497463714507,0.25219589847195417,0.25321158937273636,0.7192500286830099,0.7224648242724375
Beverage (Soft),5,1.1142897031168455,0.11858314274316614,0.9873564387348643,0.3461515844705695,0.0636,0.287295092393698,0.047700000000000006,0.012643561265135661,0.11768692738522757,0.1342044681840242,1.1528083427049325,0.14335966020062912,8.041371897028768,7.772686553228559,0.012805467984121667,1.1036897552479228,0.04260776543458956,0.2809291897819898,0.3461515844705695,1.0136450334205074,1993.6609999999998,461.666,525.8859999999999,1.1391048940142872,0.23156695145262912,0.23156695145262912,0.26377904769165866,0.26377904769165866
Broadcasting,7,0.770378975431208,0.09395913464087449,0.786229634137276,0.39527097733428784,0.0636,0.0012593270083953313,0.047700000000000006,0.21377036586272402,0.08407030250420174,0.1000910458909634,0.8069473101670087,0.14003036017271223,5.76265967731374,5.501513917989137,0.2718930406347412,0.6398922817985294,0.20702098670346272,0.4029664652995861,0.39527097733428784,1.1459563863158648,148.5,0.554,32.319,58.33754512635379,0.003730639730639731,,0.21763636363636366,
Brokerage & Investment Banking,105,1.048976694772948,0.11390673134574307,0.32249988323055934,0.3085033550160509,0.0636,0.1189246083226357,0.047700000000000006,0.6775001167694407,0.06905166312807916,0.08485045617923315,0.4582186436067594,0.1714779299791555,2.6721727027055873,6.117269405459113,2.1007763165144673,0.4072775000334031,0.1111721320904475,0.35248894353795546,0.3085033550160509,0.8988608227222492,28028.970000000005,4893.607999999998,10709.937000000005,2.1885563780343684,0.17459107487717163,0.18360755279852528,0.38210241047030996,0.4057874573579665
Building Materials,67,1.1984969306267352,0.12461238023287424,0.8330276067419163,0.3422364136754258,0.0636,0.09642230143739122,0.047700000000000006,0.16697239325808366,0.1117701360342155,0.12820023656674095,1.1465941054646285,0.17951808334676822,6.387067442391285,6.67619054461296,0.20044040786491493,1.041871994922727,0.09133320155999361,0.3574867337289093,0.3422364136754258,0.47879469374659794,4053.175,546.5440000000001,1297.2269999999996,2.3735088117333634,0.13484342521603437,0.12379660834888616,0.32005205795456637,0.40506558759673245
Business & Consumer Services,122,1.023815031918444,0.1121051562853606,0.8587352830860119,0.4111910638555063,0.0636,0.11405214854188972,0.047700000000000006,0.14126471691398812,0.10300698011490797,0.11930757588015317,1.0884327601077337,0.13116798683938113,8.298006139566281,7.805372763493993,0.164503217343451,0.9113722779750498,0.16267470864728317,0.41403421940327123,0.4111910638555063,0.25811791681903,1786.8920000000005,303.109,1092.089,3.6029580118043345,0.16962916617232596,0.8803973431347136,0.6111667632962706,3.4103589016541367
