,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva,roc,cost_of_capital,roc_wacc,bv_of_capital,eva,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard,evebitda,evebit,evebit_1t,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_all_companies,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201721,dde,cost_of_capital,cost_of_capital_euros,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,86,0.90361402776565,1.091619679765098,0.23507337296389696,3.8439658918937996,4.643740233109052,1075.2269999999996,3480.039999999999,0.3089697244859254,1940.9100000000003,-8.63459999999759,-0.009456163762521222,-0.1197247264843236,2.67864102314514,0.12884543372143192,0.12012566614249981,0.008719767578932114,31263.280999999984,272.60854407484425,0.2397659537513196,0.0952329111403083,0.1445330426110113,18655.499026639223,2696.3360357469264,0.6481041095075166,0.38516433805010714,0.0657,0.17526897209914533,0.04938669,0.3518958904924834,965.5898,2052.483,446.98799999999994,-1605.4950000000003,-0.0513540149544765,5401.631000000001,3338.7139999999995,-2062.9170000000017,-0.06727651492718195,299.23099999999977,36698.77300000002,-866.9119999999821,0.32491992492416594,27.89399999999999,0.0007600799078486894,-0.22602650335676006,-0.05419346015040941,0.7602883818823172,0.09795968631699283,0.126888,0.08250925925925927,0.22109940000000008,0.245375,0.12884543372143192,0.12751938007613733,0.3474889879478021,0.08060875238899215,0.10838398815642172,0.10185751305472104,0.08905588696381304,0.10257487309269203,0.0896830879678232,0.10240208220446674,0.08951029707959793,0.13731106312142421,0.256031386762644,0.13895510400602248,0.652511012052198,0.0016440408845982538,0.11872032364121976,0.006526475101700695,0.008498443659306213,10.400400668604847,10.518741824028204,14.816638544673202,19.242413520646366,10.98345304866337,11.114959173920733,14.87895441355431,19.323343329002913,0.43023255813953487,27.73741507970863,28.99304826257298,18.62925614970228,21.105352808570597,11.86052844642462,0.48336336001730495,1.7525215964216247,4.895455883586982,1.152967363221971,1.5262068607222832,4232.3020000000015,982.8529999999997,1293.824,1.316396246437667,0.1256817067979126,0.232226575513751,0.24652141082244217,0.3057021923293753,0.3430397990902639,0.5429619799199902,0.7752184978342935,0.1420911207507898,0.3650945139586329,0.38516433805010714,0.46053118616516253,0.6602295140557851,0.68,0.73,0.83,0.7607687083642871,0.3518958904924834,0.0952329111403083,0.08444243910936922,0.5083015209604455,0.015367614885999241,0.6086586353370029,-0.2423490163420523
Aerospace/Defense,56,0.9033574147118228,0.92069709240696,0.19855086355002155,4.549753139120632,4.637084301449064,6294.022999999999,7673.795000000001,0.8201969169100815,1056.5070000000003,-1356.4625999999917,-0.009078392781956943,-0.1375783907225098,1.7598812670357407,0.044113914689700065,0.10739193338431852,-0.06327801869461845,67611.99999999999,-4278.353399980542,0.10737411323412213,0.09744730108272581,0.00992681215139632,105134.80679957848,1043.6534776727601,0.8285563214397064,0.35045517740150506,0.0657,0.16757954702587946,0.04938669,0.1714436785602936,3934.2553999999996,940.6339999999999,1158.7859999999996,218.1519999999997,0.003226527835295506,7964.477,3728.919,-4235.558,-0.06934086317919613,-835.4630000000002,32845.995,-5924.578999999991,0.08696958632380149,9.861,0.0003002192504748296,0.14141612343584847,0.015184430850931387,-0.3190557997472028,-0.01407480033130213,0.10601680000000004,0.06413076923076924,0.27844358974358974,0.27302777777777776,0.044113914689700065,0.01476342963615378,0.31387905955968276,0.016120165354935143,0.08101300940900472,0.078340680826763,0.06834405356321127,0.07833991249768836,0.06834338327642188,0.07100866409953469,0.0610121348782682,0.12225819896542828,0.2682908840906211,0.19485614621224484,0.6861209404403172,0.07259794724681656,0.1460326851251928,0.0026723285822417187,0.0005354201832114628,8.794308256191812,14.144016001227092,21.546941125717765,25.580555039496375,8.717443834054144,13.893935332760986,21.683040689834954,25.742132609622825,0.375,89.6298818419786,113.64807938549781,28.60448684749391,26.602155866236686,20.81071975731706,0.7622198710585147,4.662459466382252,3.0638619145175072,1.5957078548458419,1.6986475103254866,13037.427000000003,2312.3950000000004,2080.163,0.8995707913224167,0.12760454923359116,0.17736590202959523,0.16837039989715633,0.1595531848423772,0.6412816118583411,0.206918557162646,0.7967673564462945,0.11799322895858588,0.3521607160972376,0.35045517740150506,0.16647689671857283,1.2086944789317875,1.2,1.07,1.14,1.104410378728722,0.17144367856029363,0.09744730108272581,0.0866350124021078,0.3117833834762575,0.3799599012623049,0.23666868140584224,0.30249544362374775
Air Transport,37,0.7849558593753849,1.2534744156117137,0.2648581390646993,2.963684114625742,4.732625623808057,11951.008000000002,13403.923999999999,0.8916051747234618,536.1129999999999,-6.163799999999355,-0.006684703219282002,-0.14086671927626465,1.0451417075522944,0.06179914122202214,0.13218384396307267,-0.07038470274105053,44169.74,-3108.8740200494894,0.05294017045378249,0.08831826825311725,-0.03537809779933476,132107.89408008722,-4673.725996829484,0.4702043052165856,0.3381403022325702,0.0657,0.19726344023458947,0.04938669,0.5297956947834144,106.2723,1207.453,3634.857000000001,2427.404000000001,0.05495626643942213,20291.407000000003,12429.664,-7861.743000000002,-0.05940586899602917,-3662.986000000001,1170.683,-691.81,0.004735669204637116,1.5890000000000002,0.0013573273038047023,-0.37421159968536427,-0.019810825873125805,0.9610674547524739,0.059393143360137506,0.009884545454545436,0.04533281249999999,0.717672,0.2175,0.06179914122202214,0.061432101151398424,0.25461555526279245,0.019769848180800857,0.05889488248368762,0.05822006530386039,0.050650958382509506,0.05827439344198329,0.05069822339756403,0.0582297513446695,0.05065358130025023,0.004158925808496135,0.055341519866486534,0.004536121763605471,0.7453844447372076,0.00037719595510933573,0.0511825940579904,0.0006748171798272299,0.02489162315719532,11.226767765524812,11.259454154072483,25.03193382962495,30.73961567857718,,,26.85026812800791,32.972559321202056,0.3783783783783784,103.03835901235814,38.12986504446128,16.1794424250889,,18.9277667835722,0.8702421509688367,2.153780668436257,1.4204541730463358,0.8509456732806565,1.5646830889142773,6640.359999999999,1172.0810000000001,217.96700000000004,0.18596581635569556,0.13000856116952866,0.17650865314531144,0.19729945696519519,0.03282457577601216,0.06132832503306044,1.1267350998400145,0.6786664670333827,0.13540811380983914,0.3849717110844133,0.3381403022325702,2.0968368674035087,0.638873785362379,0.67,0.96,1.0,0.8107659289475528,0.5297956947834144,0.08831826825311725,0.0775959207826431,0.09772141920412668,0.01761710800935197,0.11235239256886308,0.010666091988446267
Apparel,118,1.0336800505581054,1.096456120941591,0.26368085838035105,3.9201937406736427,4.15826968888272,11237.914,9288.095,1.2099266857197306,1917.2099999999998,-47.6710000000312,0.01367658234684358,0.07827922691300215,1.5951413438271598,0.21630315543164533,0.12048598101014853,0.0958171744214968,152469.06099999993,14609.154611718828,0.3237397798222276,0.11127269121863814,0.21246708860358948,175070.75788655583,37196.77422778042,0.8704165729276357,0.33052609218775275,0.0657,0.1538284651895901,0.04938669,0.12958342707236425,13498.556699999996,5220.957,1082.693,-4138.264,-0.02714166384221388,31671.893000000007,17824.540999999997,-13847.35200000001,-0.10367878730753237,35358.57600000001,61481.59200000001,-21268.49700000001,0.1353756429510462,192.513,0.0031312299134999624,0.23675820114004978,0.0766480479081864,0.5906990482796015,0.12777006805334762,0.1982198148148148,0.11451873563218394,0.20729200000000003,0.1798842105263158,0.21630315543164533,0.21175382198790738,0.6628789044737267,0.11809507799332845,0.23429899693981232,0.2314413783809021,0.20170181315602595,0.2330736779303571,0.20312436681104692,0.23290297480248673,0.20295366368317652,0.2574730378149738,0.64819105174569,0.2609651272892953,0.33712109552627334,0.0034920894743214526,0.39071801393071615,0.002857618558910237,0.04405602763769976,13.35551245347565,13.530073989290894,15.509732488286888,20.690285327530805,13.88502089801743,14.073342501476137,15.54661289186141,20.73948450446874,0.3220338983050848,26.983300440558555,39.22307673895672,20.11464611853695,26.410477762147668,27.48404943431382,1.527874478471422,4.844083087243101,4.582654755743021,3.3061341789966283,3.6235062460656438,60968.999000000025,15334.241000000004,16055.561000000003,1.0470398241425838,0.12849718331668117,0.25150882008084136,0.25338719558044104,0.2633397507477529,0.26503951352628236,0.1488751835647062,0.9861019670353561,0.04602786277732724,0.3842236507246481,0.33052609218775275,0.33895600487441535,0.8224305020865429,0.92,1.04,1.07,0.9772221105289297,0.12958342707236425,0.11127269121863814,0.10032419179776486,0.07251226519394625,0.2725941565738602,0.11370677829817842,0.18902812708858047
Auto & Truck,31,0.8604210001918171,1.353468885736608,0.34772631246596764,2.474420167084789,3.892339570561182,25338.993999999995,17538.431000000004,1.4447697174279723,-2103.1890000000003,-3161.785400000015,0.004640965371993868,0.05544325020508503,0.9271847522922391,0.21665291821429183,0.1396334319873773,0.07701948622691454,270956.5579999999,20868.934886973162,0.08129198763355773,0.0896436949300258,-0.008351707296468072,589256.228221273,-4921.295540724862,0.4460770997767044,0.36578671421961917,0.0657,0.16921159155888213,0.04938669,0.5539229002232956,9737.319999999998,664.58,2137.48,1472.9,0.005435926743651655,304725.837,272107.532,-32618.304999999993,-0.10184646177153647,513.009999999998,17970.934999999998,-30.619000000002416,0.020475760336145312,0,0,0.04099085555811756,0.003332228123119444,0.8341271782825868,0.1807160873367753,0.2983571428571429,0.07744736842105261,2.8031470588235297,0.18933999999999998,0.21665291821429183,0.16955130628018789,0.20239379785891212,0.10744686472515323,0.10668386030411782,0.10545536071706785,0.09342519293198552,0.10549833028228575,0.09346326060245186,0.09971121775343308,0.08767614807359919,0.13832454173692768,0.21090065095524307,0.17120921284454985,0.7976062021410879,0.03288467110762216,0.0725761092183154,0.0012284995870499643,0.0009512008423767069,5.006928009791869,6.197772540196854,8.122689102631725,10.237308022407738,5.031269291095553,6.227381230553271,8.165054865158028,10.290703068691785,0.4516129032258065,20.628607893217886,18.95405356750679,10.38309889913556,4.333013035164857,4.096771998523854,0.21637118403527278,0.8930745826160442,0.8712503132908301,0.47228794014028275,0.8613996549374259,66778.79,13853.715999999997,11303.777999999997,0.815938337410699,0.11407829534013678,0.20745682873259605,0.20921021049964283,0.16927197992057055,0.17138120545303126,1.2417649336865229,0.7000334096000629,0.18640594610777567,0.4495345197728288,0.36578671421961917,0.35168025077489984,0.6439300834694509,0.8,0.69,0.74,0.7468702167322535,0.5539229002232956,0.0896436949300258,0.07890828906864633,0.039506519811434215,0.14373373419525548,0.14873598925405587,-0.043083701438744085
Auto Parts,59,1.1829793538383109,1.5318263842154805,0.3600621077985564,3.2854869429919327,4.254339323793799,8778.245999999994,7107.806000000001,1.235014855498306,1383.0509999999997,-463.00600000000213,0.013169302271684445,0.6216510437469721,1.6993618555709464,0.030279505184534317,0.15292106562405328,-0.12264156043951896,60500.130000000005,-7419.830349993755,0.031235075794958572,0.10969725920143526,-0.07846218340647669,115753.05186187738,-9082.237185046031,0.5825173411044728,0.31438475142284905,0.0657,0.15100904291527448,0.04938669,0.4174826588955271,1621.4987999999996,302.25100000000003,1757.79,1455.539,0.024058444171938143,9521.101999999999,18395.342999999997,8874.240999999998,0.1381843247236591,2111.828999999998,21042.06,-335.88199999999415,0.09960613511830498,92.49000000000001,0.004395482191382403,1.442859587346669,0.04506782857225585,0.11486085045477057,0.003477929716845246,-0.003268965517241376,0.053687499999999985,0.20732142857142857,0.41734761904761897,0.030279505184534317,0.013658686281525743,0.19328305672495405,0.009312939160709537,0.031202428924487907,0.025257785183222466,0.020355425588617644,0.02572786579453402,0.020734266838346865,0.023374072598432296,0.01838047364224514,0.08859223186833946,0.1775014845608343,0.15459555567611888,0.806716943275046,0.06600332380777942,0.08890925269249482,0.005944643741265438,0.009913956959217395,4.742136879191834,9.031848329891607,25.614429415621366,31.108018516838932,4.306633984633153,7.515178926042554,25.878029653336775,31.428153739952396,0.38983050847457623,26.342821122969355,47.574486524331,16.115578735727297,18.81239320726621,23.798042424710758,0.570221113972509,1.3506657133347384,1.0385064863975346,0.46086625248814467,0.6657864739480203,4704.299999999998,1663.0959999999993,2443.353,1.4691593269420413,0.19409301168105692,0.3535267733775482,0.4396176461977227,0.5193871564313502,0.5677386539543802,0.7166870914159666,0.9955110475178547,0.15847132556641327,0.3792177854934338,0.31438475142284905,0.3417021336208257,1.1464179559599292,1.3,1.17,1.29,1.217879461959648,0.41748265889552716,0.10969725920143526,0.09876428127826853,0.18950601490838728,0.13067207941934922,0.21791805053382096,0.05623561024254024
Bank (Money Center),111,0.3686115410275469,1.187512269991296,0.3400159639526025,1.0841006896927068,3.4925191634732564,6284.940999999998,3.966,,464.16099999999994,-0.0030000000000001137,0.013321312065499507,,0.099820529815095,0.07480886977514711,0.12726966411435156,-0.05246079433920445,1737807.2999999998,-91166.75136646816,-2.7528451090196065e-06,0.059886187879159725,-0.059888940724268744,5072518.558436166,-303787.76326893666,0.13481120872122643,0.25434907170435517,0.0657,0.17601562021654135,0.04938669,0.8651887912787736,54314.75950000003,7936.335,2268.79,-5667.545,-0.0032613195951012525,261348.52300000002,275172.17,13823.646999999968,0.002066914635312992,0.43599999999999994,48754.142,-8015.171000000002,0.001733452973974463,-3341.738,-0.06854264813028603,,,0.5822050846362478,0.04355410435898156,0.14495224719101127,0.10486421568627448,0.14391527472527468,0.18410709090909086,0.07480886977514711,0.07480886794551889,0.9984993921789816,0.2567504393131995,0.005890856386270065,-3.2527454939550776e-05,-2.5571904327052386e-05,-3.50716020393656e-05,-2.757202042440208e-05,-3.5077526894545846e-05,-2.757794527958233e-05,-9.04527890850896e-06,0.4830421658711002,-9.04527890850896e-06,0.0015006078210183516,0,0.4830512111500087,0.005923383841209616,0.003968215205907777,,,,,,,,,0.10810810810810811,10.13640282986721,17.863235782427264,7.1597427607766795,7.4359408704827725,7.619802002015176,0.4138787900232323,0.6764650725732637,0.8828571208331122,2.0581301761386377,8.444546193589956,178838.14999999997,41310.09000000001,12529.082999999999,0.3032935294984832,0.2138362999941013,0.23099148587703475,0.23346674920456434,0.0700582230357449,0.07098600833061665,6.417780832066279,0.2038911646720329,0.4468671162501778,0.29652170152071605,0.25434907170435517,1.53937367064814,0.2792265605086279,0.32,0.28,0.42,0.33356762030723497,0.8651887912787736,0.059886187879159725,0.0494439594271483,2.5674372447732853e-08,0.008183232229300428,,
Banks (Regional),68,0.24305769551689896,0.5147429311634185,0.24326006578554896,0.999168090874281,2.116019041190267,304.052,0,,-25.158999999999995,0,0.01625921417461284,1043.0946757583988,0.08020496145839011,0.05615602295678926,0.07714834837167467,-0.02099232541488541,99987.84999999999,-2098.97748473475,1.7395066939359924e-06,0.05187887311039899,-0.05187713360370505,213863.57761544263,-11094.629388922662,0.24680581859117134,0.1521759216130395,0.058,0.09449025211808482,0.0435986,0.7531941814088287,2162.5438199999994,176.477,446.952,270.475,0.002705078667058048,5255.995000000002,8786.05,3530.0549999999976,0.018982115560598433,0,192.525,-7.152000000000015,0.00021355409926258532,0,0,1043.0946757583988,0.0018144701708907283,0.6148575901348551,0.034527956946769044,0.06884238095238093,0.062128307692307684,0.11383210526315786,0.067,0.05615602295678926,0.05615602295678926,0.9998251026647358,0.3273448485738872,0.0008142636938783602,0,0,2.6297383271215715e-05,2.1688267936372474e-05,2.6297383271215715e-05,2.1688267936372474e-05,0,0.2847305298456475,0,0.00017489733526421247,0,0.2847305298456475,0.0008142636938783602,0.011004015642817668,,,,,,,,,0.02941176470588236,8.513144395720722,10.23748382535374,12.188083597854408,10.396807550504748,10.418450924882501,1.5549926753555972,0.6406942391356918,0.8177695138673142,3.5526965671151043,9.254613011396465,7075.429999999999,1233.1760000000004,549.3929999999999,0.44551061648945467,0.17526897209914533,0.17428990181515477,0.1783091311516204,0.07764800160555613,0.07994694388945238,3.0517683323199067,0.15626615164728558,0.35708206516579544,0.16247082718613767,0.1521759216130395,,0.1895944705629614,0.2,0.23,0.29,0.23053043321597205,0.7531941814088287,0.05187887311039899,0.04151553445906497,0,0.0006690989056090742,,
Beverage (Alcoholic),51,0.5066604785684935,0.6431606048751057,0.2566167801527838,1.974385612144457,2.506307672055516,6527.997000000002,9374.895999999999,0.6963274045920086,707.482,39.3666000000012,-0.012443027263736701,-0.07917705320993458,0.5816840988027595,0.12919100742227668,0.08671546506319538,0.0424755423590813,139804.274,5938.262362267608,0.1004653898194584,0.07420875407151598,0.02625663574794243,290145.9234443136,7618.255825627732,0.7099345934972636,0.2271508533471433,0.058,0.12440940730054863,0.0435986,0.2900654065027363,5800.1621,4559.213999999999,261.41900000000004,-4297.794999999999,-0.030741513667886855,10477.527000000004,10569.443999999998,91.916999999994,0.0005633647432299193,-17.140000000000782,12608.956000000002,-251.75299999999697,0.05262162308455101,121.35099999999998,0.009624190932223093,-0.06849847410925708,-0.006881725903424591,0.6788651800201037,0.08770327651070241,0.08735000000000001,0.07276595238095238,0.14231538461538465,0.18056923076923076,0.12919100742227668,0.12812793175343457,0.4867472675027273,0.1070160873223586,0.2117552560307683,0.20718351904895835,0.17246379877550624,0.20720471216287553,0.17248144035699314,0.20743796355392816,0.17271469174804577,0.25275180720264534,0.4932922731188418,0.25567068173769464,0.5132527324972727,0.0029188745350493006,0.24054046591619638,0.004571736981809975,0.0018880596435679655,12.403144213765318,12.543483965927594,15.616548958268783,20.59007726607485,12.66079630878575,12.80700802670843,15.622204677781967,20.597534208199704,0.2549019607843137,249.31149002356693,18.141583857472096,16.848255132473255,21.169352282439483,20.774851457387456,1.1505200176622514,2.279548755209223,1.7566453364669379,2.366337276039032,3.2369944236093406,30961.051,7202.841,4456.640999999998,0.6187337746314263,0.16757954702587946,0.23264200559599868,0.23276481255499612,0.14394346626023768,0.14405341026971827,0.40858046524232977,0.49204029935977883,0.028855969287405536,0.2646147655991425,0.2271508533471433,0.10450975605688105,0.47379727362657004,0.45,0.47,0.52,0.4840915504390127,0.2900654065027364,0.07420875407151599,0.06362541659297882,0.10896220710779617,0.17969004807455588,0.19783888763902013,0.061839105209017975
Beverage (Soft),16,0.7148642327405521,0.8801601084326022,0.2739901459472635,2.609087382573774,3.2123786984733815,1227.4370000000001,1120.8890000000001,1.0950566916081788,305.496,3.3575999999998203,0.013239502993394192,0.14557472906016725,1.2390870940012038,0.17203227559227804,0.10437192807822886,0.06766034751404919,14034.877999999999,949.6047227972836,0.12173484024876406,0.08598377172120786,0.035751068527556204,25321.804376706325,905.2815635130004,0.6974304857329627,0.248672963307443,0.058,0.17842582416978564,0.0435986,0.3025695142670373,1413.7500000000002,172.522,34.026999999999994,-138.495,-0.00986791620133784,2403.653,1420.401,-983.2519999999997,-0.05253365860591207,-20.245000000000005,5265.536999999999,-836.5800000000008,0.10604683227216759,58.3,0.011071995126043175,-0.019664918422013587,-0.0023939057026088014,0.41446340618906474,0.07130108291643146,0.346532,0.12689999999999999,0.213275,0.14796666666666666,0.17203227559227804,0.16885187605156632,0.36768590792920475,0.07695238651321182,0.12408572803329025,0.12224447530958533,0.09813010956034421,0.12225502239946152,0.09813857609498695,0.12236203439761131,0.09824558809313673,0.1446012054913065,0.3882625150668884,0.1475672060750025,0.6323140920707953,0.002966000583696013,0.24366130957558188,0.0018412527237049072,0.0016864843584989905,11.332440137941738,11.545274823565396,14.913851872833547,20.04799028457478,12.404831166593917,12.659273972625572,14.97317853417236,20.127740327707723,0.3125,27.0636038177926,23.561677006505146,19.13715472250372,19.760699849999426,17.350465473145782,1.1725928456732901,2.997042277550485,2.4228808779406954,1.3750681613457656,1.8305462770863783,3319.5879999999997,850.3430000000001,696.5139999999999,0.8190977052789284,0.19726344023458947,0.25615919806915805,0.2597220679975899,0.20981941132453785,0.2113172765770505,0.43383465514710434,0.6637140045807184,0.0715523673127982,0.31956681582572194,0.248672963307443,0.21104763482556546,0.5692685464415078,0.52,0.65,0.68,0.626826555836412,0.30256951426703727,0.08598377172120784,0.07528442421656534,0.17747635200891795,0.0973411425914796,0.21822380927080992,-0.03743880538199973
