,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_euros,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201721,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,86,1.091619679765098,0.12012566614249981,0.6481041095075166,0.38516433805010714,0.0657,0.1256817067979126,0.04938669,0.3518958904924834,0.0952329111403083,0.08444243910936922,0.90361402776565,0.23507337296389696,3.8439658918937996,4.643740233109052,0.5429619799199902,0.7752184978342935,0.1420911207507898,0.3650945139586329,0.38516433805010714,0.46053118616516253,0.6602295140557851,0.68,0.73,0.83,0.7607687083642871,4232.3020000000015,982.8529999999997,1293.824,1.316396246437667,0.232226575513751,0.24652141082244217,0.3057021923293753,0.3430397990902639
Aerospace/Defense,56,0.92069709240696,0.10739193338431852,0.8285563214397064,0.35045517740150506,0.0657,0.12760454923359116,0.04938669,0.17144367856029363,0.09744730108272581,0.0866350124021078,0.9033574147118228,0.19855086355002155,4.549753139120632,4.637084301449064,0.206918557162646,0.7967673564462945,0.11799322895858588,0.3521607160972376,0.35045517740150506,0.16647689671857283,1.2086944789317875,1.2,1.07,1.14,1.104410378728722,13037.427000000003,2312.3950000000004,2080.163,0.8995707913224167,0.17736590202959523,0.16837039989715633,0.1595531848423772,0.6412816118583411
Air Transport,37,1.2534744156117137,0.13218384396307267,0.4702043052165856,0.3381403022325702,0.0657,0.13000856116952866,0.04938669,0.5297956947834144,0.08831826825311725,0.0775959207826431,0.7849558593753849,0.2648581390646993,2.963684114625742,4.732625623808057,1.1267350998400145,0.6786664670333827,0.13540811380983914,0.3849717110844133,0.3381403022325702,2.0968368674035087,0.638873785362379,0.67,0.96,1.0,0.8107659289475528,6640.359999999999,1172.0810000000001,217.96700000000004,0.18596581635569556,0.17650865314531144,0.19729945696519519,0.03282457577601216,0.06132832503306044
Apparel,118,1.096456120941591,0.12048598101014853,0.8704165729276357,0.33052609218775275,0.0657,0.12849718331668117,0.04938669,0.12958342707236425,0.11127269121863814,0.10032419179776486,1.0336800505581054,0.26368085838035105,3.9201937406736427,4.15826968888272,0.1488751835647062,0.9861019670353561,0.04602786277732724,0.3842236507246481,0.33052609218775275,0.33895600487441535,0.8224305020865429,0.92,1.04,1.07,0.9772221105289297,60968.999000000025,15334.241000000004,16055.561000000003,1.0470398241425838,0.25150882008084136,0.25338719558044104,0.2633397507477529,0.26503951352628236
Auto & Truck,31,1.353468885736608,0.1396334319873773,0.4460770997767044,0.36578671421961917,0.0657,0.11407829534013678,0.04938669,0.5539229002232956,0.0896436949300258,0.07890828906864633,0.8604210001918171,0.34772631246596764,2.474420167084789,3.892339570561182,1.2417649336865229,0.7000334096000629,0.18640594610777567,0.4495345197728288,0.36578671421961917,0.35168025077489984,0.6439300834694509,0.8,0.69,0.74,0.7468702167322535,66778.79,13853.715999999997,11303.777999999997,0.815938337410699,0.20745682873259605,0.20921021049964283,0.16927197992057055,0.17138120545303126
Auto Parts,59,1.5318263842154805,0.15292106562405328,0.5825173411044728,0.31438475142284905,0.0657,0.19409301168105692,0.04938669,0.41748265889552716,0.10969725920143526,0.09876428127826853,1.1829793538383109,0.3600621077985564,3.2854869429919327,4.254339323793799,0.7166870914159666,0.9955110475178547,0.15847132556641327,0.3792177854934338,0.31438475142284905,0.3417021336208257,1.1464179559599292,1.3,1.17,1.29,1.217879461959648,4704.299999999998,1663.0959999999993,2443.353,1.4691593269420413,0.3535267733775482,0.4396176461977227,0.5193871564313502,0.5677386539543802
Bank (Money Center),111,1.187512269991296,0.12726966411435156,0.13481120872122643,0.25434907170435517,0.0657,0.2138362999941013,0.04938669,0.8651887912787736,0.059886187879159725,0.0494439594271483,0.3686115410275469,0.3400159639526025,1.0841006896927068,3.4925191634732564,6.417780832066279,0.2038911646720329,0.4468671162501778,0.29652170152071605,0.25434907170435517,1.53937367064814,0.2792265605086279,0.32,0.28,0.42,0.33356762030723497,178838.14999999997,41310.09000000001,12529.082999999999,0.3032935294984832,0.23099148587703475,0.23346674920456434,0.0700582230357449,0.07098600833061665
Banks (Regional),68,0.5147429311634185,0.07714834837167467,0.24680581859117134,0.1521759216130395,0.058,0.17526897209914533,0.0435986,0.7531941814088287,0.05187887311039899,0.04151553445906497,0.24305769551689896,0.24326006578554896,0.999168090874281,2.116019041190267,3.0517683323199067,0.15626615164728558,0.35708206516579544,0.16247082718613767,0.1521759216130395,,0.1895944705629614,0.2,0.23,0.29,0.23053043321597205,7075.429999999999,1233.1760000000004,549.3929999999999,0.44551061648945467,0.17428990181515477,0.1783091311516204,0.07764800160555613,0.07994694388945238
Beverage (Alcoholic),51,0.6431606048751057,0.08671546506319538,0.7099345934972636,0.2271508533471433,0.058,0.16757954702587946,0.0435986,0.2900654065027364,0.07420875407151599,0.06362541659297882,0.5066604785684935,0.2566167801527838,1.974385612144457,2.506307672055516,0.40858046524232977,0.49204029935977883,0.028855969287405536,0.2646147655991425,0.2271508533471433,0.10450975605688105,0.47379727362657004,0.45,0.47,0.52,0.4840915504390127,30961.051,7202.841,4456.640999999998,0.6187337746314263,0.23264200559599868,0.23276481255499612,0.14394346626023768,0.14405341026971827
Beverage (Soft),16,0.8801601084326022,0.10437192807822886,0.6974304857329627,0.248672963307443,0.058,0.19726344023458947,0.0435986,0.30256951426703727,0.08598377172120784,0.07528442421656534,0.7148642327405521,0.2739901459472635,2.609087382573774,3.2123786984733815,0.43383465514710434,0.6637140045807184,0.0715523673127982,0.31956681582572194,0.248672963307443,0.21104763482556546,0.5692685464415078,0.52,0.65,0.68,0.626826555836412,3319.5879999999997,850.3430000000001,696.5139999999999,0.8190977052789284,0.25615919806915805,0.2597220679975899,0.20981941132453785,0.2113172765770505
Broadcasting,25,0.9067782266311935,0.10635497788402391,0.7150158147328209,0.2528951954490073,0.0657,0.1538284651895901,0.04938669,0.28498418526717906,0.09011991677532924,0.0793798190731092,0.8005285058203548,0.3008623107374485,2.6607802880266602,3.013930938735977,0.3985704643101759,0.6977334920712618,0.1284089360987241,0.29515172140271323,0.2528951954490073,0.18673861985634457,0.8180619203518824,1.03,0.75,0.82,0.8437180852344476,3572.76,1100.5730000000003,1167.4869999999996,1.060799238215002,0.30804560060009634,0.3097270790366196,0.32677453845206494,0.32889653771619015
Brokerage & Investment Banking,74,0.8628474648745388,0.10308213613315313,0.523341345100159,0.31836481442085157,0.0657,0.16921159155888213,0.04938669,0.47665865489984105,0.0774877370050775,0.06687209427596352,0.6959319603512203,0.2450930387288671,2.839460328863487,3.520489481666019,0.9107987728518114,0.5121828138283939,0.26403320581812706,0.35426346708423034,0.31836481442085157,0.9341530276150404,1.6916382035632855,0.95,0.73,0.9,0.9935140327829011,3475.468,703.0210000000001,450.062,0.6401828679370886,0.20228095899602588,0.201753331943038,0.12949680445914047,0.12999704802931403
Building Materials,87,1.1399466252895185,0.12372602358406913,0.822313269066878,0.2906397201423098,0.0657,0.15100904291527448,0.04938669,0.17768673093312204,0.11051691041976903,0.09957585711514061,1.0371856315464538,0.3364003831491018,3.083188020885056,3.3886603059671994,0.2160815562842035,0.9806595584536987,0.05449947567097922,0.3522453652476322,0.2906397201423098,0.17951168590843572,0.8350834901393576,0.87,0.83,0.94,0.9024538243371623,15535.482999999998,2961.8339999999994,3545.965000000001,1.1972193580058847,0.19064962447578873,0.1891604340814327,0.2282494210189668,0.2286340470276379
Business & Consumer Services,204,1.0602529583141607,0.11778884539440497,0.7675164363118946,0.32260110470813497,0.0657,0.17601562021654135,0.04938669,0.2324835636881054,0.10188646854436613,0.09103044422373197,0.9120782185944735,0.25111293452951694,3.6321435226080068,4.222215634971738,0.3029036939003497,0.8636142843593673,0.053135721528127046,0.3578832128818125,0.32260110470813497,0.15663191426069736,0.8045448739653007,0.87,0.85,0.97,0.881324618511955,15206.897999999997,3953.815000000003,4227.910999999999,1.0693244372839894,0.2600014151472577,0.3737536616260832,0.2780258669453823,0.40121884652277917
