,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva,roc,cost_of_capital,roc_wacc,bv_of_capital,eva,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard,evebitda,evebit,evebit_1t,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,dde,cost_of_capital,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,362,1.1743473424289956,1.2935834925393561,0.21572536990748753,5.443714584578564,5.9964365484416655,3330.1850000000027,6331.529000000009,0.5259685298764324,4082.606,37.23179999999775,0.007215982887477486,0.10606230512466293,2.711138672455651,0.10200864604262225,0.14202796270464063,-0.040019316662018384,81135.84800000006,-3247.001193753393,0.21338723126336392,0.11821144332952692,0.095175787933837,57172.390912636096,5441.427353171483,0.7344088338053408,0.39695739619251297,0.0695,0.14694787945259605,0.05235435,0.26559116619465917,3679.024664000002,4076.2640000000015,2471.3410000000003,-1604.9230000000011,-0.01978068929531617,14253.146000000004,12344.22700000001,-1908.9189999999944,-0.028969166105608617,888.2090000000062,69128.29999999992,-2200.434000000125,0.25563652082157584,1122.3509999999994,0.01623576740640231,0.27774109940881886,0.05926640421089058,0.555488566140659,0.05666463652416624,0.09203074074074072,0.07349679425837323,0.1933800793650794,0.14126969696969696,0.10200864604262225,0.09765805574217959,0.33191365314110266,0.05339636294382263,0.10083451675678591,0.090308890940185,0.07703819092080906,0.09198430120405775,0.07846740319919258,0.0922245028320596,0.07870760482719444,0.12657889290402724,0.3057014580688754,0.135428801434405,0.6680863468588973,0.008849908530377768,0.17912256516484815,0.010525625816600909,0.013898485880336752,9.901282796808275,10.549458319666552,15.504367980070299,20.96203046629398,11.163187594769688,11.943674663779408,16.435599296376303,22.221062711185592,0.4392265193370166,146.08935558827534,39.759159058984224,20.285071299681807,24.738193933636495,14.35547267072961,1.016174946125136,2.335462071149348,4.00344802869936,1.2825395019995842,1.5118171161470773,13474.739999999994,3378.401000000001,4627.522,1.3697373402387694,0.2507210528737477,0.31386741055720513,0.34342198810515095,0.42568464529897837,0.36163939480207236,1.0166301121285481,0.1343020285414267,0.43289399542628587,0.39695739619251297,0.23176470937105792,0.91,0.96,1.16,1.18,1.0768694684857991,0.26559116619465917,0.11821144332952692,0.45277743656415936,0.025461012573492505,0.4396569263368258,-0.02605962957448102
Aerospace/Defense,278,1.0573692747052328,1.1580552633554024,0.2414807255816536,4.378690150770219,4.795642635932949,21525.99300000001,23902.492999999988,0.9005752245173765,8640.776999999998,-327.8702000000412,0.009353075996040757,0.1423997450021912,1.692127515385807,0.08035518193987151,0.13121281001576113,-0.050857628075889616,276788.28500000003,-14076.795654293339,0.12143702063274998,0.11634379756383052,0.005093223068919461,375090.53320682375,1910.4197566622959,0.8114468320969139,0.36229340257411924,0.0695,0.10206462903742386,0.05235435,0.18855316790308613,16225.413769999996,18767.922,5535.822000000003,-13232.099999999995,-0.047805852765770034,47171.44300000001,40824.98900000004,-6346.453999999969,-0.022740928246879486,263.88699999999517,194789.81699999992,-5695.335000000079,0.16591845032788394,1149.4019999999998,0.005900729400038403,0.41378426559560244,0.050248728398640474,0.2704850653779338,0.021734876640461913,0.11860379999999995,0.07371420118343196,0.3333111627906975,0.16887078431372543,0.08035518193987151,0.0576486541090197,0.21563618839794754,0.03504228381472945,0.08833375706040313,0.0802440409532544,0.07205396268089664,0.08049850449842678,0.07228245449872746,0.07998193024724214,0.07176588024754281,0.1274292422272047,0.21675099046478266,0.1811540612448243,0.7843638116020525,0.05372481901761961,0.08932174823757795,0.008089716107148726,0.0050542553727644,10.788169833405538,15.266315053274221,24.54544846983273,30.08247275986193,12.490118137670954,17.756015703463767,28.107797035048698,34.44842491616298,0.38848920863309355,151.62118362505763,69.87388551014537,39.26450776304928,29.97010965437866,24.419207119305728,1.4460291173836273,4.357323379752499,3.649874493246967,1.969814826764446,2.262635626066735,51310.83099999999,8396.288000000004,11886.357999999995,1.4156682095707043,0.16363578286229677,0.20908946172885604,0.23165397574636817,0.4165584386797377,0.23236663259357768,0.9855439004775599,0.06792837275103915,0.38676516987379195,0.36229340257411924,0.15574359636043889,1.06,1.05,1.53,1.11,1.1614738549410466,0.18855316790308607,0.11634379756383052,0.2954624216039533,0.364782394580458,0.18734065607571462,0.4234310138456182
Air Transport,155,0.7616142271729274,1.2354206917515256,0.25083390654816307,3.0363288506479824,4.925253960888698,47234.95700000004,33379.39200000001,1.4150933905566654,1973.088,76.62339999999858,0.03255914751008839,14.17205690419016,0.805422779862451,-0.09324294682762552,0.13738657120177172,-0.23062951802939724,174152.83999999997,-40164.78555265073,0.009035525266594758,0.09284939582121066,-0.0838138705546159,606518.8273957515,-50834.690488284934,0.4762317771885619,0.3086331186196793,0.0695,0.08716398137962099,0.05235435,0.5237682228114381,5524.225099999998,2441.4030000000002,11873.73,9432.327,0.05416120116100318,125232.66299999996,107065.48299999992,-18167.180000000037,-0.03459479340207228,2180.2469999999157,28596.16600000001,-888.4679999999971,0.027286795736074572,26.633000000000003,0.0009313486290434877,9.554712598518389,0.08633184709896416,0.9955808248110044,-0.09283088991045604,-0.04247214285714285,-0.024202561983471073,0.5418648936170215,0.12328124999999998,-0.09324294682762552,-0.09128215338601332,0.18613923552081688,-0.03324132727816718,0.014698266184388872,0.012353378911390047,0.011276609221982243,0.012117740561013736,0.011061510048390455,0.012274593703366197,0.011218363190742918,0.0051092715540881455,0.05827329835198095,0.007131659985316805,0.8138607644791831,0.002022388431228659,0.053164026797892804,0.002344887272998824,0.04536693327105884,10.795010101352148,10.980475195113629,106.6657342055652,,,,159.82773428272088,,0.5806451612903225,100.00103181815142,75.85609215490307,24.629273914733865,,11.54281328832269,0.9362991767460739,2.938289478805663,1.6100832110747867,1.0396941433938476,1.9367510184926524,23352.161999999997,3055.3269999999993,2798.8680000000013,0.9160616850504061,0.1308370077254517,,0.11985476976393028,,1.099817878394231,0.6756497408604828,0.11287142918999861,0.3264776350320894,0.3086331186196793,2.1960734897196814,0.59,0.65,1.27,0.94,0.8423228454345854,0.5237682228114381,0.09284939582121066,0.07791236666846259,0.02870857700922374,0.11253335693736681,-0.035817592352555154
Apparel,1146,0.8419360205243345,0.9023788899541185,0.17720960224116775,4.751074489623472,5.0921557214831665,23066.167000000034,16343.233000000027,1.4113588786257893,3828.718999999999,-50.63900000002468,0.01666673769185636,0.14747345402662088,1.5806190152148958,0.1530772260165763,0.11080983541833865,0.042267390598237656,331251.5539999995,14001.138819191192,0.20093422274465472,0.10182999002758587,0.09910423271706885,398614.8141551617,39504.41530650429,0.8463814759814549,0.34781354412233134,0.0695,0.1492327301321428,0.05235435,0.15361852401854517,21744.755890000008,13103.736000000003,5340.143000000002,-7763.593000000001,-0.023437151935595184,97378.34300000007,86883.567,-10494.77600000007,-0.04616270087905927,38662.54400000042,76652.65800000002,-22616.907000000094,0.09415760746094286,1231.2709999999997,0.016062991579496165,0.4898760232758958,0.0984328579781845,0.5711691423142603,0.08743298789173407,0.1667668164794009,0.04618989323843408,0.1529558152173914,0.17403230769230774,0.1530772260165763,0.14867429885485053,0.4716371491136414,0.08047998204229262,0.15023273684950555,0.14743627276755109,0.12543395526194215,0.1495169482649401,0.12720412587433677,0.14943657631895677,0.12712375392835343,0.17550550234525542,0.4677156745951485,0.18037464017904792,0.5283628508863586,0.0048691378337925,0.29221017224989315,0.002796464081954466,0.03045674886947544,12.260217744940999,12.584665934703455,15.486602949046972,20.488484706299264,13.068529592058903,13.431096412007104,15.765646304256506,20.857653821980428,0.31413612565445026,51.9929370431997,73.56324390422597,18.357847123103046,23.178464171662053,23.10502901986514,1.3276287217150076,3.630902383785467,3.285106995657198,2.1159900644409557,2.3572313228368644,91004.79399999983,21642.635999999973,23136.400000000005,1.06901950390886,0.23781863623580107,0.2518693334745021,0.25423276052907773,0.27091349958558736,0.1815003380602237,0.7938415371593289,0.05712367946326089,0.36521925608529593,0.34781354412233134,0.2771491086282674,0.75,0.7,0.7,0.9,0.7783872041048668,0.15361852401854514,0.10182999002758587,0.09991747983961893,0.2432054276005676,0.10611455382241641,0.21493944316933722
Auto & Truck,154,1.033835592637108,1.3526231349119202,0.26259514039492027,3.9369943826161786,5.150983117500547,124137.97500000002,64499.88200000002,1.924623288458109,-1337.6210000000005,-1677.5602000000654,0.027560794421056058,0.5465097993714486,0.9247133687947062,0.11518174528970851,0.14673932616597124,-0.03155758087626273,1110864.7180000006,-35056.20318087181,0.053357693453791086,0.10669405268100901,-0.053336359227217925,2221740.4953038045,-118499.5491671808,0.5757240705920758,0.33896789399772925,0.0695,0.11318086969170088,0.05235435,0.42427592940792425,28796.210399999993,7526.4760000000015,20160.552000000007,12634.076000000005,0.01137319044820001,668545.254,617288.0790000003,-51257.1749999997,-0.04592927259358502,-2026.851000000006,22753.447000000004,313.54799999998795,0.006954295641227538,57.830999999999996,0.002541636878139826,0.501947218801582,0.026782745830797813,0.7749440445471859,0.08925940755281049,0.10662399999999998,0.0820659595959596,2.7968536708860756,0.2092904761904762,0.11518174528970851,0.09292728997205793,0.18273022170806297,0.06227939155464389,0.06944630638436702,0.06584576381061448,0.0583932829970148,0.06598686410326755,0.058518413435831654,0.0651703237606505,0.057701873093214597,0.11056158330749616,0.19594701607629392,0.1496149539824259,0.817269778291937,0.03905337067492975,0.08538543276879776,0.0036005425737525502,0.0014974126179108018,6.847766437718017,9.203088454113926,15.835554573844876,20.720345327330133,7.234520943811928,9.789951316841634,16.403151336293305,21.463028563952047,0.4415584415584416,53.15947518703516,27.78183817535008,13.704512922689045,10.506050227813205,9.703926868670168,0.46365831094189786,1.292431960902446,1.0559504069319434,0.7407013466632144,1.082392518093318,179963.0550000001,38450.448999999986,40404.29900000001,1.0508147512139592,0.21365745874896358,0.22614765567136258,0.22451440936029893,0.2477618873561772,0.7369431835142799,0.8697761896886117,0.15869003168096918,0.4343868780141905,0.33896789399772925,0.2180467423389655,0.8,0.85,1.57,1.11,1.0727671185274217,0.42427592940792425,0.10669405268100901,0.11584678991310329,0.13311566597859315,0.17415138041099085,0.007971307435025709
Auto Parts,746,1.2875467841381958,1.413010159958089,0.2531935510713117,5.085227402871567,5.580750986663623,43588.54000000007,21780.850000000002,2.0012322751407807,6549.249000000005,-1507.3735999999626,0.03166860853225206,1.1532746793575768,1.4689858860581844,0.05251207918833817,0.1515582107646555,-0.09904613157631734,413764.76300000044,-40981.7991577418,0.04222860068434426,0.12570974732398635,-0.0834811466396421,577152.5989776722,-48181.3607487056,0.7394409527872077,0.31499751482799093,0.0695,0.1687494452117387,0.05235435,0.26055904721279227,11266.30985999999,3923.194000000002,8979.173000000003,5055.979000000001,0.012219452819862274,76312.83399999993,95491.18399999996,19178.350000000035,0.0926729577657832,6253.415000000023,50299.422,11353.159,0.05389211217303842,754.246,0.01499512260796953,2.064763431650533,0.0871920704628067,0.48147586614068894,0.025283298810053565,0.01885139364303179,0.05157986111111109,0.6445580090497735,0.31031022727272733,0.05251207918833817,0.0386821529004215,0.1614429613144337,0.025627393538316508,0.03910852204821079,0.03647900956143489,0.03032319693606904,0.036721410144804,0.03052469255547561,0.03494348846379794,0.02874677087446955,0.09340640146192107,0.17530244677092413,0.13500540442693165,0.8385570386855663,0.04159900296501059,0.08189604530900307,0.002629512486775903,0.00405293509756735,6.351051401885393,9.466619658163935,21.860840601324096,29.234117169731526,6.152220814442853,8.892142788695779,22.61849574682442,30.24731605360541,0.2694369973190348,55.20628200412573,39.30186873531657,19.656214300701087,22.525131517624093,18.59227359159264,0.5991511705881402,1.3917099071259258,1.184570029884175,0.7081850484235955,0.8305830591776443,38778.724000000046,9984.264000000005,12794.260999999997,1.281442578040804,0.2574675742296212,0.3108733047648698,0.3299299120827179,0.3727993660034192,0.3523730275293185,1.1166133952889368,0.13275897307581822,0.33005617851029734,0.31499751482799093,0.21698771124047206,1.09,1.11,1.38,1.44,1.2615093568276392,0.2605590472127923,0.12570974732398635,0.19939860704603243,0.15327141042359835,0.19303032657921923,0.13142619927912766
Bank (Money Center),596,0.4376114721606776,0.875215474102932,0.22894368062918363,1.9114372187868762,3.8228418085079374,74450.42699999992,264.79,,4759.590999999999,-0.0029999999999290594,0.03436084105993763,106.82332679502059,0.14023331329651406,0.01033504286307702,0.10864219483341397,-0.09830715197033696,73364425.00000004,-7212247.677691393,4.1684616383614826e-05,0.06206011074309724,-0.06201842612671362,16383658.461681044,-1016088.7119910723,0.2497440262204358,0.21675380851065218,0.0618,0.20949352175828576,0.04655394,0.7502559737795642,253879.3381,82739.207,105809.85599999994,23070.648999999947,0.00031446643247050505,2722268.0920000025,3190516.0790000013,468247.9869999988,0.024936047265785265,3.9410000000000025,310881.331,-14416.50299999991,0.0029231091255705346,-3140.2729999999997,-0.010101195172765134,84.18982259677921,0.0035094204583513283,0.6651659952940294,0.0068745190724250815,0.12229000000000002,0.10534848197343455,0.13277176966292142,0.19553841530054647,0.01033504286307702,0.010335042821847173,0.9955690462669876,0.3300165493473652,0.006938113679248828,4.176476620020245e-05,3.301531824351062e-05,0.00037602878224338133,0.00029725318836873585,0.00037602747649597004,0.00029725188262132456,0.0016109092863280387,-2.3892177554958427,0.0016109092863280387,0.004430953733012388,0,-2.390828664782171,0.0068963489130486255,0.01041782781161987,,,,,,,,,0.08389261744966447,16.16992998796187,13.739133910974902,9.964543509553566,7.7455023904506195,7.947592300056684,0.40644659453954735,0.8128519039802712,0.9033019159587661,2.725514375362804,6.68904522191274,959451.5970000018,179199.96599999993,193089.41399999996,1.0775080950629201,0.18677332609619868,,0.2012497708104806,,3.0040997782159278,0.2682251288561191,0.3870701617309634,0.23431772612275084,0.21675380851065218,0.4375550151286764,0.38,0.4,2.03,0.59,0.7675222944321354,0.7502559737795642,0.06206011074309724,0.0006978123085679079,0.008103128940324032,,
Banks (Regional),800,0.3577565862282306,0.563870289429285,0.2479673124010237,1.4427570423058456,2.2739702421638905,11404.908999999989,1.574,,-16169.635999999999,29.76739999999984,-0.013115480793971833,,0.19352947870025708,0.09043693980666588,0.08379684909645693,0.0066400907102089485,1216582.2200000004,8078.216297227382,-3.6680349455871644e-05,0.05924652898061072,-0.05928320933006659,1866075.7959222503,-110626.96203542939,0.3408055194543923,0.17830180346656344,0.0618,0.19185771795778675,0.04655394,0.6591944805456077,30283.54847000004,21515.61999999998,13486.878999999994,-8028.740999999987,-0.006599423259695497,839148.9650000002,1050193.3630000006,211044.3980000004,0.10420816926009574,-46.669999999999995,148451.49300000005,18350.003999999914,0.009758759969938158,9,6.062586383014684e-05,,,0.7247549998035424,0.06554462429181311,0.1375889424572317,0.09005879699248125,0.1428797619047619,0.11852407407407405,0.09043693980666588,0.0904510520382618,0.9980311827294693,0.3046568285207504,0.00920996503866542,0.00010047331251049651,8.11967320565731e-05,-0.0003365245362068524,-0.0002719597066534031,-0.0002540984845925507,-0.00018953365503910141,0.0001121585096661888,0.47174175140548136,0.0002624019012469255,0.001968817270530665,0.00015024339158073666,0.47162959289581513,0.009109491726154925,0.016595496985778436,,,,,,,,,0.08250000000000002,32.14618026625005,20.711981486924902,9.511213451851413,9.443758475466026,9.46228458733199,0.7983428397355242,0.8918841732556868,0.9201795087527292,2.9245098217626455,5.504574764357144,138875.9220000001,27533.261,46471.007000000034,1.6878134050303752,0.19825798888305474,0.19860137843458578,0.33462249129118293,0.3360471645244684,1.9342247789910672,0.22949062462033154,0.3585285821295037,0.18070867842041288,0.17830180346656344,,0.47,0.46,1.67,0.67,0.725551317245646,0.6591944805456077,0.05924652898061072,0.0001615436971713481,0.006917451192897465,,
Beverage (Alcoholic),220,0.810718193165097,0.8721564431804729,0.20949462473061736,3.8698758701211275,4.163144731288222,16394.932999999983,15109.831999999988,1.0850506478166002,2202.0780000000004,-117.23859999999695,0.009414363227832468,0.056753096883878425,0.7656233265353857,0.14498308042811484,0.10839808416580174,0.036584996262313096,332860.66799999995,12177.706294651038,0.13930925191772361,0.10051184388279662,0.038797408034927,467537.1368579325,18139.22907015871,0.8592841751109199,0.2857195762521225,0.0695,0.17138891309925858,0.05235435,0.14071582488908002,20174.30766000001,6559.350999999999,907.2180000000003,-5652.132999999998,-0.01698047724881691,24492.956000000006,23388.08299999998,-1104.873000000025,-0.004873804011324851,-348.9889999999941,52639.799000000006,5720.293999999987,0.08867714164348303,142.53599999999997,0.0027077610991637704,0.01649576290788247,0.0022980123905092403,0.5819590401118626,0.08437421431840668,0.08626349593495933,0.09132939759036145,0.14802180851063823,0.19810408163265303,0.14498308042811484,0.1426090823002302,0.5023795154047095,0.13481820283287502,0.22281962829883367,0.21975004183319735,0.18208732100988906,0.21998602604235878,0.18228286014193373,0.21965850488954478,0.18195533898911972,0.26338566916038464,0.4954993016514162,0.26758515004936145,0.4976204845952905,0.004199480888976774,0.23211363249103154,0.0030695864656363034,0.0034254333403272766,15.920265804673454,16.172276414424015,19.503078091482607,25.86407010146018,16.190340961540613,16.448483432506283,19.693500053089622,26.116598801840677,0.30454545454545456,116.87437015999895,69.35161011944025,25.61017892076459,28.66118010926171,27.8137524661009,1.4039969412481013,3.5736745890053765,3.0957321761084025,3.887310833672588,4.332294815544168,73219.20200000003,17436.25,28430.762999999988,1.630554907161803,0.23813766776644182,0.2392874897588812,0.38829654275663883,0.39041643860943825,0.16375935803881858,0.7763820163319782,0.0423527893201312,0.29705625475632036,0.2857195762521225,0.14460102415426296,0.8,0.8,0.9,0.86,0.8341436386330194,0.14071582488908008,0.10051184388279663,0.10910273614784786,0.2032019357569365,0.17267829553475994,0.08687148075729637
Beverage (Soft),100,0.7947183264713243,0.8559001919036798,0.18876463765397603,4.210101724286519,4.534218922257188,10788.472000000003,7346.947000000004,1.4684292672861254,6419.155999999999,4.783199999990757,0.04190415783690828,0.31570316810144156,1.5704645257815757,0.24708930327847395,0.10710083531391365,0.1399884679645603,116178.97099999998,16263.716159989077,0.22610954818560502,0.0998039512605015,0.1263055969251035,149910.57749797532,18934.544976268764,0.8667150226800464,0.31052361417890234,0.0695,0.13376209970213782,0.05235435,0.1332849773199536,15700.080640000004,3727.5260000000003,1336.7459999999999,-2390.7800000000007,-0.020578422923026245,21410.284999999996,23992.545999999995,2582.2609999999986,0.021066704198920334,485.53499999999076,70077.198,-624.8209999999963,0.19482654023015872,76.891,0.001097232797464305,0.25833730543349975,0.05841253141105528,0.45308427220921954,0.11195227714661049,0.15410605263157895,0.09017305084745762,0.15524761904761905,0.13731818181818184,0.24708930327847395,0.24077278174969813,0.4912990121142299,0.12193294474496136,0.17000363387311385,0.16549489068571271,0.14335794661761603,0.16618518350194392,0.14395590441733883,0.16620550043419383,0.1439762213495887,0.19599150562620857,0.515326226847163,0.2003126085729606,0.5087009878857701,0.004321102946752019,0.3193347212209544,0.004508743187401137,0.008443670659707851,18.34447623511675,18.728439522644482,23.26588194335533,29.12954118708393,19.486434582388437,19.916059782861357,23.488126081582468,29.407797123989184,0.43999999999999995,88.58507533047613,44.95759960527995,26.5970014251692,30.89326514636117,27.775431573042646,2.0227060397449126,6.611053706122415,6.061729230059859,3.50518148459076,3.9033785429845778,37120.05399999999,7412.084,7338.795999999999,0.9901123624610838,0.19967869658810308,0.20304484018677374,0.19770434601199668,0.200424259071901,0.15378177813026855,0.7670430051007482,0.03482406338036651,0.4035093024041419,0.31052361417890234,0.12436888236636623,0.68,0.71,0.54,0.82,0.7089436652942649,0.1332849773199536,0.0998039512605015,0.12332764828484939,0.0799678904800799,0.24730644337455376,-0.06490524601098407
