,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,362,1.2935834925393561,0.14202796270464063,0.7344088338053408,0.39695739619251297,0.0695,0.14694787945259605,0.05235435,0.26559116619465917,0.11821144332952692,1.1743473424289956,0.21572536990748753,5.443714584578564,5.9964365484416655,0.36163939480207236,1.0166301121285481,0.1343020285414267,0.43289399542628587,0.39695739619251297,0.23176470937105792,0.91,0.96,1.16,1.18,1.0768694684857991,13474.739999999994,3378.401000000001,4627.522,1.3697373402387694,0.2507210528737477,0.31386741055720513,0.34342198810515095,0.42568464529897837
Aerospace/Defense,278,1.1580552633554024,0.13121281001576113,0.8114468320969139,0.36229340257411924,0.0695,0.10206462903742386,0.05235435,0.18855316790308607,0.11634379756383052,1.0573692747052328,0.2414807255816536,4.378690150770219,4.795642635932949,0.23236663259357768,0.9855439004775599,0.06792837275103915,0.38676516987379195,0.36229340257411924,0.15574359636043889,1.06,1.05,1.53,1.11,1.1614738549410466,51310.83099999999,8396.288000000004,11886.357999999995,1.4156682095707043,0.16363578286229677,0.20908946172885604,0.23165397574636817,0.4165584386797377
Air Transport,155,1.2354206917515256,0.13738657120177172,0.4762317771885619,0.3086331186196793,0.0695,0.08716398137962099,0.05235435,0.5237682228114381,0.09284939582121066,0.7616142271729274,0.25083390654816307,3.0363288506479824,4.925253960888698,1.099817878394231,0.6756497408604828,0.11287142918999861,0.3264776350320894,0.3086331186196793,2.1960734897196814,0.59,0.65,1.27,0.94,0.8423228454345854,23352.161999999997,3055.3269999999993,2798.8680000000013,0.9160616850504061,0.1308370077254517,,0.11985476976393028,
Apparel,1146,0.9023788899541185,0.11080983541833865,0.8463814759814549,0.34781354412233134,0.0695,0.1492327301321428,0.05235435,0.15361852401854514,0.10182999002758587,0.8419360205243345,0.17720960224116775,4.751074489623472,5.0921557214831665,0.1815003380602237,0.7938415371593289,0.05712367946326089,0.36521925608529593,0.34781354412233134,0.2771491086282674,0.75,0.7,0.7,0.9,0.7783872041048668,91004.79399999983,21642.635999999973,23136.400000000005,1.06901950390886,0.23781863623580107,0.2518693334745021,0.25423276052907773,0.27091349958558736
Auto & Truck,154,1.3526231349119202,0.14673932616597124,0.5757240705920758,0.33896789399772925,0.0695,0.11318086969170088,0.05235435,0.42427592940792425,0.10669405268100901,1.033835592637108,0.26259514039492027,3.9369943826161786,5.150983117500547,0.7369431835142799,0.8697761896886117,0.15869003168096918,0.4343868780141905,0.33896789399772925,0.2180467423389655,0.8,0.85,1.57,1.11,1.0727671185274217,179963.0550000001,38450.448999999986,40404.29900000001,1.0508147512139592,0.21365745874896358,0.22614765567136258,0.22451440936029893,0.2477618873561772
Auto Parts,746,1.413010159958089,0.1515582107646555,0.7394409527872077,0.31499751482799093,0.0695,0.1687494452117387,0.05235435,0.2605590472127923,0.12570974732398635,1.2875467841381958,0.2531935510713117,5.085227402871567,5.580750986663623,0.3523730275293185,1.1166133952889368,0.13275897307581822,0.33005617851029734,0.31499751482799093,0.21698771124047206,1.09,1.11,1.38,1.44,1.2615093568276392,38778.724000000046,9984.264000000005,12794.260999999997,1.281442578040804,0.2574675742296212,0.3108733047648698,0.3299299120827179,0.3727993660034192
Bank (Money Center),596,0.875215474102932,0.10864219483341397,0.2497440262204358,0.21675380851065218,0.0618,0.20949352175828576,0.04655394,0.7502559737795642,0.06206011074309724,0.4376114721606776,0.22894368062918363,1.9114372187868762,3.8228418085079374,3.0040997782159278,0.2682251288561191,0.3870701617309634,0.23431772612275084,0.21675380851065218,0.4375550151286764,0.38,0.4,2.03,0.59,0.7675222944321354,959451.5970000018,179199.96599999993,193089.41399999996,1.0775080950629201,0.18677332609619868,,0.2012497708104806,
Banks (Regional),800,0.563870289429285,0.08379684909645693,0.3408055194543923,0.17830180346656344,0.0618,0.19185771795778675,0.04655394,0.6591944805456077,0.05924652898061072,0.3577565862282306,0.2479673124010237,1.4427570423058456,2.2739702421638905,1.9342247789910672,0.22949062462033154,0.3585285821295037,0.18070867842041288,0.17830180346656344,,0.47,0.46,1.67,0.67,0.725551317245646,138875.9220000001,27533.261,46471.007000000034,1.6878134050303752,0.19825798888305474,0.19860137843458578,0.33462249129118293,0.3360471645244684
Beverage (Alcoholic),220,0.8721564431804729,0.10839808416580174,0.8592841751109199,0.2857195762521225,0.0695,0.17138891309925858,0.05235435,0.14071582488908008,0.10051184388279663,0.810718193165097,0.20949462473061736,3.8698758701211275,4.163144731288222,0.16375935803881858,0.7763820163319782,0.0423527893201312,0.29705625475632036,0.2857195762521225,0.14460102415426296,0.8,0.8,0.9,0.86,0.8341436386330194,73219.20200000003,17436.25,28430.762999999988,1.630554907161803,0.23813766776644182,0.2392874897588812,0.38829654275663883,0.39041643860943825
Beverage (Soft),100,0.8559001919036798,0.10710083531391365,0.8667150226800464,0.31052361417890234,0.0695,0.13376209970213782,0.05235435,0.1332849773199536,0.0998039512605015,0.7947183264713243,0.18876463765397603,4.210101724286519,4.534218922257188,0.15378177813026855,0.7670430051007482,0.03482406338036651,0.4035093024041419,0.31052361417890234,0.12436888236636623,0.68,0.71,0.54,0.82,0.7089436652942649,37120.05399999999,7412.084,7338.795999999999,0.9901123624610838,0.19967869658810308,0.20304484018677374,0.19770434601199668,0.200424259071901
