,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva,roc,cost_of_capital,roc_wacc,bv_of_capital,eva,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard,evebitda,evebit,evebit_1t,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,beta_2019,beta_2020,beta_2021,beta_2022,average_beta_201923,cost_of_capital_local_currency,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,13,1.415114409077933,1.392394505808399,0.17463780052953495,8.103139210337268,7.97304192784377,12.254999999999999,6.171999999999999,1.9855800388852887,15.7,1.9499999999999993,0.11509866777887166,0.9287196752417706,4.35207581417928,0.18674035123241006,0.17427998541515724,0.012460365817252822,167.923,2.092382009130546,0.5481964403891354,0.17294209598726432,0.3752543444018711,47.37899999999998,17.779175583416244,0.9885601573771592,0.4410825185267665,0.0819,0.21264464785825343,0.05733,0.011439842622840812,1.3471,0.996,0.103,-0.893,-0.005317913567527974,11.487,8.243,-3.2439999999999998,-0.14871865401366158,-0.015000000000000124,81,-0.4399999999999977,0.294018359813135,0,0,1.0688904870530047,0.5859619601682664,0.9570412653868231,0.17871822204224552,-0.06723333333333334,0.06572249999999999,0.32799999999999996,0.35,0.18674035123241006,0.19001112410507995,0.25649742721766083,0.1520778672822592,0.15185962938355074,0.14797014505545672,0.11650508566660445,0.14797014505545672,0.11650508566660445,0.1574271206661591,0.12596206127730683,0.12973515618558956,0.1333433561109037,0.14743667463639146,0.7435025727823392,0.017701518450801906,0.0036081999253141425,0.003889484328094008,0.0018865453910580665,46.50771581742571,51.18823756479539,60.84674379731897,72.64835602275188,61.217328377355976,69.57003476505547,60.996624168332694,72.82730664319095,0.23076923076923073,33.27284847579126,33.46359940425422,44.33898305084746,65.32016495131164,53.93113523733134,1.540889578209467,9.829755057128997,19.74503209378812,9.141471505405026,9.025679326081367,40.76700000000001,5.7509999999999994,6.083,1.0577290905929404,0.14106998307454555,0.1545530268425719,0.14921382490740057,0.16344681194077973,0.011572227079425172,1.3812059654554045,0.023961626992847023,0.42434960395243654,0.4410825185267665,1.5613932401842503,0.72,1.96,1.16,1.43,1.3370228818155865,0.19594096061446553,0.2584761174992847,0.00514071494735617,0.16308675683933332,0.08070922467349184
Aerospace/Defense,13,1.6200288729066357,1.34546427784301,0.20132245456508552,8.046935829420342,6.683130705661225,179.856,230.04299999999998,0.7818364392743966,0,130.91380000000004,0.011286262733025205,0.08590057130269689,2.39873618262928,0.2607706986541175,0.16971367423412487,0.09105702441999264,4946.9400000000005,450.45363638423845,0.3275726277519135,0.16928779867069227,0.1582848290812212,2981.845211572993,471.9808596604891,0.9962105210891631,0.3685510199636157,0.0819,0.2560899386679898,0.05733,0.0037894789108369187,404.9320000000001,0,38.851,38.851,0.00785354178542695,14.174000000000001,29.781,15.606999999999998,0.1631575646065066,53.589000000000006,0.045,-0.0050000000000000044,2.5645979479796955e-06,0,0,0.10374535866880351,0.03398413975620472,0.6861033614285703,0.1789156529086668,0.341,0.0558,0.2949333333333333,0.22199999999999998,0.2607706986541175,0.2534931668044148,0.4596485782911532,0.18035486098877904,0.15896617482167474,0.15896617482167474,0.11825653686130712,0.15896772916445093,0.11825769315253706,0.17727054238358897,0.13656050637167513,0.17367077422944754,0.326019410960398,0.20985661278461445,0.5403514217088468,0.0361858385551669,0.15234863673095042,0,0.0017031426070860352,13.248837243113007,15.843622218182924,18.41452579979643,22.280011275588897,13.949121312837885,16.85554384738545,18.41452579979643,22.280011275588897,0,36.530736297873915,35.61371693811664,22.87720957356871,21.17870473005818,19.520828020095863,0.8793165774817958,4.615785045649757,6.758196830497762,3.5206762239502516,2.9273153500338327,1539.008,248.57099999999997,451.78999999999996,1.8175491107168575,0.16151378030523555,0.16151378030523555,0.2935592277622988,0.2935592277622988,0.0038038936857380623,1.3418911898462074,0.1716868678774824,0.38889002856133603,0.3685510199636157,1.4053620630608934,1.38,1.3,1.53,1.92,1.5500057745813272,0.1922150104093332,0.24939742697122472,0.5495878456406429,0.2573372703301989,0.3655386946953998
Air Transport,6,1.0149692637733074,1.5171750505188755,0.21453123915079106,4.731102415624885,7.072047206385984,522.1389999999999,907.273,0.5755037348185165,0,0,-0.05242578886972574,-30.163963317758547,0.9925058161999747,,0.18642113241548658,,,,0.009435593816195392,0.12591606274524506,-0.11648046892904966,7401.74,-862.158146090904,0.5312995669175573,0.3841190706367898,0.0819,0.12327627199239181,0.05733,0.4687004330824427,0,0,2.766,2.766,-0.0018107071315413923,2265.795,2016.27,-249.5250000000001,-0.02189726062439466,2062.6449999999995,53.7,-25.599999999999994,0.0037529614849706825,18.6,0.3463687150837989,-63.3884645121212,-0.5981078037686919,1,,0,-0.2556333333333333,0.4033333333333333,0.15,,,0.2532455245995587,-0.13455399815144284,0.011284229956154619,0.010843598179756529,0.009506839821172659,0.010843598179756529,0.009506839821172659,0.010843598179756529,0.009506839821172659,-0.04137473847272153,-0.03746772171455718,-0.04137473847272153,0.7467544754004414,0,0.003907016758164347,0.00044063177639809043,0.13954768882711902,36.15424563732597,36.15424563732597,,,,,,,0.8333333333333334,53.84372469852708,43.170731707317074,22.672897196261683,,43.170731707317074,2.8780487804878048,,3.1754747880020147,1.7583345017267267,3.0583984797727286,25.009999999999998,11.15,65.4,5.865470852017937,0.44582167133146744,,2.6149540183926434,,0.8821773294522031,0.9379613087692132,0.0758722039698079,0.29118067749382176,0.3841190706367898,4.215594423938319,0.74,0.33,1.27,1.58,0.9869938527546616,0.1479928482892694,0.030532637651488444,0.021276103383077394,0.2655619790723727,-0.605979497078109
Apparel,323,0.781906964514595,0.882741857128739,0.1459879319352223,5.355969867848682,6.046676909708049,1319.1549999999995,1037.4009999999992,1.2715960366338577,18.023,19.954000000001088,0.00448622224184103,0.1324811729154258,2.8247623583292145,0.12668209634763825,0.1246907826986263,0.00199131364901195,11278.262999999994,22.458559049046446,0.10388355683297126,0.11294072993537316,-0.009057173102401894,25230.278501075194,-228.51499980604703,0.8255653765808639,0.4130161549076191,0.0819,0.1764356623855338,0.05733,0.17443462341913607,312.5862,56.327,258.954,202.627,0.017966153121274094,1931.4990000000014,1944.0489999999998,12.549999999998363,0.0008494571697940584,310.1300000000001,487.09300000000013,-8.61199999999991,0.013856282428035618,2.1969999999999996,0.0045104322993760925,0.915966901326465,0.09515389965106841,0.7812176203881148,0.09896628585447984,0.2167116428571428,0.03682724137931038,0.1761423076923077,0.2089090909090909,0.12668209634763825,0.12574756326924194,0.17294534000155817,0.020047189584117036,0.04451631027061056,0.044306360833725585,0.036489138712134744,0.04431475852755889,0.03649605475329405,0.04459473788087058,0.036776034106605744,0.05888897193823655,0.10386772380083094,0.06007149674220575,0.8270546599984419,0.0011825248039692017,0.04497875186259439,0.00020994943688496594,0.0019078697307732047,19.362910036927087,19.762637194126974,25.545460880070017,33.42993328455152,19.458148730954285,19.84887967354585,26.376768303362432,34.517819380249215,0.24767801857585137,79.76565504979943,63.25630027077343,25.586442161090332,40.23856281360764,27.226141535467285,1.3032530761102703,5.833011062155255,3.3083374377687518,0.9811790986559036,1.1688801181008752,3168.4180000000015,702.2860000000005,590.0380000000005,0.8401676809732788,0.22165194112645498,0.33163584421872344,0.18622479735943936,0.2845406483540385,0.21129110833301792,0.769003357000087,0.016502740223727826,0.43447447799473476,0.4130161549076191,0.4221752096106267,0.63,0.5,0.7,0.74,0.670381392902919,0.1347630971890077,0.09259136381978376,0.12960007698099232,0.07929082916361144,0.13043221367175614
Auto & Truck,12,1.3295156994854185,1.5364730759746799,0.2943390484918943,4.516953174570148,5.220078966236763,2055.735,4078.6380000000004,0.5040248730090781,103.39999999999999,106.72619999999915,-0.023678847600735676,-0.48880651837000005,1.1695525313659343,0.07148631977361317,0.18829883029233635,-0.11681251051872318,30009.517999999996,-3505.4871370368123,0.062256581950835124,0.1579778649596442,-0.09572128300880907,65458.19699999999,-6265.742600283376,0.7684871639686135,0.25484685018421077,0.0819,0.14758140157781327,0.05733,0.2315128360313865,1006.3140000000001,342.3,10.719,-331.581,-0.011049194458904673,14954.449999999999,15807.58,853.130000000001,0.028000807403164987,538.7880000000002,451.1,127.60000000000002,0.005745547519091431,0,0,-0.5624970394456129,-0.03501914303334794,0.5309149897215735,0.03795315872784095,0.13193333333333335,0.7007800000000001,0.30225,0.27599999999999997,0.07148631977361317,0.056286359687541185,0.35990826419077077,0.028021939266009026,0.061097642534693186,0.06081171104330378,0.05183703349518802,0.06081171104330378,0.05183703349518802,0.06220578968817921,0.05323111214006345,0.08200807766259821,0.1772866290127069,0.12546361655659588,0.6400917358092293,0.04345553889399766,0.09527855135010868,0.0002859314913893998,0.004132826868416652,12.349413481743877,18.35846308816025,26.96092448797672,33.84530480196039,13.07670107931282,20.005958642149537,26.979181836732504,33.86822410258714,0.16666666666666663,49.468601480273186,43.24864969264967,23.435436788650453,76.11148195838466,26.384867689396664,0.9559734670071256,3.527756832536813,2.0037315758507415,1.3210596576659421,1.640650210040127,4283.129999999999,938.2280000000001,981.2189999999999,1.0458214847563705,0.219051954995529,0.349833946532742,0.2290892408122098,0.274532126519592,0.301257908897021,1.26888906874417,0.04560053767301413,0.2827869667912803,0.25484685018421077,0.1912674739524058,1.09,1.02,1.57,1.7,1.3419031398970838,0.18068331329218612,0.046865124979100475,0.09468891071727135,0.15663165127069048,-0.07369528245694697
Auto Parts,107,1.230776754613691,1.3070842379564478,0.20988843292947784,5.863957043441407,6.2275191620284565,1610.9509999999998,1354.4360000000001,1.1893887935642582,188.833,14.640199999999822,0.012636963472964002,0.25411285871330636,1.9351196747785298,0.1402241244392409,0.16597929635316236,-0.02575517191392146,13057.746,-336.3044930383203,0.10468095423115484,0.15236620502979414,-0.047685250798639306,18810.31776712513,-896.9747203274627,0.8747061253013628,0.3137084547007442,0.0819,0.21705105812900002,0.05733,0.12529387469863718,364.98649999999986,5.865,16.595000000000002,10.730000000000002,0.0008217344708650331,2461.1410000000024,3210.1659999999993,749.0249999999969,0.09187514719158416,110.47700000000088,786.7429999999998,75.11499999999944,0.02442194670178947,4.072,0.005175768961401628,0.566069254010209,0.059256669670706655,0.8006639501346524,0.11227240137769567,0.09698975609756094,0.09759966101694918,0.2148241379310345,0.31012500000000004,0.1402241244392409,0.13620780708266852,0.3738140180267065,0.05030220150341968,0.06880852025713258,0.06857665350117706,0.05369201829580079,0.06857808334365315,0.05369313778945448,0.06898028425366973,0.05409533869947105,0.09677552462875512,0.23629420221022887,0.10166294068145107,0.6261859819732936,0.004887416052695952,0.13951867758147377,0.00023186675595551418,0.0023605629153409446,16.23578396391085,17.018890338911596,25.146509592532748,34.677435058398665,16.97325393451331,17.830447466289588,25.161842148149375,34.69857889546752,0.13084112149532712,82.03873416090167,37.10141322684198,24.749218798137353,31.967908792227128,27.52874275773034,0.8876660300759479,3.774970595325692,3.0381182076136777,1.5637396217648825,1.7255509079156326,2315.1150000000002,622.4950000000001,567.4609999999999,0.9115912577611062,0.2688829712562875,0.27484041507373025,0.2451113659580625,0.24793489896231563,0.1432411081555758,1.1879681281642238,0.03478179636477111,0.32717222733050844,0.3137084547007442,0.467380164773581,0.95,0.73,1.38,1.59,1.176155350922738,0.17496162081469202,0.12912470079847896,0.12600793357929518,0.1645679520143508,0.07629550879588183
Bank (Money Center),32,1.6726287345878228,1.7819924185977258,0.3151396081014312,5.307580169514803,5.654612663046061,2515.3199999999997,9.25,,283.761,0,0.028561625183255935,95.33594666973957,0.4374686930360836,0.1161322659954341,0.21218786232955872,-0.09605559633412462,218662.39999999994,-21003.747227850887,0.00012337163217722785,0.15738988834237802,-0.15726651671020078,223279.06329046335,-35114.32053800763,0.6461401884099167,0.2965423082465793,0.0819,0.14184214278687582,0.05733,0.3538598115900833,2542.661,0,1745.503,1745.503,0.007982638990516891,10965.300000000001,32871.09999999999,21905.79999999999,0.09329036582711953,0,301.49,-855.3900000000001,0.00011177562865681095,0,0,95.33594666973957,0.01176175134580692,0.8998706375109475,0.10450401623690221,0.2731916666666667,0.1572692307692308,0.13868799999999998,0.44109090909090903,0.1161322659954341,0.1161322659954341,0.9997809118979173,0.2599752655675406,0.0010192920382974193,0,0,0.00032862541572818623,0.0002820124825870724,0.00032862541572818623,0.0002820124825870724,0,0.38683280506482554,0,0.00021908810208270957,0,0.38683280506482554,0.0010192920382974193,0.017527867187563988,,,,,,,,,0.03125,28.943217280297553,17.25112718349338,13.33831314880042,18.74227558642464,17.075089756321134,0.38711044377479903,1.915049985917595,1.6707531025990587,4.441186106128733,5.293519120970043,29503.501999999993,3703.7810000000004,6495.43,1.7537294996653419,0.12553699557428813,0.1223163609526761,0.22015793243798656,0.22015793243798656,0.5476517603105531,1.2881659670129675,0.22985541239646137,0.3557154844715905,0.2965423082465793,,1.01,1.15,2.03,2.6,1.6925257469175645,0.18008380772164023,0,0,,
Banks (Regional),5,1.3767922769804222,1.4886640708644094,0.2173997129842164,6.33299951541509,6.847589863067064,90.31,0,,0,0,0.04048142005468645,14.611621092579158,0.5250870733400845,0.20785882863575947,0.18364701409510703,0.024211814540652438,3686.3,89.25201194120709,0.0015031497250924336,0.15209452062803144,-0.150591370902939,4248.628681352258,-639.8068175823826,0.750211848395031,0.2652165218327796,0.0819,0.20868136902854367,0.05733,0.24978815160496903,3.87,0,316.907,316.907,0.08596885766215445,313.81,1044.3,730.49,0.20820578594841097,0,0,0,0,0,,14.611621092579158,0.021963454228465167,0.99494929720841,0.2068089954697122,0.0034200000000000003,0.20105,0.22825,0.242,0.20785882863575947,0.20785882863575947,1,0.34346227979739125,0.001887579003989421,0,0,0.0036175914943206997,0.0028626675486998414,0.0036175914943206997,0.0028626675486998414,0,0.42072706082746875,0,0,0,0.42072706082746875,0.001887579003989421,0.03082612398583531,,,,,,,,,0,82.76083231238961,18.81627084934426,12.386043712881657,62.9034823609612,14.451143912402278,0.5971547071240612,2.4928857670313835,2.0506547750304143,4.963422833833878,5.801469171938051,1009.38,243.14600000000002,192.447,0.7914874190815394,0.24088648477283087,0.24088648477283087,0.19065862212447246,0.19065862212447246,0.3329568203159606,1.2072829145493202,0.12311905380735404,0.29958681301156836,0.2652165218327796,,1.52,0.99,1.67,2.28,1.5673584553960844,0.17468460926779672,0,0,,
Beverage (Alcoholic),19,0.7841379406278306,0.7822450968452295,0.157480790603127,4.979260883976413,4.967241362259816,132.855,94.074,1.4122393009758274,31.029999999999998,1.323000000000036,0.019774489535232507,0.23780071124215976,1.8773559185600828,0.1877863857527517,0.11491244792304083,0.07287393782971087,1693.5199999999998,123.41347119337193,0.17381666670255763,0.11388847592146571,0.05992819078109192,1916.1315999999997,114.83030008647889,0.9822172894951661,0.3031669299247696,0.0819,0.14526577978666366,0.05733,0.017782710504833932,42.876000000000005,0,30.34,30.34,0.017915347914403138,125.30499999999999,30.640000000000004,-94.66499999999999,-0.32720165078443375,15.247999999999934,3.373,-0.32699999999999996,0.001086939008317194,0,0,0.24779292770549396,0.043070540726236804,0.8651782906735426,0.1624687042373282,0.11225999999999998,0.19035,0.1705,0.19366666666666665,0.1877863857527517,0.18758261070201196,0.4177634038786732,0.08840615123562064,0.10901655453969003,0.1078909759397497,0.09221810918791778,0.1078909759397497,0.09221810918791778,0.10825875575889543,0.09258588900706353,0.12546601428142132,0.23626392413561315,0.12637420526339344,0.5822365961213267,0.0009081909819721171,0.11079790985419183,0.0011255785999403434,0.011523489677285023,34.054324264354484,34.293358714498424,41.12575236014347,53.35889724771818,35.25548118019979,35.51067945246758,41.295236941913686,53.57879621283751,0.26315789473684215,310.99057692957774,61.00591150679388,42.445016521498914,62.353921251116944,49.81483219460922,2.572194433456586,8.729610287449884,8.507000482909069,4.442338212323209,4.455383415326272,413.0879999999999,95.59000000000002,102.57400000000001,1.073062035777801,0.2314034781935085,0.23199974720282363,0.2483102873963902,0.249330938242136,0.018104660440230902,0.7724555648504802,0.014898368223321488,0.31050525162163184,0.3031669299247696,0.9049857317143987,0.9,0.26,0.9,1.1,0.7888275881255662,0.13572942642972974,0.16791636748070266,0.169510913998178,0.11505058987935544,0.1387261029989205
Beverage (Soft),5,0.6057115577373972,0.6179639103391323,0.16827741463763543,3.599482194575677,3.6722926345751215,1.59,70.09100000000001,0.0226847954801615,0,0,-0.04348480212482051,-0.3400757396715591,2.0035510469356326,0.32840977497756424,0.09892788847599757,0.22948188650156667,541.546,124.27499770737744,0.3081157314281077,0.09774003930889334,0.21037569211921436,786.247,165.40725680165593,0.9714444840682328,0.38561873798085383,0.0819,0.08595409873317048,0.05733,0.028555515931767195,17.5365,0,0,0,0,0.306,1.13,0.8239999999999998,0.002681209407660969,5.170000000000016,0.073,-0.007000000000000006,0.0029238594945327837,0,0,-0.3380303504838876,-0.10415246868424263,0.9013966904508881,0.2960274842764973,0.395,0.266,0.29600000000000004,0.503,0.32840977497756424,0.3284097749775642,0.5219699787848048,0.11289949888464698,0.1682462740099258,0.1682462740099258,0.1537848171621886,0.1682462740099258,0.1537848171621886,0.1682462740099258,0.1537848171621886,0.14166189504635981,0.24983653761920055,0.14166189504635981,0.4780300212151952,0,0.10817464257284073,0,0.007061574850535077,32.67760858026612,32.67760858026612,40.418807256372716,53.1822983111408,48.21095367407846,48.21095367407846,40.59320243287704,53.41176416949848,0.4,64.58509242415143,41.69406505754725,49.781931464174455,111.54985329421179,58.483757149438716,1.1626989492930162,16.913742422796243,11.672449371497015,6.636896411191365,6.829655059462218,243.92100000000002,58.41,0.14200000000000002,0.0024310905666837875,0.2394627768826792,0.23908459948150818,0.0005821556979513859,0.0005824828536737439,0.029394902539548032,0.6055047824911423,0.0003413757647737006,0.5016798506859914,0.38561873798085383,0.6364565149599934,0.25,0.2,0.54,0.54,0.42714231154747945,0.1192643538051461,0.0008582568498672621,0.001331821650163843,0.001780629041329638,-0.0013883193274110235
