,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,beta_2019,beta_2020,beta_2021,beta_2022,average_beta_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,13,1.392394505808399,0.17427998541515724,0.9885601573771592,0.4410825185267665,0.0819,0.21264464785825343,0.05733,0.011439842622840812,0.17294209598726432,0.19594096061446553,1.415114409077933,0.17463780052953495,8.103139210337268,7.97304192784377,0.011572227079425172,1.3812059654554045,0.023961626992847023,0.42434960395243654,0.4410825185267665,1.5613932401842503,0.72,1.96,1.16,1.43,1.3370228818155865,40.76700000000001,5.7509999999999994,6.083,1.0577290905929404,0.14106998307454555,0.1545530268425719,0.14921382490740057,0.16344681194077973
Aerospace/Defense,13,1.34546427784301,0.16971367423412487,0.9962105210891631,0.3685510199636157,0.0819,0.2560899386679898,0.05733,0.0037894789108369187,0.16928779867069227,0.1922150104093332,1.6200288729066357,0.20132245456508552,8.046935829420342,6.683130705661225,0.0038038936857380623,1.3418911898462074,0.1716868678774824,0.38889002856133603,0.3685510199636157,1.4053620630608934,1.38,1.3,1.53,1.92,1.5500057745813272,1539.008,248.57099999999997,451.78999999999996,1.8175491107168575,0.16151378030523555,0.16151378030523555,0.2935592277622988,0.2935592277622988
Air Transport,6,1.5171750505188755,0.18642113241548658,0.5312995669175573,0.3841190706367898,0.0819,0.12327627199239181,0.05733,0.4687004330824427,0.12591606274524506,0.1479928482892694,1.0149692637733074,0.21453123915079106,4.731102415624885,7.072047206385984,0.8821773294522031,0.9379613087692132,0.0758722039698079,0.29118067749382176,0.3841190706367898,4.215594423938319,0.74,0.33,1.27,1.58,0.9869938527546616,25.009999999999998,11.15,65.4,5.865470852017937,0.44582167133146744,,2.6149540183926434,
Apparel,323,0.882741857128739,0.1246907826986263,0.8255653765808639,0.4130161549076191,0.0819,0.1764356623855338,0.05733,0.17443462341913607,0.11294072993537316,0.1347630971890077,0.781906964514595,0.1459879319352223,5.355969867848682,6.046676909708049,0.21129110833301792,0.769003357000087,0.016502740223727826,0.43447447799473476,0.4130161549076191,0.4221752096106267,0.63,0.5,0.7,0.74,0.670381392902919,3168.4180000000015,702.2860000000005,590.0380000000005,0.8401676809732788,0.22165194112645498,0.33163584421872344,0.18622479735943936,0.2845406483540385
Auto & Truck,12,1.5364730759746799,0.18829883029233635,0.7684871639686135,0.25484685018421077,0.0819,0.14758140157781327,0.05733,0.2315128360313865,0.1579778649596442,0.18068331329218612,1.3295156994854185,0.2943390484918943,4.516953174570148,5.220078966236763,0.301257908897021,1.26888906874417,0.04560053767301413,0.2827869667912803,0.25484685018421077,0.1912674739524058,1.09,1.02,1.57,1.7,1.3419031398970838,4283.129999999999,938.2280000000001,981.2189999999999,1.0458214847563705,0.219051954995529,0.349833946532742,0.2290892408122098,0.274532126519592
Auto Parts,107,1.3070842379564478,0.16597929635316236,0.8747061253013628,0.3137084547007442,0.0819,0.21705105812900002,0.05733,0.12529387469863718,0.15236620502979414,0.17496162081469202,1.230776754613691,0.20988843292947784,5.863957043441407,6.2275191620284565,0.1432411081555758,1.1879681281642238,0.03478179636477111,0.32717222733050844,0.3137084547007442,0.467380164773581,0.95,0.73,1.38,1.59,1.176155350922738,2315.1150000000002,622.4950000000001,567.4609999999999,0.9115912577611062,0.2688829712562875,0.27484041507373025,0.2451113659580625,0.24793489896231563
Bank (Money Center),32,1.7819924185977258,0.21218786232955872,0.6461401884099167,0.2965423082465793,0.0819,0.14184214278687582,0.05733,0.3538598115900833,0.15738988834237802,0.18008380772164023,1.6726287345878228,0.3151396081014312,5.307580169514803,5.654612663046061,0.5476517603105531,1.2881659670129675,0.22985541239646137,0.3557154844715905,0.2965423082465793,,1.01,1.15,2.03,2.6,1.6925257469175645,29503.501999999993,3703.7810000000004,6495.43,1.7537294996653419,0.12553699557428813,0.1223163609526761,0.22015793243798656,0.22015793243798656
Banks (Regional),5,1.4886640708644094,0.18364701409510703,0.750211848395031,0.2652165218327796,0.0819,0.20868136902854367,0.05733,0.24978815160496903,0.15209452062803144,0.17468460926779672,1.3767922769804222,0.2173997129842164,6.33299951541509,6.847589863067064,0.3329568203159606,1.2072829145493202,0.12311905380735404,0.29958681301156836,0.2652165218327796,,1.52,0.99,1.67,2.28,1.5673584553960844,1009.38,243.14600000000002,192.447,0.7914874190815394,0.24088648477283087,0.24088648477283087,0.19065862212447246,0.19065862212447246
Beverage (Alcoholic),19,0.7822450968452295,0.11491244792304083,0.9822172894951661,0.3031669299247696,0.0819,0.14526577978666366,0.05733,0.017782710504833932,0.11388847592146571,0.13572942642972974,0.7841379406278306,0.157480790603127,4.979260883976413,4.967241362259816,0.018104660440230902,0.7724555648504802,0.014898368223321488,0.31050525162163184,0.3031669299247696,0.9049857317143987,0.9,0.26,0.9,1.1,0.7888275881255662,413.0879999999999,95.59000000000002,102.57400000000001,1.073062035777801,0.2314034781935085,0.23199974720282363,0.2483102873963902,0.249330938242136
Beverage (Soft),5,0.6179639103391323,0.09892788847599757,0.9714444840682328,0.38561873798085383,0.0819,0.08595409873317048,0.05733,0.028555515931767195,0.09774003930889334,0.1192643538051461,0.6057115577373972,0.16827741463763543,3.599482194575677,3.6722926345751215,0.029394902539548032,0.6055047824911423,0.0003413757647737006,0.5016798506859914,0.38561873798085383,0.6364565149599934,0.25,0.2,0.54,0.54,0.42714231154747945,243.92100000000002,58.41,0.14200000000000002,0.0024310905666837875,0.2394627768826792,0.23908459948150818,0.0005821556979513859,0.0005824828536737439
Broadcasting,17,1.0889845719926998,0.1447581988548897,0.9086002449763604,0.3811438322004928,0.0819,0.13382029636599105,0.05733,0.09139975502363962,0.1367672828973947,0.15905683746401023,1.0569635904976402,0.20627278562980336,5.124105864331357,5.279341958115088,0.10059402419159333,1.017347235312506,0.037481286528027076,0.4218656348170737,0.3811438322004928,0.574967520881349,0.37,0.02,0.74,0.92,0.6213927180995281,628.0930000000001,153.199,153.10000000000002,0.9993537816826481,0.2439113316021672,0.2466839777097458,0.24375371163187617,0.24707775283510022
Brokerage & Investment Banking,174,0.6499921032937924,0.102044231650486,0.546502942388694,0.44335045207563933,0.0819,0.13788807912643786,0.05733,0.453497057611306,0.08176645916364027,0.10297756620606457,0.528032135995811,0.11956051914049878,4.416442315504721,5.436511215963935,0.8298163146736756,0.4111606389734925,0.2213340610451893,0.42249783348465547,0.44335045207563933,1.0924916222783982,0.46,0.35,0.42,0.49,0.4496064271991623,821.4119999999996,197.362,242.39099999999996,1.228154355955047,0.24027162982766273,0.28869868945211036,0.29509064878526253,0.34985133652791434
Building Materials,48,1.2302158544096669,0.15850000263406058,0.9177989231865038,0.4131680590171852,0.0819,0.1767913471224162,0.05733,0.0822010768134962,0.15018371947631656,0.17273634142683236,1.1784032928365842,0.1669164990674582,7.059837100707104,7.37024716719276,0.08956327441320432,1.1576385264957796,0.01762110346010722,0.4092122630216721,0.4131680590171852,0.6096896745992763,0.95,0.68,1.04,1.36,1.0416806585673168,417.17399999999986,104.29800000000003,110.03899999999999,1.0550442002722962,0.2500107868659122,0.27928718366818056,0.26377243068839384,0.2970670971713039
Business & Consumer Services,58,0.6668424341534406,0.10368376884312977,0.9630824809229472,0.4091338974955671,0.0819,0.11995259371093127,0.05733,0.03691751907705276,0.10197250269757023,0.12357980667203217,0.6797117739924685,0.12997639418648801,5.229501697186868,5.130488796270697,0.03833266600558842,0.6494167221377357,0.044570438550426625,0.41405472303239793,0.4091338974955671,1.005785454283474,0.98,0.54,0.64,0.68,0.7039423547984938,621.8709999999998,144.05000000000007,195.75900000000001,1.3589656369316203,0.2316396808984502,0.2307099096718795,0.31479036649079967,0.32326403223409356
Cable TV,8,1.2124034567248037,0.1567668563393234,0.7866039979814834,0.3583417697554405,0.0819,0.06635571349823474,0.05733,0.2133960020185166,0.1355474287432222,0.15781306460093236,1.1618259794265093,0.15330799741177706,7.578378160572453,7.908285785433313,0.27128771601226964,1.0189108572301533,0.12300906050224547,0.42389128144034943,0.3583417697554405,0.6276999256738407,0.55,0.61,1.13,1.29,0.9483651958853019,70.071,11.324,11.5,1.0155422112327799,0.1616075123803,,0.1641192504745187,
Chemical (Basic),128,1.1237262229713583,0.14813856149511317,0.8831662093909157,0.3652512657774259,0.0819,0.2002887238776539,0.05733,0.11683379060908428,0.13752905303588095,0.15983354427187857,1.0529015054856072,0.17773855114717163,5.923878070851272,6.322355030568956,0.1322896974168202,1.028485589745833,0.02318917354811207,0.3721678361729783,0.3652512657774259,0.4553524591154071,0.85,0.59,1.04,1.22,0.9505803010971213,3707.3089999999993,867.085,716.4240000000001,0.8262442551768282,0.23388527905281167,0.2381046153575355,0.193246368187815,0.19703912157159573
Chemical (Diversified),10,1.0269730418646388,0.13872447697342935,0.9701719716985724,0.2686853075841751,0.0819,0.2639336485670766,0.05733,0.02982802830142761,0.13629664021068602,0.15857696648932684,1.0145342878319115,0.18250809685180908,5.5588453626563314,5.626999895234835,0.0307450938303287,1.0053366236862296,0.009065897777922891,0.24697833424449075,0.2686853075841751,0.5852535021531518,0.82,0.44,1.08,1.24,0.9189068575663824,1023.6800000000001,281.06,218.53099999999998,0.7775243720202091,0.2745584557674273,0.2745584557674273,0.21347589090340727,0.21347589090340727
Chemical (Specialty),167,0.9522584753747859,0.13145474965396667,0.906541819070661,0.34693172890328877,0.0819,0.21169852924578414,0.05733,0.093458180929339,0.12452718538946429,0.1465767380441596,0.9064973703659718,0.15223234457356694,5.954696243464233,6.255296652247269,0.10309307189506983,0.8881639876886103,0.020224419040465576,0.36304539104576433,0.34693172890328877,0.5576804495189623,0.91,0.69,1.15,1.27,0.9852994740731944,5898.6979999999985,1368.5129999999992,1241.274,0.9070239011247979,0.23200255378390275,0.23596274663884803,0.21043186140399123,0.2147058513196998
Coal & Related Energy,2,1.2835435415789698,0.16368878659563374,0.9729656677933687,0.31758402529766194,0.0819,0.31755582321822573,0.05733,0.027034332206631317,0.16081344782571316,0.18357449582229557,1.7203504311861701,0.1842602826059367,9.336523350858803,6.965926261624084,0.02778549449534399,1.2590551133343495,0.2681403215819004,0.404264790045997,0.31758402529766194,0.19754546519951569,0.91,1.08,1.84,2.02,1.514070086237234,4512.1,1197.4,835.0999999999999,0.697427760146985,0.2653753241284546,0.2653753241284546,0.18508011790518825,0.18508011790518825
Computer Services,132,0.8271435015500548,0.11928106270082033,0.9743648437017058,0.4266479848812222,0.0819,0.1605821249959914,0.05733,0.02563515629829416,0.11769293752563936,0.1396084853202595,0.827526364767054,0.14986193448204024,5.521925014695619,5.51937024174195,0.026309607190776404,0.8121857008218432,0.018537976067420154,0.44174831641638385,0.4266479848812222,0.22270633791672223,0.59,0.58,0.77,0.81,0.7155052729534108,17223.311000000012,4218.245000000002,4089.789,0.9695475250963371,0.24491487147854432,0.2467336043082236,0.23745660750131012,0.23894912814416147
Computers/Peripherals,6,0.40701913549692065,0.07840296188385038,0.9157453524817785,0.4393820534439486,0.0819,0.18269506918130254,0.05733,0.08425464751822154,0.07662746690816163,0.09773780939655685,0.3980565018131762,0.10538469411649383,3.7771756624653534,3.8622224878974887,0.09200663403847095,0.38239135638636057,0.039354075000558375,0.42089458448613465,0.4393820534439486,,0.72,0.25,0.64,0.76,0.5536113003626353,3.219,0.956,0.953,0.9968619246861925,0.296986641814228,0.3038785834738617,0.29605467536502017,0.3214165261382799
Construction Supplies,92,1.1671083153965978,0.15235963908808897,0.8198266956641962,0.32928370385193195,0.0819,0.16816775396741457,0.05733,0.1801733043358038,0.1352378350037491,0.15749740039597948,1.0271036631421626,0.2099964442204652,4.891052641176418,5.557752750190887,0.21976998954618504,1.0115001510595694,0.015191759743956368,0.3482415704121762,0.32928370385193195,0.5717376829594257,1.13,0.8,1.04,1.19,1.0374207326284324,4282.396999999999,778.0819999999997,708.2379999999998,0.9102356821003443,0.18169310318496856,0.17562669704746903,0.16538354571049813,0.17563810472796276
Diversified,13,1.005993951376492,0.13668321146893267,0.8433756491669525,0.2708056051163872,0.0819,0.16430046431988624,0.05733,0.1566243508330475,0.12425456623609356,0.14629877341719344,0.9360548898782636,0.20112134286315927,4.6541797929180735,5.001925390190732,0.185711255699348,0.8902618049832649,0.0489213671016175,0.29996348554162783,0.2708056051163872,0.39252576623190694,1.09,0.7,1.32,1.31,1.0712109779756527,1336.4790000000003,188.755,211.916,1.1227040343302164,0.14123304593637456,0.1676617469290721,0.1585629104535125,0.18576428913926357
