,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva,roc,cost_of_capital,roc_wacc,bv_of_capital,eva,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard,evebitda,evebit,evebit_1t,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,cost_of_equity,ede,cost_of_debt,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,71,1.5698767818675012,1.383755291,0.217312493,7.224052148108674,6.3675827923984105,311.151,688.548,0.4518944213039614,537.08,-0.1091999999998734,0.0061587370200481325,0.11420355217520972,4.81535656975119,0.0765032432352199,0.1378768788356,-0.06137363560038009,15495.33,-951.0047369276376,0.31029680020414013,0.11887009015780536,0.19142671004633477,5380.733415,1030.0160952698295,0.7865175234996912,0.316117932,0.0636,0.283451695,0.0488448,0.21348247650030883,473.651964,393.473,294.77,-98.70300000000003,-0.006369854659436103,650.776,593.245,-57.53099999999995,-0.009171803563246712,-20.67700000000002,6565.649,-327.85899999999947,0.16127246998577555,0,0,0.10634683261485926,0.032999081872236116,0.6004430714931042,0.04593584234733948,0.1080592105,0.048556521740000004,0.061710526,0.00056,0.0765032432352199,0.07549457985009103,0.5310829925724089,0.04575207013467695,0.08930909315461316,0.08930909315461316,0.06399427932102515,0.08993562897165781,0.0644432224987503,0.08993141440709529,0.06443900793418778,0.14977427764794876,0.5744823553703857,0.15242486052763107,0.4689170074275911,0.002650582879682287,0.42470807772243696,0,0.001745107612267779,6.236543630817445,6.364613950492657,9.134339518559518,15.233401148913336,5.463776405287856,5.560469859101795,9.260127115946618,15.4431779944819,0.18309859154929575,24.43367148,26.78711533,15.30862528,12.506069412472273,16.064557082553083,286.86709075987653,1.6058662967448956,3.3477341389018007,0.8980372556700752,0.8328153565301628,2555.011,947.11,1598.237,1.687488253740326,0.3706872494873799,0.4075414210909685,0.6255303793212632,0.6868185207229004,0.2714274890537676,1.1450602539164885,0.27060501362766676,0.303198457,0.316117932,0.3222995938957082,0.1378768788356,0.7865175234996912,0.0636,0.0488448,0.21348247650030883,0.11887009015780536,0.10453973432327213,0.5650613755613147,0.023697315530786196,0.4757770989361312,0.04248497210552628
Aerospace/Defense,2,0.6263311444210655,1.075097277,0.130925278,4.783882486169443,8.211533276255484,18.09,7.14,2.533613445378151,0,0.7379999999999995,0.02060285563194077,,0.6283227703516627,-0.006896551724137931,0.1157769650332,-0.12267351675733792,362.5,-44.469149824534995,-0.007975567941868633,0.07811866453690258,-0.08609423247877121,902.8798999,-77.73275200240029,0.4373661680058014,0.332161434,0.0636,0,0.0488448,0.5626338319941986,1.83034,0,0,0,0,604.7,594.7,-10,-0.018304960644334616,0,2.11,-0.7800000000000002,0.0017269602226223605,0,0,,,0.99912423923,-0.0068905119946896555,0,-0.07311,0.3,,-0.006896551724137931,-0.00437405357098528,0.19707385862859159,-0.004406839414771726,-0.014013749338974089,-0.014013749338974089,-0.014013749338974089,-0.013994323964392739,-0.013994323964392739,-0.012693424969152125,-0.012693424969152125,0.043433809271990136,0.20772078265468008,0.06671954873964393,0.8029261413714084,0.0232857394676538,0.16428697338268997,0,0,6.7633250483291905,10.647826086956522,,,22.15164861030383,34.027593340097404,,,0.5,7.673684211,6.976076555,12.79212792,,6.9760765550239245,,1.4609563123495013,1.1289688591142417,0.7486338797814208,1.4779479991186322,19.9,0,2.194,,0,1.3659574468085105,0.11025125628140704,0.46680851063829787,1.2864137035554508,0.5408027230258312,0.13655463592552217,0.398548595,0.332161434,1.4975359596588653,0.1157769650332,0.4373661680058014,0.0636,0.0488448,0.5626338319941986,0.07811866453690258,0.06431024814381914,0.3114754098360656,0.9321346730125154,0.16763617133791645,0.870967741935484
Air Transport,6,0.6533911651319158,0.914216171,0.190034771,3.4382716473077224,4.810783659165196,1398.574,607.456,2.302346178159406,70.5,-0.011999999999943611,0.0487140837903545,,0.5213351176779119,-0.05241649506752227,0.1042578778436,-0.15667437291112227,16705.6,-2617.3394041040438,-0.03220259494075672,0.07542083670546706,-0.10762343164622379,33926.35447,-3651.2706913076036,0.5297798258096522,0.206497232,0.055900000000000005,0.083333333,0.0429312,0.4702201741903478,0.9039,0.097,8.81,8.713000000000001,0.0005215616320275836,1512.068,2877.5,1365.432,0.06927424072310588,-274.20000000000005,132.5,-58.400000000000006,0.0030426056645280405,0,0,,,,,-0.44799999999999995,-0.07846,0.437075,,-0.05241649506752227,-0.05241710921798522,0.1985107706224911,-0.04950805676485554,-0.07649573132809408,-0.07649573132809408,-0.07012108707625149,-0.06738413835020071,-0.06176879351014536,-0.0673848168146096,-0.06176947197455424,-0.05538418047153277,0.06501272120766666,-0.05538378470062758,0.8014892293775089,3.9577090518459887e-07,0.12039690167919942,0,0.010063379883530277,20.09031869870178,20.090393905476162,,,,,,,1,800,,21.86897314,,,,1.9460021686256372,1.4555048299875377,1.3941878215638606,2.189594123932832,0.021,0.47,66.604,,,,,,0.887576595563486,0.543639504752982,0.1679723666860045,0.19448191,0.206497232,3.720814627988113,0.1042578778436,0.5297798258096522,0.055900000000000005,0.0429312,0.4702201741903478,0.07542083670546706,0.061646973772293556,0.14168937637813084,0.03518697348334935,0.11515293718550348,-0.1459686775597897
Apparel,61,0.8396995578145652,0.835747185,0.243247083,3.4520436893155475,3.4357953020139607,532.923,225.623,2.3620065330218996,34.987,-34.37660000000005,0.016513146251443976,0.5198608552483994,1.0280788577534539,0.04094900260180504,0.098639498446,-0.057690495844194965,16838.31,-971.4104530782666,0.03516518983832185,0.0843824914914383,-0.04921730165311645,18137.11065,-892.6596459770009,0.7440775009780359,0.198974637,0.055900000000000005,0.232410474,0.0429312,0.25592249902196407,230.69673,128.965,2.966,-125.99900000000001,-0.007482876844528934,10229.768,9882.096,-347.6720000000005,-0.07690665673310411,812.7799999999997,373.657,-95.06300000000005,0.015393935648663122,0,0,1.0339536278796784,0.036359175608410475,0.665420282750699,0.027248296889652218,0.06248564103,-0.01947385965,0.092969231,0.187,0.04094900260180504,0.03758545495902293,0.3944951245228296,0.036978330378336165,0.04409349160534109,0.04409349160534109,0.033845702321028744,0.04696307756250811,0.03604836644570683,0.04511947038513641,0.03420475926833514,0.08238585720123692,0.4216232855921632,0.09201029905000327,0.6055048754771704,0.009624441848766355,0.3392374283909263,0,0.03555467602826929,7.935148006422414,8.820735017838608,16.19748448909667,23.947567800119582,8.55377674118225,9.553042023228777,16.758602647273122,24.777166689123256,0.24590163934426235,24.43177655,32.53310369,14.96281109,20.44758405746249,16.828700435641966,0.8999305045797843,0.9813998840942332,0.9682354344971444,0.7438071089401803,0.7870355559631413,1131.395,336.015,236.048,0.7024924482537982,0.2969917668011614,0.32643070788606243,0.20863447337136898,0.22945372927438348,0.34394602536103097,0.6611136519046802,0.21267833744569264,0.216653395,0.198974637,0.30726159170931305,0.098639498446,0.7440775009780359,0.055900000000000005,0.0429312,0.25592249902196407,0.0843824914914383,0.07049384874327225,0.1688369002455168,0.23254915967603362,0.11191078375534555,0.25363882962805645
Auto & Truck,10,1.0062462339975926,1.552960265,0.347817577,2.893028703944978,4.464869999942528,36184.6,12287.43,2.9448468882427,147.5,-1825.2800000000025,0.04204765594914023,1.0111070878481305,0.7021196588895028,0.06912224565486147,0.149991954974,-0.08086970931913853,409779.8,-33138.773310854725,0.028538817380610353,0.09286525656269537,-0.06432643918208501,752625.9852,-48413.749663824616,0.46640859738773544,0.240680376,0.055900000000000005,0.269270859,0.0429312,0.5335914026122646,7873.7993,3133.376,0.532,-3132.844,-0.007645188952700939,152505.2,135875.4,-16629.800000000017,-0.04941334687487284,-6551.1,123.3,-61.000000000000014,0.0001300765320520496,0,0,1.227964568553548,0.03504465657180969,0.7220184607889172,0.0499075374139965,-0.046514,-0.0018490000000000002,0.158666667,0.143157143,0.06912224565486147,0.05509991775231695,0.18514117670435354,0.05360163577820105,0.060315328229569094,0.06030314126564648,0.04406526261664751,0.060351762255799454,0.04410079139101657,0.05689762848116177,0.04064665761637888,0.13522401588847036,0.24088953482320857,0.17599830442241077,0.8148588232956464,0.04077428853394041,0.10566551893473823,1.218696392261278e-05,0,6.412540430478668,8.741269867915777,16.262302957384566,23.60083497567965,5.576523279794072,7.258020221979963,16.262302957384566,23.60083497567965,0.09999999999999998,9.452815893,10.41855,6.079523692,8.0411079736306,10.359124988974155,0.7236191482931562,0.7616594061997775,0.7606741704006872,0.5572146731802583,0.9814586418158576,43373.1,13571.5,14264.156,1.0510375419076743,0.31290131440916147,0.31292489544140684,0.3288710283562854,0.32905462422345205,1.1440428105330973,0.8266473433742227,0.17848403755993542,0.240037861,0.240680376,0.1901476135217128,0.149991954974,0.46640859738773544,0.055900000000000005,0.0429312,0.5335914026122646,0.09286525656269537,0.07886796756238512,0.21844640811000815,0.1495781399173217,0.13137206479150165,0.1505542703102661
Auto Parts,104,1.293169708993909,1.338577769,0.274674975,4.7079997331169645,4.873315339338795,10798.597,2445.96,4.414870643837184,29.159,-1704.5682000000006,0.030282967602366498,1.2154480248002613,1.2156904104792017,0.04363547895789788,0.13464216826039999,-0.09100668930250211,142897.32,-13004.612003400222,0.023167915252734515,0.10620995582248624,-0.08304204056975173,181373.891,-15061.65801471573,0.6899802392535579,0.229367087,0.055900000000000005,0.261489985,0.0429312,0.3100197607464421,2662.24421,1048.568,292.412,-756.156,-0.005291603789350283,9271.162,10319.078,1047.9159999999993,0.024606366374489586,-34.46300000000002,183.14,-70.46400000000003,0.0007694545775383881,0,0,2.4728988765695554,0.05729191160094585,0.5730430768357344,0.025005009121234746,-0.04756481013,0.0082617,0.106476316,0.16394,0.04363547895789788,0.02635787705824032,0.13240910771016964,0.028279131679021473,0.036224785652249826,0.036224785652249826,0.02675236699541481,0.03627313665420226,0.026788074694591962,0.028542475798716067,0.01905741383910577,0.11130102111390533,0.19921319125873888,0.15118670533732134,0.8675908922898303,0.039885684223416006,0.08791217014483355,0,0.0002276564721569019,3.573087390688717,5.107205871598116,13.079767847699209,19.042462459253244,3.1767579257121996,4.315176623142827,13.240750835012483,19.276833017522033,0.2692307692307693,13.07853066,13.8392627,10.23520216,12.446906437926224,13.361013971950792,0.8149941424881536,0.7207758190413472,0.6174973013472569,0.43061872291599107,0.48028356444265047,10998.288,3407.241,3347.486,0.9824623500362903,0.3097973975586018,0.3370790157752031,0.3043642792405509,0.31441134248710134,0.449316868961104,0.9951693514149781,0.23044180164935674,0.188113205,0.229367087,0.26323628867300597,0.13464216826039999,0.6899802392535579,0.055900000000000005,0.0429312,0.3100197607464421,0.10620995582248624,0.09204174949175514,0.1990050091952407,0.1714833703335004,0.16230988981584576,0.1839867298277281
Bank (Money Center),6,-0.8138544984809313,1.021146433,0.331051959,-2.4583890122243055,3.0845503409330375,1974.28,0,,1490.8,0,0.04186173502918777,14.343413071510954,0.8056378390841585,0.012709336985071389,0.1119140846028,-0.09920474761772861,487366.1,-48349.030947936684,0.0019388105929347191,0.05155317543661625,-0.04961436484368153,102743.9328,-5097.574967413897,0.12498716871962012,0.159763705,0.055900000000000005,0.207619042,0.0429312,0.8750128312803799,6678.549,2915.34,596.97,-2318.37,-0.004756937341353861,45576.1,72469.7,26893.6,0.017383438767325603,0,0,0,0,0,,14.343413071510954,0.02780916120188375,-0.07821136242553384,-0.0009940145611276598,0.0068000000000000005,8.33333e-06,0.248733333,0.052075,0.012709336985071389,0.012709336985071389,1,0.07483110720222678,0.00010824602775737427,0,0,0.003037116824767078,0.0024065535391668553,0.003037116824767078,0.0024065535391668553,0,0.5631596242316464,0,0,0,0.5631596242316464,0.00010824602775737427,0.010359483125217459,-202.1917103689711,-202.1917103689711,-928.1520804680965,-965.8638715257177,,,-1387.894158078501,-1444.285751224694,0.16666666666666663,9.832901098,12.6149668,9.485335715,17.745622252648268,12.998921843080879,2.496192384653073,0.6133961627590627,-3.957514294470073,2.677523485522094,-4.215196698496154,13985.3,3284.9,6462.8,1.9674267100977199,0.23488234074349498,0.34372085092725396,0.46211379090902593,0.6482051693529784,7.00082128624954,0.16013886853115283,1.1967659684010519,0.141195484,0.159763705,,0.1119140846028,0.12498716871962012,0.055900000000000005,0.0429312,0.8750128312803799,0.05155317543661625,0.038085006687182066,0,0,,
Banks (Regional),78,-0.3594548407795059,0.738418554,0.241033362,-1.4913074181801684,3.0635533101015286,1067.291,0,,0,29.767399999999995,0.023059411080960074,33.183911984548416,0.6344539476607906,0.02823521125426259,0.0916707684664,-0.06343555721213741,242780.9,-15400.94167196421,0.0008545752808303255,0.05093772205992878,-0.050083146779098454,74986.2148,-3755.545602237405,0.16427150079197572,0.172359021,0.055900000000000005,0.263371535,0.0429312,0.8357284992080243,1911.59883,1405.769,167.349,-1238.42,-0.005100977877584275,557.05,138.2,-418.84999999999997,-0.0010443722957215519,0,0.346,0.346,9.315488483081202e-08,0,0,33.183911984548416,0.028358150903244266,0.7211368058503538,0.020361450056408884,-0.02424492958,0.00093849315,0.243802105,0.16915,0.02823521125426259,0.02834156134992216,1,0.14408674249032585,0,0,0,0.000979131175420859,0.0007212558947839132,0.0016048213970274489,0.0013469461163905033,0,0.4844194361359781,0.001140486765191181,0,0.001140486765191181,0.4844194361359781,0,0,-851.068006785721,-1270.091807919858,-3004.7618647192426,-4233.799708116056,,,-4316.040733925689,-6081.431015904815,0.0641025641025641,8.032160063,9.338942401,9.40681114,9.900783964801274,10.844693103166092,0.6411287675534196,0.451996035429056,-3.1392350277818877,1.6582995798239843,-4.225970036972967,9901.2,2932.891,2045.811,0.6975407541569052,0.296215711226922,0.30023813155192225,0.2066225306023512,0.20801543482902723,5.087483192025766,0.15047695150704513,1.4186254695603044,0.154618065,0.172359021,,0.0916707684664,0.16427150079197572,0.055900000000000005,0.0429312,0.8357284992080243,0.05093772205992878,0.037477435964579975,0,0,,
Beverage (Alcoholic),6,0.44670253167858837,0.601789755,0.187436476,2.3832209248246237,3.210633105372724,1318.43,898.52,1.4673351733962516,808.5,-171.18600000000015,0.028826122876330237,0.4826990462724398,0.8052540382850334,0.08007341813649065,0.081888146458,-0.0018147283215093485,26233.3,-47.60631247665119,0.04258505845526373,0.06843033688131782,-0.025845278426054087,45545.7511,-1177.1426183032593,0.654546600791948,0.136920627,0.055900000000000005,0.25745633,0.0429312,0.3454533992080519,824.688,347.655,0,-347.655,-0.01325243107043338,2869.85,1692.15,-1177.6999999999998,-0.07023706575219918,-352.1,2511.335,203.17200000000003,0.042085228396282384,0,0,0.8688559091151548,0.03700027967887018,0.6074017299901456,0.04863673270232872,-0.02228,0.01566166667,0.0659,0.1297,0.08007341813649065,0.06794310510967433,0.3890184017297462,0.05727439544769181,0.07778214031557508,0.07778214031557508,0.05775663593038207,0.07750593114279404,0.05755153855753758,0.07283839742174016,0.05288400483648369,0.15130917032710853,0.41546901371200157,0.1689365496143244,0.6109815982702538,0.017627379287215854,0.26415984338489307,0,0.00015705136070280482,8.854366484304096,10.087129351044931,16.477766736476706,21.385701265919916,7.559788908794526,8.440497369084946,16.477766736476706,21.385701265919916,0.16666666666666663,21.79079425,42.47055629,19.42680458,14.937856432244592,15.108804900250322,1.1649040015613201,1.1931304373778222,1.133707344296043,0.8720195005439538,1.2771246540643857,3067.6,744.66,1193.68,1.6029865979104558,0.24275003259877428,0.24473569928916836,0.38912504889816146,0.3897590617153343,0.527775102322862,0.4282191424689389,0.04137739972100422,0.156133196,0.136920627,0.17675399463378666,0.081888146458,0.654546600791948,0.055900000000000005,0.0429312,0.34545339920805196,0.06843033688131782,0.05474600744342917,0.17721173849857808,0.1276614888796185,0.16142425952737355,0.044769726168955616
Beverage (Soft),7,0.44525068613743196,0.43458291,0.108189423,4.115473341025508,4.016870577080349,675.63,535.779,1.2610236683408644,15.4,-13.771199999999908,0.007342886503767987,0.18012971023303578,1.4848427777751212,0.04510800873262094,0.069916136356,-0.024808127623379056,13924.8,-345.4482155300287,0.062366736775659036,0.06580190116432896,-0.003435164388669927,12976.18865,-44.575341151142894,0.8475358571391903,0.164091294,0.055900000000000005,0.271154051,0.0429312,0.15246414286080967,271.42414,4.474,1.64,-2.8340000000000005,-0.0002035217741008848,791,119.51,-671.49,-0.2188047834729056,-80.89999999999998,1856.866,-457.80600000000004,0.08501510878323933,0,0,0.4227156789667451,0.02636339748106298,0.56787852639623,0.025615869527749056,0.026699999999999998,0.02144833333,0.08014,0.051433333,0.04510800873262094,0.04337587248441512,0.41335713840852,0.03259980485374411,0.058427619423280536,0.05834354045132763,0.04252345310826777,0.05860906968174552,0.04271698301219894,0.057894336139425774,0.042002249469879196,0.11944404077311135,0.4758247005335382,0.12318576262741598,0.58664286159148,0.0037417218543046356,0.3563806597604269,8.407897195291579e-05,0.0036911706699329448,8.528359100399191,8.845907642678851,15.167165608546352,21.806591667938854,7.333119211592698,7.562837598852872,15.412902600621837,22.159900017184945,0.1428571428571429,23.05004562,29.78502773,23.67344134,23.527738264580368,22.732884064885496,4.419873793690464,1.3979698814274217,1.5982768484995902,0.892773360460047,0.9033358825178021,1122,328.68,275.07,0.8368930266520628,0.29294117647058826,0.29056889056889057,0.24516042780748662,0.2599414099414099,0.1798910825737141,0.3818305889688126,0.14243683197614201,0.161306886,0.164091294,0.19617408749306506,0.069916136356,0.8475358571391903,0.055900000000000005,0.0429312,0.15246414286080967,0.06580190116432896,0.052151236420352465,0.1735348460628205,0.08825022317257987,0.2075203969357886,0.04804962735369218
