,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Advertising,71,1.383755291,0.1378768788356,0.7865175234996912,0.316117932,0.0636,0.283451695,0.0488448,0.21348247650030883,0.11887009015780536,0.10453973432327213,1.5698767818675012,0.217312493,7.224052148108674,6.3675827923984105,0.2714274890537676,1.1450602539164885,0.27060501362766676,0.303198457,0.316117932,0.3222995938957082,2555.011,947.11,1598.237,1.687488253740326,0.3706872494873799,0.4075414210909685,0.6255303793212632,0.6868185207229004
Aerospace/Defense,2,1.075097277,0.1157769650332,0.4373661680058014,0.332161434,0.0636,0,0.0488448,0.5626338319941986,0.07811866453690258,0.06431024814381914,0.6263311444210655,0.130925278,4.783882486169443,8.211533276255484,1.2864137035554508,0.5408027230258312,0.13655463592552217,0.398548595,0.332161434,1.4975359596588653,19.9,0,2.194,,0,1.3659574468085105,0.11025125628140704,0.46680851063829787
Air Transport,6,0.914216171,0.1042578778436,0.5297798258096522,0.206497232,0.055900000000000005,0.083333333,0.0429312,0.4702201741903478,0.07542083670546706,0.061646973772293556,0.6533911651319158,0.190034771,3.4382716473077224,4.810783659165196,0.887576595563486,0.543639504752982,0.1679723666860045,0.19448191,0.206497232,3.720814627988113,0.021,0.47,66.604,,,,,
Apparel,61,0.835747185,0.098639498446,0.7440775009780359,0.198974637,0.055900000000000005,0.232410474,0.0429312,0.25592249902196407,0.0843824914914383,0.07049384874327225,0.8396995578145652,0.243247083,3.4520436893155475,3.4357953020139607,0.34394602536103097,0.6611136519046802,0.21267833744569264,0.216653395,0.198974637,0.30726159170931305,1131.395,336.015,236.048,0.7024924482537982,0.2969917668011614,0.32643070788606243,0.20863447337136898,0.22945372927438348
Auto & Truck,10,1.552960265,0.149991954974,0.46640859738773544,0.240680376,0.055900000000000005,0.269270859,0.0429312,0.5335914026122646,0.09286525656269537,0.07886796756238512,1.0062462339975926,0.347817577,2.893028703944978,4.464869999942528,1.1440428105330973,0.8266473433742227,0.17848403755993542,0.240037861,0.240680376,0.1901476135217128,43373.1,13571.5,14264.156,1.0510375419076743,0.31290131440916147,0.31292489544140684,0.3288710283562854,0.32905462422345205
Auto Parts,104,1.338577769,0.13464216826039999,0.6899802392535579,0.229367087,0.055900000000000005,0.261489985,0.0429312,0.3100197607464421,0.10620995582248624,0.09204174949175514,1.293169708993909,0.274674975,4.7079997331169645,4.873315339338795,0.449316868961104,0.9951693514149781,0.23044180164935674,0.188113205,0.229367087,0.26323628867300597,10998.288,3407.241,3347.486,0.9824623500362903,0.3097973975586018,0.3370790157752031,0.3043642792405509,0.31441134248710134
Bank (Money Center),6,1.021146433,0.1119140846028,0.12498716871962012,0.159763705,0.055900000000000005,0.207619042,0.0429312,0.8750128312803799,0.05155317543661625,0.038085006687182066,-0.8138544984809313,0.331051959,-2.4583890122243055,3.0845503409330375,7.00082128624954,0.16013886853115283,1.1967659684010519,0.141195484,0.159763705,,13985.3,3284.9,6462.8,1.9674267100977199,0.23488234074349498,0.34372085092725396,0.46211379090902593,0.6482051693529784
Banks (Regional),78,0.738418554,0.0916707684664,0.16427150079197572,0.172359021,0.055900000000000005,0.263371535,0.0429312,0.8357284992080243,0.05093772205992878,0.037477435964579975,-0.3594548407795059,0.241033362,-1.4913074181801684,3.0635533101015286,5.087483192025766,0.15047695150704513,1.4186254695603044,0.154618065,0.172359021,,9901.2,2932.891,2045.811,0.6975407541569052,0.296215711226922,0.30023813155192225,0.2066225306023512,0.20801543482902723
Beverage (Alcoholic),6,0.601789755,0.081888146458,0.654546600791948,0.136920627,0.055900000000000005,0.25745633,0.0429312,0.34545339920805196,0.06843033688131782,0.05474600744342917,0.44670253167858837,0.187436476,2.3832209248246237,3.210633105372724,0.527775102322862,0.4282191424689389,0.04137739972100422,0.156133196,0.136920627,0.17675399463378666,3067.6,744.66,1193.68,1.6029865979104558,0.24275003259877428,0.24473569928916836,0.38912504889816146,0.3897590617153343
Beverage (Soft),7,0.43458291,0.069916136356,0.8475358571391903,0.164091294,0.055900000000000005,0.271154051,0.0429312,0.15246414286080967,0.06580190116432896,0.052151236420352465,0.44525068613743196,0.108189423,4.115473341025508,4.016870577080349,0.1798910825737141,0.3818305889688126,0.14243683197614201,0.161306886,0.164091294,0.19617408749306506,1122,328.68,275.07,0.8368930266520628,0.29294117647058826,0.29056889056889057,0.24516042780748662,0.2599414099414099
Broadcasting,11,0.584931629,0.08068110463639999,0.7403423766120483,0.12764753,0.055900000000000005,0.304243098,0.0429312,0.25965762338795173,0.07087905411539056,0.057163361796671364,0.6177313747808834,0.218862817,2.8224592155408628,2.672594810839888,0.35072640928133264,0.46080907295207185,0.2540300011222089,0.126520128,0.12764753,0.10196367082114066,1361.81,415.166,467.945,1.127127462268105,0.3048633803540876,0.3048633803540876,0.34361988823697875,0.34361988823697875
Brokerage & Investment Banking,35,1.16554392,0.122252944672,0.08157247317651106,0.226456395,0.055900000000000005,0.253230675,0.0429312,0.9184275268234889,0.04940167088957078,0.035961058356009934,0.15905714116075975,0.287443874,0.5533502556424624,4.054857401483533,11.2590374063582,0.12082005610410755,0.24039841768566564,0.212501194,0.226456395,0.5272662950191132,5183.709,1241.708,1456.473,1.1729593430983773,0.2395404525987088,0.24082865322914107,0.28097121192566943,0.28234215152778724
Building Materials,63,0.873706326,0.1013573729416,0.7723613709078515,0.169255977,0.055900000000000005,0.26787146,0.0429312,0.2276386290921485,0.0880573190300734,0.07412160952525482,0.8287963052062822,0.263074468,3.150424712466898,3.3211369109373243,0.2947307279552016,0.7124426524616728,0.14038872038123973,0.163842122,0.169255977,0.20012253110854752,6066.383,1885.038,2081.313,1.104122569412394,0.3107350788764903,0.3408464502493699,0.34308961369567337,0.37126995365085785
Business & Consumer Services,205,1.361823129,0.1363065360364,0.9134797694420237,0.278545726,0.0636,0.28759107,0.0488448,0.08652023055797631,0.12873932646952982,0.1142825666231222,1.5012329077867166,0.253766675,5.915800046584985,5.366438004517339,0.0947149936454806,1.269479755931613,0.15437521430087725,0.26741488,0.278545726,0.4199443921298878,7534.34,2176.962,1984.438,0.9115629946687173,0.2889386462516956,0.29272584074236735,0.26338577765272075,0.26693883755231834
Cable TV,1,0.45972554,0.07171634866400001,0.6534905761138234,0.144188338,0.055900000000000005,0.311965812,0.0429312,0.34650942388617656,0.06174202338395942,0.04814335707460837,0.4563194042756045,0.114017543,4.002185911650495,4.03205969804138,0.5302439492651877,0.326688888620792,0.2840784644269022,0.181818182,0.144188338,0.10776581285862091,140.4,43.8,35,0.7990867579908676,0.3119658119658119,0.3119658119658119,0.24928774928774927,0.24928774928774927
Chemical (Basic),69,1.103583482,0.11781657731119999,0.6144246121719881,0.210743248,0.055900000000000005,0.262485693,0.0429312,0.38557538782801193,0.08894261891178705,0.07499557059074946,0.8797959851133984,0.25885943,3.3987403322080962,4.263253928976047,0.6275389692886889,0.7446833802146617,0.1535726545527731,0.18816002,0.210743248,0.2716861082636576,7857.734,2274.988,2272.477,0.9988962579143275,0.2895221446793694,0.29291513495902616,0.28920258690355255,0.2912575455372484
Chemical (Diversified),22,1.294066094,0.1314551323304,0.48005225947307806,0.197127095,0.055900000000000005,0.263323729,0.0429312,0.5199477405269219,0.08542731373265039,0.07152528902474464,0.815705590980323,0.318927321,2.557653538187539,4.057557972588996,1.0831065373958126,0.7064351202841861,0.1339582220649176,0.1777376,0.197127095,0.3760605802142953,6314.85,1794.62,1630.937,0.9087923905896513,0.28419043999461585,0.2841378655074942,0.25827010934543176,0.25827010934543176
Chemical (Specialty),73,1.168573767,0.1224698817172,0.8230375425952783,0.206422442,0.055900000000000005,0.286736494,0.0429312,0.17696245740472172,0.10839452114179228,0.09419833515672504,1.1939287285932805,0.307651546,3.8807824765271306,3.798367933441167,0.21501140378931843,1.0029567623885545,0.15995256804795577,0.196633225,0.206422442,0.24830300810138412,13930.78,3825.01,3138.807,0.8206009918928315,0.27457256521171103,0.27398394059772674,0.22531451935928926,0.22531451935928926
Coal & Related Energy,1,0.887007925,0.10230976743,0.37288809381832644,0.262961594,0.0636,0.322368421,0.0488448,0.6271119061816736,0.0687812497910316,0.05509242590208263,0.41663375932818647,0.089442719,4.658107043103044,9.917050095491842,1.681769722814499,0.3870694078910641,0.07096004770423375,0.41634981,0.262961594,0.600159603293519,7.6,2.45,24.4,9.959183673469386,0.32236842105263164,0.32236842105263164,3.2105263157894735,3.2105263157894735
Computer Services,227,1.226598834,0.1266244765144,0.8638406706167111,0.264550689,0.0636,0.276350952,0.0488448,0.1361593293832889,0.11603404792055017,0.10174001577969594,1.2685278011840706,0.260414423,4.871188725150106,4.710180103964518,0.15762088312660988,1.0941489929451937,0.13746549983067613,0.260123041,0.264550689,0.3028884708558649,12086.279,3138.575,3347.452,1.0665515401097634,0.25968083311662754,0.2574073409583489,0.2769629924975255,0.2786889053750391
Computers/Peripherals,26,1.253570561,0.1285556521676,0.7879404286410561,0.253391991,0.0636,0.237408982,0.0488448,0.21205957135894393,0.11165220302428261,0.0974142930348092,1.2456675308104714,0.252996226,4.923660524526842,4.954898263976475,0.26913147701366025,1.0388479817568312,0.16603109893943913,0.232675283,0.253391991,0.1917399754348781,6344.04,1437.986,1616.951,1.1244553145858165,0.2266672341284103,0.2388776045079282,0.2548771760581585,0.2622430848116918
Construction Supplies,52,1.086243978,0.1165750688248,0.6215930777840024,0.200815517,0.055900000000000005,0.28854082,0.0429312,0.3784069222159976,0.08870771908272879,0.07476367933093053,0.855417122961975,0.283357336,3.018863513602397,3.8334775211184224,0.608769524211932,0.7401826750304845,0.1347114113550576,0.179049976,0.200815517,0.15712061653384174,6886.795,2021.463,1676.298,0.8292499046482671,0.2935273955446619,0.36856875832160235,0.24340756476706507,0.26089043382443916
Diversified,15,0.66945681,0.086733107596,0.70888026433764,0.193925538,0.055900000000000005,0.30611562,0.0429312,0.29111973566236005,0.07398150783514537,0.06022607965597615,0.5692875161433639,0.167127365,3.406309410450909,4.005668431378668,0.41067546990375736,0.5089383006177055,0.10600832411448943,0.167589221,0.193925538,0.7058456274126382,7431.28,1722.527,1584.877,0.920088335335237,0.23179411891356538,0.2289292617138919,0.21327106501168036,0.21331814192881485
Drugs (Biotechnology),28,1.465477984,0.1437282236544,0.9450803489317415,0.387587752,0.0636,0.038947657,0.0488448,0.05491965106825847,0.1385172591351386,0.12393526468316174,1.6006172787410775,0.219570701,7.289758020771075,6.674287495215493,0.058111091962007366,1.4028689008330624,0.12354507260070864,0.38826648,0.387587752,,198.07,58.269,69.463,1.1921090116528514,0.29418387438784266,,0.3506992477406977,
Drugs (Pharmaceutical),41,0.85798967,0.100232060372,0.8598807027030778,0.246928814,0.055900000000000005,0.212922385,0.0429312,0.14011929729692219,0.09220310408216631,0.07821429585254269,0.8443951589959421,0.212158697,3.980016708888168,4.044093794561719,0.1629520198051313,0.7625577410715081,0.09691838833105781,0.22730739,0.246928814,0.2336417089488803,12433.56,3076.623,4398.609,1.4296873552593217,0.2474450599828207,0.2634607084878045,0.3537690733788232,0.39715053695480623
Education,32,0.822420667,0.0976853197572,0.697689397418917,0.215869072,0.055900000000000005,0.303468062,0.0429312,0.302310602581083,0.0811325688196041,0.06728555069679154,0.8648877203733255,0.211507364,4.089161266145445,3.8883784065315097,0.4333025608522544,0.6170732671491118,0.2865278895591736,0.207263529,0.215869072,0.3472570610948657,277.965,98.417,116.842,1.1872135911478707,0.35406256183332435,0.3836880761304679,0.42034788552515606,0.4467274068919637
Electrical Equipment,57,1.314225073,0.13289851522680002,0.8317161703760751,0.238713194,0.055900000000000005,0.283436755,0.0429312,0.16828382962392485,0.11775847087945127,0.10344235253321221,1.3284968905268526,0.282835623,4.697063532647204,4.646603773103928,0.20233324253853618,1.1374712238931273,0.14379082705866825,0.209598388,0.238713194,0.23478263297416363,6098.409,1524.614,923.827,0.6059415694726665,0.25000192673203786,0.2516018540258228,0.1514865598552016,0.15200020533742384
Electronics (Consumer & Office),10,1.439228864,0.14184878666239997,0.7468930009197889,0.265822661,0.0636,0.243600146,0.0488448,0.25310699908021106,0.11830882669578394,0.10398565945731586,1.2622274808434997,0.298283773,4.231633079294259,4.825032382837668,0.33887986467742104,1.1420097165728058,0.09524255024962437,0.254459598,0.265822661,0.5329143784718522,11499.06,2644.942,2495.7,0.9435745660963454,0.23001375764627718,0.23089652294173937,0.21703513156727594,0.21790112246537258
Electronics (General),139,1.449315201,0.1425709683916,0.9146297249611345,0.254744246,0.0636,0.255276978,0.0488448,0.08537027503886552,0.1345695396176701,0.12003810709054741,1.5455621770242072,0.285568144,5.412235956627596,5.075199147563182,0.09333861857867477,1.352371707627936,0.12499689256645505,0.239173505,0.254744246,0.2992119335377556,17041.676,4705.622,3036.7,0.6453344531286193,0.2761243671103711,0.2822146569162089,0.17819256744465745,0.18029480548858068
