,number_of_firms,average_unlevered_beta,average_levered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,capital_expenditures_us_millions,depreciation_amort_us_millions,cap_exdeprecn,acquisitions_us_millions,net_rd_us_millions,net_cap_exsales,net_cap_ex_ebit_1t,sales_invested_capital,roe,cost_of_equity,roe_coe,bv_of_equity,equity_eva_us_millions,roc,cost_of_capital,roc_wacc,bv_of_capital,eva_us_millions,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,dividends_in_millions,buybacks_in_millions,equity_issuance_in_millions,net_equity_change_in_millions,net_equity_change_as_of_book_equity,debt_repaid_in_millions,debt_raised_in_millions,net_debt_change_in_millions,net_change_in_debt_as_of_total_debt,change_in_lease_debt_in_millions,goodwill_in_millions,change_in_goodwill_in_last_year,goodwill_as_of_total_assets,impairment_of_goodwill_in_ltm_in_millioins,impairment_as_of_goodwill,reinvestment_rate,expected_growth_in_ebit,retention_ratio,fundamental_growth_,cagr_in_net_income_last_5_years,cagr_in_revenues_last_5_years,expected_growth_in_revenues_next_2_years,expected_growth_in_eps_next_5_years,roe_unadjusted,roe_adjusted_for_rd,gross_margin,net_margin,pretax_prestock_compensation_operating_margin,pretax_unadjusted_operating_margin,aftertax_unadjusted_operating_margin,pretax_lease_adjusted_margin,aftertax_lease_adjusted_margin,pretax_lease_rd_adj_margin,aftertax_lease_rd_adj_margin,ebitdasales,ebitdasgasales,ebitdardsales,cogssales,rdsales,sga_sales,stockbased_compensationsales,lease_expensesales,evebitdard,evebitda,evebit,evebit_1t,evebitdard2,evebitda3,evebit4,evebit_1t5,_of_money_losing_firms_trailing,current_pe,trailing_pe,forward_pe,aggregate_mkt_cap_net_income_all_firms,aggregate_mkt_cap_trailing_net_income_only_money_making_firms,peg_ratio,pbv,ev_invested_capital,pricesales,evsales,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies2,aggregate_tax_rate3,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,dde,cost_of_capital,cost_of_capital_local_currency,acc_rec_sales,inventorysales,acc_pay_sales,noncash_wc_sales
Advertising,58,1.3458926691301203,1.6317380595347237,0.24777948370761313,5.431816423987355,6.585444586123286,1441.5790000000002,1762.4939999999992,0.8179199475288998,1040.664,9.42779999999675,0.017750375959909692,0.21250686677036063,3.512608304846977,0.13567415534535524,0.1357252407363626,-5.108539100737164e-05,11476.88,-0.5863009023446834,0.3662007137757841,0.10729463931854823,0.2589060744572359,11694.874416630862,3027.874026480253,0.6897077574986241,0.5272211445533301,0.058800000000000005,0.06390508819605847,0.0441,0.3102922425013758,1053.13,1310.268,264.07700000000006,-1046.191,-0.09115639442078335,3449.812,4189.244,739.4319999999998,0.03319325047111142,65.32099999999991,23812.589999999997,-507.43999999999505,0.3230881479504077,681.4,0.028615114945497323,0.5552666934840239,0.2033390594897691,0.32366631644655897,0.043913154097629345,0.233825,0.1816695238095238,0.20375153846153846,0.007955555555555542,0.13567415534535524,0.11604325218873734,0.29167083845419484,0.03790492842502782,0.13497496915311533,0.10617104930138777,0.0993861790319145,0.11112517955190936,0.10402371515184175,0.11135468081206297,0.10425321641199536,0.14069679939973967,0.2750360988943563,0.15803103605439522,0.7083291615458052,0.017334236654655562,0.13433929949461665,0.028803919851727557,0.03525847543518833,9.462434185172894,10.360206985338735,17.03323375019978,22.660787283060117,12.41746031090888,13.947325926881701,17.65886116908907,23.493113667222715,0.7586206896551724,1311.1333128128108,13.993381837579332,21.54785248794929,33.36097261944522,12.434612220074541,15.6300991593116,4.586086438436397,6.047310744171729,1.4930251729128332,1.962344118097263,3891.4139999999998,961.6800000000001,940.3930000000001,0.9778647783046336,0.2471286786756691,0.3770015468951237,0.2416584305859002,0.3469328275641734,0.4498894482885307,1.2200667064535347,0.09348885357842812,0.6867454020094217,0.5272211445533301,0.1439689400971841,0.8679813153566758,0.9349531429448596,0.77,1.1018246898142943,1.00413036344919,0.3102922425013759,0.10729463931854823,0.10729463931854832,0.4744732003030316,0.039229652016566,0.47173845512725493,0.03141449120879309
Aerospace/Defense,77,1.2292962090923658,1.414182280259186,0.35478268385988293,3.4649273062544994,3.986052151343722,10435.569000000001,13590.487000000001,0.767858355627727,4530.688,872.7729999999901,0.006276938395963106,0.09045668083693831,1.8653814845726677,0.09872588082604772,0.12280242744739564,-0.024076546621347922,147015.918,-3539.635603807263,0.15249479884885908,0.10594482009093814,0.04654997875792094,192037.33443406812,8939.33383863363,0.7932911639284891,0.3755554495377183,0.055,0.08602766440767734,0.04125,0.2067088360715109,10261.133999999996,17647.972999999994,1566.4070000000002,-16081.565999999995,-0.10938656316114011,22384.792999999998,18181.54399999999,-4203.249000000007,-0.022740969349678276,826.2940000000017,159462.436,674.9940000000352,0.2684006865808877,899.5999999999999,0.005641454016167168,0.32747182434374533,0.04993774998196836,0.29303163313140845,0.028929806090793566,0.050448148148148145,0.03992255813953487,0.38921953488372096,0.08138739130434781,0.09872588082604772,0.07807355231801573,0.1669427359426571,0.040517444546982744,0.09892646502252535,0.08635403832710994,0.07892520209765763,0.0867789173320192,0.07931352975411866,0.08921531385841867,0.08174992628051815,0.1364375997102676,0.1955438983563776,0.18406878848009292,0.8330572640573429,0.04763118876982533,0.05910629864611,0.012572426695415402,0.00805045712210327,10.937177475143827,14.590340622882026,23.97611514164623,29.983741476223248,13.826937229310454,18.65400439170828,29.328639517957996,36.67743251817808,0.5324675324675325,39.289149949443974,53.68599931349899,64.39750024279606,36.870689638678584,24.338644370678082,2.9904686685022033,4.9344353649769275,4.489442940922895,2.09803864905472,2.545107584189468,30920.169,5106.375999999998,7441.776000000002,1.4573497917113827,0.1651470921779243,0.237950348851549,0.24067708038723853,0.3873958360825887,0.2605712069801203,1.1829920337061723,0.037667223768941376,0.47207385668758833,0.3755554495377183,0.19186738783955246,1.09222603297197,1.078522159887352,0.91,1.1104126718043248,1.0840914147512024,0.20670883607151092,0.10594482009093814,0.10594482009093809,0.24694933507431302,0.32397755109383203,0.09881259178503414,0.46912992617043536
Air Transport,21,0.6939980034393283,1.4159650876966507,0.39968149769754235,1.7363776092645373,3.542733641295994,17571.782999999996,10084.758,1.7424099814789802,132.68,104.02739999999994,0.04028620680068708,3.5517427175534144,1.601522515617954,-0.11368810625736339,0.12290832620918106,-0.23659643246654444,28765.629999999994,-6805.845435652604,0.03075109258968068,0.06976852046117993,-0.03901742787149925,119712.02910377033,-4670.855460907178,0.3492420404028992,0.37727498727802966,0.055,0.10471812677937932,0.04125,0.6507579595971008,0,402.293,546.2520000000001,143.95900000000006,0.005004548831365769,16825.758,3372.431,-13453.327000000001,-0.11119531212024981,15000.962000000014,20130.9,-1831.4300000000003,0.06539108536195531,0,0,2.099340473681085,0.06455701328343114,1,-0.11368810625736339,-0.23700000000000002,0.022412499999999995,0.3187466666666667,0.22525,-0.11368810625736339,-0.10354209096277127,0.2120168988863066,-0.017057606107942713,0.02551541556291728,0.02112454674491141,0.018912423780720854,0.020840995154494963,0.01865856518169813,0.02138359154860849,0.019201161575811657,-0.033102441139755266,0.001620110336080707,-0.02972823445840793,0.7879831011136934,0.003374206681347335,0.03472255147583597,0.004390868818005867,0.0785217840189137,9.101992009654923,9.393728081856844,47.45014363707215,87.18486611141539,,,48.7102966107628,89.5002704467836,0.6190476190476191,25.141806335223844,71.79390747675272,14.007204694025585,,41.7066054337096,1.85156960859976,2.735341481815569,1.547029068936566,0.41661168326913345,1.0151710556389202,1820.39,655.2139999999999,240.02399999999997,0.36632916879065464,0.3599305643296216,,0.13185306445322154,,1.8633437109872604,0.5905987449112045,0.14899071469326405,0.44026952881288556,0.37727498727802966,2.2120098410672444,0.6344901276087225,0.8436729976274394,0.91,0.914138227895993,0.7992598713142967,0.6507579595971008,0.06976852046117993,0.06976852046117998,0.04518415278494312,0.03177414991150445,0.07267183009355602,0.010475454736403853
Apparel,39,1.0163797426008965,1.3246974025641622,0.35735267214095706,2.844192367477212,3.7069749461440655,1609.6879999999996,1364.5539999999999,1.179644044867407,851.0529999999999,4.797000000002299,0.015269741052495196,0.17313930452729007,2.1037931987292,0.13522490180674987,0.11748702571231125,0.017737876094438623,27034.954000000005,479.5426642708479,0.20566758390991585,0.09154744864476262,0.11412013526515323,34272.53973610787,3911.1868705649695,0.6597509304017911,0.38508746928890447,0.055,0.12038118261958633,0.04125,0.3402490695982089,1985.6799999999998,6022.290000000001,166.511,-5855.779,-0.21660029456680413,8702.798,9968.810000000001,1266.0120000000006,0.061074301248595836,-382.43899999999485,9451.969,-1167.701000000001,0.1275781651656747,732.9,0.07753939946269396,1.1025108153914758,0.22675073563611609,0.456841035297619,0.06177628413941448,0.11000000000000001,0.05835695652173913,0.03963260869565217,0.056378571428571424,0.13522490180674987,0.13407789291647113,0.5183569225829243,0.05070292036030568,0.11061536203209842,0.10161425283086532,0.08938180890408011,0.1110638259040377,0.09769383119545379,0.11113035634210841,0.09776036163352451,0.14187120095526454,0.5564273534771469,0.14313379527675782,0.4816430774170757,0.0012625943214932735,0.41455615252188227,0.009001109201233095,0.050749063109411595,6.968418417147806,7.021999822290446,10.381787550219668,13.074008520845677,8.099349284782834,8.171430104187344,10.438057513026079,13.144870496169291,0.5641025641025641,9.465817429594981,13.804567941679538,10.498644239824788,10.672444352533054,11.951818450962211,2.1199221881853663,2.420558868970722,2.0913746228617907,0.813810276549154,1.1592906024030611,5422.69,1112.113,1479.292,1.3301633916697313,0.20508511458335257,0.20693989730307746,0.2727967115951677,0.32099124402844126,0.5157235161320588,0.9552238504346436,0.06017031784769348,0.5219832711715527,0.38508746928890447,0.23018170002537106,0.7631729241326889,0.8296410009433827,0.94,1.098346042881063,0.9295079421116063,0.3402490695982089,0.09154744864476262,0.09154744864476272,0.1222294656306282,0.23563816295771622,0.10814093457388124,0.26207135646756324
Auto & Truck,31,1.2255318343171395,1.5405976750533805,0.2859658711036049,4.285587750690472,5.3873480394981295,33387.84499999999,16990.279999999995,1.9651144654473025,36.79900000000001,2157.356800000005,0.04634395309466842,0.8323631387712419,0.9452866486358166,0.15677154224933043,0.1303115018981708,0.02646004035115962,128453.15999999997,3398.875796833962,0.06461347054513161,0.10150124989331025,-0.036887779348178634,424387.89607252256,-15654.727068360979,0.6658189293710489,0.5261412487524837,0.058800000000000005,0.029973504818388647,0.0441,0.3341810706289511,2124.5000000000005,2502.5460000000003,12522.012,10019.466,0.07800093045589539,111264.33600000001,105050.334,-6214.002000000008,-0.023810469429384536,1745.0499999999993,3169.9,436.5799999999999,0.0050024097541545775,6.82,0.002151487428625509,0.8908302745493875,0.05755963570530835,0.894501882032794,0.14023243959120976,0.20131999999999997,0.280595,13.283983333333332,0.17370000000000002,0.15677154224933043,0.11373465826665344,0.14704714191063573,0.05019789554013815,0.07954059680082529,0.06432595910665025,0.06239788466141959,0.0649215492292889,0.06297562286064755,0.0702992355351022,0.06835330916646085,0.09642227086526983,0.1584370548282624,0.15389490531218855,0.8529528580893643,0.05747263444691872,0.06201478396299257,0.015214637694175028,0.0038649647544855823,8.990420144797756,12.745223056693563,27.01546905986054,31.50076861214507,11.771091763202122,18.787268087165103,27.90307800451907,32.53574468166304,0.8064516129032258,14.06527311730053,10.303473979252582,10.184760295540686,20.432653032102806,15.48537927584266,0.8915013975729799,2.9173208877532226,1.6402447154769904,1.320648872847383,1.8115110523190732,33358.2,3529,2446.8959999999993,0.6933680929441766,0.10579107985442861,0.07937417600010412,0.07335215928917026,0.11371121885297819,0.5019098374758252,1.119268697509356,0.08670777358222838,0.6906352624443269,0.5261412487524837,0.4609691036774551,0.3418710955309782,0.5257350397759242,1.05,1.0207658043192696,0.8327807547886623,0.3341810706289511,0.10150124989331025,0.10150124989331033,0.08102258610659806,0.11653390423665974,0.17203230449375684,-0.002638232462945013
Auto Parts,37,1.202436458457679,1.4739918130238336,0.3594861381582568,3.3448757290561497,4.1002744099549595,3128.2910000000006,1786.8019999999995,1.7507765270018736,1411.6979999999999,424.0112000000008,0.036695997763959105,0.9395477564626598,1.9747050886050657,0.07033878015608527,0.12635511369361574,-0.056016333537530466,26581.36799999999,-1488.9907757718386,0.10259465039163591,0.10090782663624806,0.0016868237553878535,43845.33189265308,73.95934739939189,0.7009899176096556,0.39519394771296495,0.055,0.09296676821885928,0.04125,0.29901008239034443,694.3979999999999,947.436,48.864,-898.572,-0.033804580712324526,6222.699000000002,7773.145999999999,1550.4469999999965,0.07447465354292414,642.6850000000004,8539.099999999999,40.349999999996726,0.11350335109435937,216.61,0.02536684193884602,1.6270607086056388,0.1669277245653629,0.6286047876104253,0.04421529396079238,0.083675,0.07074333333333332,0.15391249999999998,0.22152142857142856,0.07033878015608527,0.061969013388688474,0.14562720023653988,0.021594669075184557,0.058190874273517705,0.05064354320086486,0.04593537665832827,0.05188031812971825,0.04705717261903205,0.0567775618858974,0.051954416375211206,0.0926829026028625,0.17111979912591127,0.13447208182800963,0.8543727997634601,0.04178917922514713,0.07843689652304878,0.00754733107265285,0.007573179520821978,5.1366540423899645,7.179627117821992,14.540547974540397,19.314504154067738,6.118537146631634,8.877283778811588,15.859047467526272,21.065893715107773,0.5135135135135135,36.09253046399645,31.628193367611757,13.5291783546591,25.16344484369485,14.881849004839921,0.6718017801172377,1.8900634744418994,1.4898634437877016,0.6210187383924527,0.8227724278495656,4200.23,905.5469999999999,1298.5059999999999,1.4339465538508769,0.2155946221992605,0.3368222320865206,0.30915116553141136,0.42918709992163284,0.4265540414760251,1.116731925858612,0.07127572687624346,0.5099287640392465,0.39519394771296495,0.25416812415110307,0.9678850643412212,0.9469935769993065,1.09,1.212594354633614,1.083981890886364,0.29901008239034443,0.10090782663624806,0.10090782663624798,0.16711556496992436,0.13671633464847036,0.14192383832130617,0.16055172230589412
Bank (Money Center),7,0.7393414305916117,1.0801015876287672,0.5157627792249272,1.4334912490247393,2.094182890149443,4975,0,,0,0,0.013070339707981026,16.50575089767052,0.31756087167554575,0.11345074325185552,0.10295803430514877,0.010492708946706744,904585.7,9491.554467452983,0.00026445657070231255,0.05680441904312722,-0.056539962472424904,1198613.664182454,-67769.57159181166,0.316070835621863,0.19594323414619666,0.0473,0.16253159242370313,0.035475,0.683929164378137,29107.115999999998,33755,21,-33734,-0.03729221012448019,222181,361349,139168,0.06705679050226677,0,175106.064,-1990,0.014956893351562289,0,0,-128.48607336966558,-0.03397898634634748,0.7163765645170344,0.08127345369266838,0.01288,0.0194,0.06559999999999999,0.019862000000000005,0.11345074325185552,0.11345074325185552,1,0.2696192235666501,0.023841087788545812,0,0,0.0009943950271997593,0.0008327744199307707,0.0009943950271997593,0.0008327744199307707,0,0.579794226876927,0,0,0,0.579794226876927,0.023841087788545812,0.025320151074736598,,,,,,,,,0.1428571428571429,7.116911612405886,9.516543910327655,8.95801051634127,7.367477586222726,9.459235054847742,4.762478629970667,0.9875553994107819,1.1052107859228104,2.5507483853204453,4.494934562083074,124977.19,21450.27,12205,0.5689905068794006,0.17163347967737153,0.17163347967737153,0.09765782059910293,0.09765782059910293,2.1638477432836223,0.41179893709273513,0.443019260041712,0.22354726306204947,0.19594323414619666,,0.4282334507505517,0.5595414670761663,0.59,1.0325147457583626,0.6699262188353384,0.683929164378137,0.05680441904312722,0.05680441904312716,0,0.0012148269933647338,,
Banks (Regional),557,0.4129806383970706,0.5048742347564779,0.26366106838287795,1.5663315063161194,1.9148607636805897,6543.125,-0.006,,-16225.479,0,-0.043451691210799066,,0.46900063005241044,0.11799058812595946,0.0687895295445348,0.049201058581424664,572447.1000000001,28165.00330186667,-0.0003681163159071202,0.055712254146514525,-0.05608037046242165,475117.00778546656,-26644.737809606235,0.6074603010515699,0.16758082918349013,0.0473,0.18838462629709835,0.035475,0.3925396989484301,19659.992319999994,17486.15499999999,3177.162999999997,-14308.991999999995,-0.02499618217997784,183916.68900000007,318254.1580000001,134337.46900000004,0.3023730337954711,0,143242.14100000006,18357.80599999991,0.02304002377056675,9,6.283067215534007e-05,,,0.7089278737498586,0.08364681676263175,0.18140365909090922,0.11019711409395982,0.1359809016393443,0.1115444444444445,0.11799058812595946,0.11799058812595946,0.9978585934429278,0.3031159029376703,0.014536814798369154,2.692633514771359e-08,2.1853827563361143e-08,-0.0009670777155914957,-0.0007848951415395402,-0.0009670777155914957,-0.0007848951415395402,0,0.5026853275025015,0,0.0021414065570721785,0,0.5026853275025015,0.014536787872034008,0.024659967956943148,,,,,,,,,0.08438061041292644,25.807945263782713,24.60127993387343,9.475123607758952,10.365790564207325,10.528251326944966,0.9438615593436064,1.236699810286065,1.3666187060704262,3.2043504466827732,4.343621303282799,85659.23300000002,18035.351000000002,32391.214000000007,1.7959846747645778,0.2105476592348194,0.2104224017310861,0.3781403692932903,0.37817787396064234,0.6461981108377084,0.34006312368726666,0.1765640030797172,0.1756514255721121,0.16758082918349013,0.9549163494123452,0.4043516578768579,0.4313155820626237,0.6,0.8412738920935885,0.5379843540860281,0.3925396989484301,0.055712254146514525,0.055712254146514484,0,0.004724813393317074,,
Beverage (Alcoholic),23,0.8807822917633785,1.0129742331996445,0.24625473437128487,3.576712114843646,4.113521860953772,2198.742000000001,776.9270000000002,2.830049670046221,163.939,-0.14919999999983702,0.056799689637347855,0.45786033403530396,0.8020000732465785,0.052846235851230244,0.09897066945205889,-0.04612443360082864,30433.388,-1403.7227840542553,0.14657661188814805,0.08821185500433976,0.058364756883808294,34807.64021254296,2031.5394587041392,0.8136055151499051,0.4987467644298934,0.055,0.09393784176761753,0.04125,0.18639448485009497,1270.6,1578.0140000000001,256.307,-1321.707,-0.04342950577832479,2728.075,2817.914,89.8390000000004,0.004327907379053437,-131.1309999999994,15705.697000000002,80.36700000000019,0.24875662054459527,10.7,0.0006812814483814375,0.5682188940381574,0.08328760029894372,0.20996835147890014,0.011096037023547965,-0.12308,0.12543749999999998,0.16617777777777779,0.46596666666666664,0.052846235851230244,0.05283812416847205,0.44420389507994235,0.0576123210820566,0.2058766867282352,0.20062785390172486,0.18178130630772793,0.2017181509310847,0.18276918318726407,0.20171280627414753,0.1827638385303269,0.26058462379454156,0.4965000736144101,0.2606028930642329,0.5557961049200577,1.82692696913174e-05,0.23591544981986856,0.005248832826510357,0.01569523705810308,15.903981657825412,15.905118508516384,20.15187932703732,32.767823107506786,15.622784417222865,15.623879711556397,20.183324098772026,32.81895365970677,0.7391304347826086,61.64868198390734,111.50158955717302,22.11194264933336,49.37844391779355,55.457810650887566,1.190166907165482,3.1924325323981106,3.4185935385743123,3.3750765249556434,4.071342816847094,2643.6949999999997,923.338,804.714,0.8715270031126198,0.34926041014564846,0.3605569688043916,0.3043898785601214,0.3141123251128963,0.22909687972770462,0.8644432881816627,0.018550558673249666,0.5870582585990226,0.4987467644298934,0.33799560403248413,1.0479649012287298,0.9188825577761112,0.67,0.7205248116424126,0.8476309124821263,0.1863944848500949,0.08821185500433976,0.08821185500433981,0.10784156459458516,0.20201477804807533,0.17962041472675075,0.15335977242937937
Beverage (Soft),31,1.2014134916712005,1.3034433070435496,0.24188668562096768,4.966844241910011,5.388652557280573,7299.008999999999,4474.508000000001,1.6312428092652864,6051.825,11.81180000000677,0.056771639556521265,0.3629657504988495,1.6029900764895542,0.31944669288621974,0.11622453243838685,0.2032221604478329,71537.19700000001,14537.943726722233,0.2871936673456856,0.10629307611688682,0.18090059122879876,97667.14859698647,17668.044924825797,0.8675356017770224,0.41717146856964005,0.055,0.06416466447114642,0.04125,0.1324643982229776,12915.352,3291.1310000000003,1181.6979999999999,-2109.4330000000004,-0.029487219075692888,15718.891,19825.884000000002,4106.993000000002,0.043175551112354764,522.1799999999985,59620.592000000004,630.7380000000048,0.23288582629490573,18.2,0.0003052636578985998,0.29140445421199807,0.08368951388601163,0.4348341247263243,0.1389063230978983,0.1739,0.15048545454545456,0.17535454545454549,0.12113333333333333,0.31944669288621974,0.30902089018821566,0.5355241046740894,0.1459657534609692,0.19662292546084886,0.19036999167153545,0.17815496503055644,0.1913646269756899,0.17908577989414864,0.1914400730665588,0.17916122598501755,0.2171093450942317,0.5561816924904,0.22234107588637092,0.4644758953259106,0.005231730792139243,0.33907234739616826,0.006252933789313415,0.011267156180331986,19.564955895017864,20.008347527759813,24.137168786878842,29.531275192295585,20.98963191562268,21.49542361040657,24.387251794300063,29.837246044895647,0.7096774193548387,211.7088625476198,39.5525944806275,40.89690933184635,30.75954120474735,27.662311240020863,2.283625033573544,8.227273676625366,7.197727085441685,4.159098564909552,4.666857342578456,28431.2,5170.927,5315.2609999999995,1.0279125967162175,0.18187508793156812,0.1853637826061409,0.18695169391372857,0.18882752285873175,0.1526904463074982,1.169513188955463,0.02655230937298967,0.6105213214406137,0.41717146856964005,0.09356484549793757,1.0445632745746374,1.0907131928183842,0.71,1.1155473334942059,1.0324474585116856,0.13246439822297762,0.10629307611688682,0.10629307611688676,0.11782009098523394,0.07617497044413858,0.2888584829777464,-0.09057656493088537
