,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies2,aggregate_tax_rate3
Advertising,58,1.6317380595347237,0.1357252407363626,0.6897077574986241,0.5272211445533301,0.058800000000000005,0.06390508819605847,0.0441,0.3102922425013759,0.10729463931854823,0.10729463931854832,1.3458926691301203,0.24777948370761313,5.431816423987355,6.585444586123286,0.4498894482885307,1.2200667064535347,0.09348885357842812,0.6867454020094217,0.5272211445533301,0.1439689400971841,0.8679813153566758,0.9349531429448596,0.77,1.1018246898142943,1.00413036344919,3891.4139999999998,961.6800000000001,940.3930000000001,0.9778647783046336,0.2471286786756691,0.3770015468951237,0.2416584305859002,0.3469328275641734
Aerospace/Defense,77,1.414182280259186,0.12280242744739564,0.7932911639284891,0.3755554495377183,0.055,0.08602766440767734,0.04125,0.20670883607151092,0.10594482009093814,0.10594482009093809,1.2292962090923658,0.35478268385988293,3.4649273062544994,3.986052151343722,0.2605712069801203,1.1829920337061723,0.037667223768941376,0.47207385668758833,0.3755554495377183,0.19186738783955246,1.09222603297197,1.078522159887352,0.91,1.1104126718043248,1.0840914147512024,30920.169,5106.375999999998,7441.776000000002,1.4573497917113827,0.1651470921779243,0.237950348851549,0.24067708038723853,0.3873958360825887
Air Transport,21,1.4159650876966507,0.12290832620918106,0.3492420404028992,0.37727498727802966,0.055,0.10471812677937932,0.04125,0.6507579595971008,0.06976852046117993,0.06976852046117998,0.6939980034393283,0.39968149769754235,1.7363776092645373,3.542733641295994,1.8633437109872604,0.5905987449112045,0.14899071469326405,0.44026952881288556,0.37727498727802966,2.2120098410672444,0.6344901276087225,0.8436729976274394,0.91,0.914138227895993,0.7992598713142967,1820.39,655.2139999999999,240.02399999999997,0.36632916879065464,0.3599305643296216,,0.13185306445322154,
Apparel,39,1.3246974025641622,0.11748702571231125,0.6597509304017911,0.38508746928890447,0.055,0.12038118261958633,0.04125,0.3402490695982089,0.09154744864476262,0.09154744864476272,1.0163797426008965,0.35735267214095706,2.844192367477212,3.7069749461440655,0.5157235161320588,0.9552238504346436,0.06017031784769348,0.5219832711715527,0.38508746928890447,0.23018170002537106,0.7631729241326889,0.8296410009433827,0.94,1.098346042881063,0.9295079421116063,5422.69,1112.113,1479.292,1.3301633916697313,0.20508511458335257,0.20693989730307746,0.2727967115951677,0.32099124402844126
Auto & Truck,31,1.5405976750533805,0.1303115018981708,0.6658189293710489,0.5261412487524837,0.058800000000000005,0.029973504818388647,0.0441,0.3341810706289511,0.10150124989331025,0.10150124989331033,1.2255318343171395,0.2859658711036049,4.285587750690472,5.3873480394981295,0.5019098374758252,1.119268697509356,0.08670777358222838,0.6906352624443269,0.5261412487524837,0.4609691036774551,0.3418710955309782,0.5257350397759242,1.05,1.0207658043192696,0.8327807547886623,33358.2,3529,2446.8959999999993,0.6933680929441766,0.10579107985442861,0.07937417600010412,0.07335215928917026,0.11371121885297819
Auto Parts,37,1.4739918130238336,0.12635511369361574,0.7009899176096556,0.39519394771296495,0.055,0.09296676821885928,0.04125,0.29901008239034443,0.10090782663624806,0.10090782663624798,1.202436458457679,0.3594861381582568,3.3448757290561497,4.1002744099549595,0.4265540414760251,1.116731925858612,0.07127572687624346,0.5099287640392465,0.39519394771296495,0.25416812415110307,0.9678850643412212,0.9469935769993065,1.09,1.212594354633614,1.083981890886364,4200.23,905.5469999999999,1298.5059999999999,1.4339465538508769,0.2155946221992605,0.3368222320865206,0.30915116553141136,0.42918709992163284
Bank (Money Center),7,1.0801015876287672,0.10295803430514877,0.316070835621863,0.19594323414619666,0.0473,0.16253159242370313,0.035475,0.683929164378137,0.05680441904312722,0.05680441904312716,0.7393414305916117,0.5157627792249272,1.4334912490247393,2.094182890149443,2.1638477432836223,0.41179893709273513,0.443019260041712,0.22354726306204947,0.19594323414619666,,0.4282334507505517,0.5595414670761663,0.59,1.0325147457583626,0.6699262188353384,124977.19,21450.27,12205,0.5689905068794006,0.17163347967737153,0.17163347967737153,0.09765782059910293,0.09765782059910293
Banks (Regional),557,0.5048742347564779,0.0687895295445348,0.6074603010515699,0.16758082918349013,0.0473,0.18838462629709835,0.035475,0.3925396989484301,0.055712254146514525,0.055712254146514484,0.4129806383970706,0.26366106838287795,1.5663315063161194,1.9148607636805897,0.6461981108377084,0.34006312368726666,0.1765640030797172,0.1756514255721121,0.16758082918349013,0.9549163494123452,0.4043516578768579,0.4313155820626237,0.6,0.8412738920935885,0.5379843540860281,85659.23300000002,18035.351000000002,32391.214000000007,1.7959846747645778,0.2105476592348194,0.2104224017310861,0.3781403692932903,0.37817787396064234
Beverage (Alcoholic),23,1.0129742331996445,0.09897066945205889,0.8136055151499051,0.4987467644298934,0.055,0.09393784176761753,0.04125,0.1863944848500949,0.08821185500433976,0.08821185500433981,0.8807822917633785,0.24625473437128487,3.576712114843646,4.113521860953772,0.22909687972770462,0.8644432881816627,0.018550558673249666,0.5870582585990226,0.4987467644298934,0.33799560403248413,1.0479649012287298,0.9188825577761112,0.67,0.7205248116424126,0.8476309124821263,2643.6949999999997,923.338,804.714,0.8715270031126198,0.34926041014564846,0.3605569688043916,0.3043898785601214,0.3141123251128963
Beverage (Soft),31,1.3034433070435496,0.11622453243838685,0.8675356017770224,0.41717146856964005,0.055,0.06416466447114642,0.04125,0.13246439822297762,0.10629307611688682,0.10629307611688676,1.2014134916712005,0.24188668562096768,4.966844241910011,5.388652557280573,0.1526904463074982,1.169513188955463,0.02655230937298967,0.6105213214406137,0.41717146856964005,0.09356484549793757,1.0445632745746374,1.0907131928183842,0.71,1.1155473334942059,1.0324474585116856,28431.2,5170.927,5315.2609999999995,1.0279125967162175,0.18187508793156812,0.1853637826061409,0.18695169391372857,0.18882752285873175
